hour_wib,window_wib,status,official_pass,full_gate_passers,row_role,character_rule,lookback_min,hold_min,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,supportive_anchors,evaluable_anchors,min_year_exp,y2022_trades,y2022_wr,y2022_exp,y2022_pf,y2023_trades,y2023_wr,y2023_exp,y2023_pf,y2024_trades,y2024_wr,y2024_exp,y2024_pf
5,05:00-06:00,SOL_R4C_H05_LONG_CHARACTER_FOUND,True,2,SELECTED_PASSER,EFF_LOW__EXT_MID,240,360,285,0.5929824561403508,717.1841905539292,2.516435756329576,1.940084710942953,93.84709976308136,5,4,4,1.7824287421982117,84,0.5595238095238095,1.7824287421982117,1.4758731736278037,92,0.6086956521739131,3.553956709282801,2.782418856581053,109,0.6055045871559633,2.206386779406069,1.9081334110041737
6,06:00-07:00,SOL_R4C_H06_LONG_CHARACTER_FOUND,True,3,SELECTED_PASSER,DRIVE_DOWN__STR_B80_100,15,120,306,0.6013071895424836,640.6655429314783,2.093678244874112,1.911371372496968,90.20861902310725,6,4,4,0.7943071019140074,96,0.5833333333333334,1.2921247248310797,1.4688298501778312,111,0.6396396396396397,3.945812308632504,3.4594856726901075,99,0.5757575757575758,0.7943071019140074,1.3020914248286264
11,11:00-12:00,SOL_R4C_H11_LONG_CHARACTER_FOUND,True,2,SELECTED_PASSER,EFF_LOW__RANGE_HIGH,360,240,201,0.6218905472636815,580.7516170739055,2.8893115277308734,1.8611712322349705,118.36611857949214,7,4,4,1.7086068382177972,58,0.5344827586206896,1.7086068382177972,1.3371242435155726,76,0.6447368421052632,3.7628040697846448,2.6610963063235165,67,0.6716417910447762,2.9205867336364224,1.9395897788164769
22,22:00-23:00,SOL_R4C_H22_LONG_CHARACTER_FOUND,True,1,SELECTED_PASSER,EFF_HIGH__RANGE_LOW,240,960,171,0.6081871345029239,1002.9349212869736,5.865116498754231,2.402657365857495,119.05058021829312,7,3,3,4.1370941838131206,74,0.6081081081081081,4.856284517025849,2.020728321500493,46,0.6304347826086957,9.40387094896938,5.327178346230027,51,0.5882352941176471,4.1370941838131206,1.8022810278169907
