rule,partition,trades,fixed_wr,fixed_pf,fixed_exp,fixed_total,hybrid_wr,hybrid_pf,hybrid_exp,hybrid_total,delta_total,e20_reach,winner_preserved,median_trough_ext_r,median_exit_ext_r,median_capture,median_giveback_r
BLIND_F15,external,50,0.58,1.544172142443474,0.8177101526556908,40.88550763278454,0.54,1.592776203409881,0.9077880495287718,45.38940247643859,4.503894843654052,0.56,0.9310344827586207,0.5847701149425287,0.17483100918324462,0.2832502465620357,0.4097811432121736
BLIND_F15,development,79,0.5949367088607594,0.830995961595576,-0.2854260949319876,-22.54866149962702,0.5443037974683544,0.8416761507252304,-0.2719510917972668,-21.484136251984076,1.064525247642944,0.5949367088607594,0.9148936170212766,0.639602031586994,0.13201908155641842,0.16842818428184725,0.5856187290969856
BLIND_F15,reference_validation,34,0.5294117647058824,0.5525513421829255,-0.8824248407256943,-30.002444584673604,0.5,0.43288803747252685,-1.1459906512189253,-38.96368214144346,-8.96123755676986,0.5,0.9444444444444444,0.8344198174706626,0.18186657203690373,0.21802816901408026,0.6645773843517889
BLIND_F15,august,1,0.0,0.0,-2.41989561044702,-2.41989561044702,0.0,0.0,-2.41989561044702,-2.41989561044702,0.0,0.0,,,,,
BLIND_F15,POOLED_MAJOR,163,0.5766871165644172,0.9576729944789778,-0.07156808865960786,-11.66559845151608,0.5337423312883436,0.9464063248621912,-0.09238291973612858,-15.05841591698896,-3.392817465472879,0.5644171779141104,0.925531914893617,0.6432350227969048,0.16479379061347088,0.21316520468343553,0.5279071844456305
EARLY_REJECT,external,42,0.6428571428571429,1.4061110497931413,0.5868833059079199,24.64909884813264,0.5952380952380952,1.4972574842461503,0.7409236843265836,31.118794741716513,6.469695893583875,0.6190476190476191,0.9259259259259259,0.5847701149425287,0.17483100918324462,0.2832502465620357,0.4097811432121736
EARLY_REJECT,development,56,0.5892857142857143,0.872416585332758,-0.20028923510230864,-11.216197165729284,0.5,0.9514584356516425,-0.07841431781269119,-4.391201797510707,6.824995368218577,0.5892857142857143,0.8484848484848485,0.639602031586994,0.1500047023417658,0.15005599104141015,0.5381849615394201
EARLY_REJECT,reference_validation,22,0.5,0.5207767275396673,-0.9598735892485805,-21.11721896346877,0.45454545454545453,0.3552295141047743,-1.342579126515764,-29.53674078334681,-8.419521819878042,0.5,0.9090909090909091,0.7382013041513417,0.1718585560934576,0.13136260276369643,0.9606883570852349
EARLY_REJECT,august,1,0.0,0.0,-2.725815513533058,-2.725815513533058,0.0,0.0,-2.725815513533058,-2.725815513533058,0.0,0.0,,,,,
EARLY_REJECT,POOLED_MAJOR,120,0.5916666666666667,0.9601174428042654,-0.06403597734221184,-7.684317281065421,0.525,0.9858732624478458,-0.023409565326175042,-2.809147839141005,4.875169441924416,0.5833333333333334,0.8873239436619719,0.6264686497544545,0.16479379061347088,0.16311788265281685,0.4930137242717294
SAME_BAR_REJECTION,external,25,0.64,1.1091056257009795,0.1572611090568058,3.9315277264201445,0.6,1.2560512219666518,0.3819093975351901,9.547734938379753,5.616207211959608,0.6,0.9375,0.9676458837923533,0.14953608868538243,0.13624079768893707,0.5165463129345816
SAME_BAR_REJECTION,development,25,0.6,0.7715709681430254,-0.33057159106862,-8.2642897767155,0.52,0.5889616890995697,-0.5985775501758845,-14.964438754397115,-6.700148977681614,0.6,0.8666666666666667,0.9512369172216765,0.19028871391076388,0.1324747010119553,0.7375328083989703
SAME_BAR_REJECTION,reference_validation,12,0.4166666666666667,0.2080795207913318,-1.9295508472357537,-23.154610166829045,0.4166666666666667,0.1694224314188131,-2.0237406320799933,-24.284887584959918,-1.1302774181308735,0.4166666666666667,1.0,1.3359966358284272,0.18186657203690373,0.14970097576330055,1.1359966358284248
SAME_BAR_REJECTION,august,1,0.0,0.0,-2.725815513533058,-2.725815513533058,0.0,0.0,-2.725815513533058,-2.725815513533058,0.0,0.0,,,,,
SAME_BAR_REJECTION,POOLED_MAJOR,62,0.5806451612903226,0.7290589981666794,-0.443344713179426,-27.48737221712441,0.532258064516129,0.7114483627410252,-0.4790579258222143,-29.701591400977286,-2.214219183852876,0.5645161290322581,0.9166666666666666,0.9676458837923533,0.17890829070812603,0.13624079768893707,0.6770691994572393
