hour_wib,window_wib,status,official_pass,full_gate_passers,row_role,character_rule,lookback_min,hold_min,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,supportive_anchors,evaluable_anchors,min_year_exp,y2022_trades,y2022_wr,y2022_exp,y2022_pf,y2023_trades,y2023_wr,y2023_exp,y2023_pf,y2024_trades,y2024_wr,y2024_exp,y2024_pf
0,00:00-01:00,SOL_R4C_H00_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,DRIVE_UP__STR_B80_100,360,960,295,0.6338983050847458,2378.79367575531,8.063707375441728,2.357275700502235,278.396331443298,17,3,4,4.819117921418264,101,0.594059405940594,4.819117921418264,1.604368349945991,110,0.6090909090909091,9.946335371540222,2.709221942681621,84,0.7142857142857143,9.49959374788858,3.597925246453517
1,01:00-02:00,SOL_R4C_H01_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,DRIVE_UP__STR_B80_100,360,960,292,0.6267123287671232,2096.5827089158174,7.180077770259649,2.47924847929843,229.72189276955493,15,3,4,5.39707183874467,96,0.59375,5.39707183874467,1.8131110885655293,112,0.5982142857142857,7.211932714490844,2.443890688624754,84,0.7023809523809523,9.175325575873266,4.492076597601213
2,02:00-03:00,SOL_R4C_H02_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,DRIVE_UP__STR_B80_100,360,960,314,0.6050955414012739,1900.5503293731545,6.052708055328517,2.366958172004046,313.81163341225044,10,4,4,4.063641289615759,99,0.6262626262626263,4.063641289615759,1.6274693825702378,117,0.5299145299145299,5.423856004157681,2.2417363430110813,98,0.673469387755102,8.812843767497403,4.626517436393867
3,03:00-04:00,SOL_R4C_H03_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,DRIVE_UP__RV_HIGH,360,960,449,0.6525612472160356,3124.9651059173093,6.959833198034096,2.4931321026398074,275.74699512522443,15,4,4,6.192368774332019,131,0.6793893129770993,6.192368774332019,2.068715886157001,189,0.5978835978835979,6.533971429661034,2.4066437337543767,129,0.7054263565891473,8.363133304448676,3.36624667368366
4,04:00-05:00,SOL_R4C_H04_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,EFF_LOW__RANGE_HIGH,15,960,258,0.5542635658914729,1823.789625754614,7.0689520378085815,2.127579544173555,216.47042168836705,10,3,4,4.591454323617207,76,0.4605263157894737,10.12723054079474,2.136788772664036,97,0.5979381443298969,6.843778218007745,2.277364370312832,85,0.5882352941176471,4.591454323617207,1.9277173198563196
5,05:00-06:00,SOL_R4C_H05_LONG_CHARACTER_FOUND,True,2,SELECTED_PASSER,EFF_LOW__EXT_MID,240,360,285,0.5929824561403508,717.1841905539292,2.516435756329576,1.940084710942953,93.84709976308136,5,4,4,1.7824287421982117,84,0.5595238095238095,1.7824287421982117,1.4758731736278037,92,0.6086956521739131,3.553956709282801,2.782418856581053,109,0.6055045871559633,2.206386779406069,1.9081334110041737
6,06:00-07:00,SOL_R4C_H06_LONG_CHARACTER_FOUND,True,3,SELECTED_PASSER,DRIVE_DOWN__STR_B80_100,15,120,306,0.6013071895424836,640.6655429314783,2.093678244874112,1.911371372496968,90.20861902310725,6,4,4,0.7943071019140074,96,0.5833333333333334,1.2921247248310797,1.4688298501778312,111,0.6396396396396397,3.945812308632504,3.4594856726901075,99,0.5757575757575758,0.7943071019140074,1.3020914248286264
7,07:00-08:00,SOL_R4C_H07_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,RV_LOW__RANGE_HIGH,240,720,30,0.6,176.41602254812676,5.880534084937559,3.2084511130348625,39.24107464390512,3,0,0,5.636198643351484,6,0.3333333333333333,5.775267707953449,2.005437979743378,4,0.75,7.260110858344092,10.341562576893178,20,0.65,5.636198643351484,3.664282654339819
8,08:00-09:00,SOL_R4C_H08_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,EFF_HIGH__RV_HIGH,30,720,302,0.5860927152317881,1425.7205562918411,4.720928994343845,1.6675920116707037,313.13681783706306,9,1,4,3.202062892114443,111,0.5945945945945946,6.333926503831845,1.64489112532507,110,0.5454545454545454,3.202062892114443,1.6780171157366983,81,0.6296296296296297,4.573182669554538,1.7043527094729776
9,09:00-10:00,SOL_R4C_H09_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,EFF_LOW__RANGE_HIGH,30,720,220,0.5590909090909091,1225.232849561013,5.569240225277332,1.845234751616776,251.95154672610056,6,3,4,3.5987700848412096,77,0.5974025974025974,8.671886419478758,1.9151419301100383,81,0.5061728395061729,3.5987700848412096,1.7225317046135542,62,0.5806451612903226,4.290277715951786,1.8404817684975312
10,10:00-11:00,SOL_R4C_H10_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,EFF_LOW__EXT_HIGH,120,720,183,0.4808743169398907,507.64745269481386,2.774029796146524,1.4866291448458022,106.12953680799576,7,1,4,2.4202629815961005,52,0.4807692307692308,3.1485650413120467,1.3641923886056877,74,0.5,2.7833389269676974,1.6910049799138809,57,0.4561403508771929,2.4202629815961005,1.4667495251167637
11,11:00-12:00,SOL_R4C_H11_LONG_CHARACTER_FOUND,True,2,SELECTED_PASSER,EFF_LOW__RANGE_HIGH,360,240,201,0.6218905472636815,580.7516170739055,2.8893115277308734,1.8611712322349705,118.36611857949214,7,4,4,1.7086068382177972,58,0.5344827586206896,1.7086068382177972,1.3371242435155726,76,0.6447368421052632,3.7628040697846448,2.6610963063235165,67,0.6716417910447762,2.9205867336364224,1.9395897788164769
12,12:00-13:00,SOL_R4C_H12_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,EFF_MID__RANGE_HIGH,120,960,288,0.5243055555555556,859.6653580300737,2.9849491598266447,1.3466890614868348,641.4263410883523,9,1,4,2.927271952018667,87,0.5402298850574713,2.927271952018667,1.2621855630181975,98,0.5102040816326531,2.9544255510903104,1.374087022533225,103,0.5242718446601942,3.062708681530089,1.4295907603151754
13,13:00-14:00,SOL_R4C_H13_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,EFF_LOW__RANGE_HIGH,30,960,222,0.5765765765765766,1092.1796324364768,4.919728074038184,1.642169846238671,231.0909744567336,5,3,4,4.06080622183656,77,0.5714285714285714,5.382704335214085,1.5949557228639857,74,0.5945945945945946,4.06080622183656,1.547257458247141,71,0.5633802816901409,5.312841383226571,1.8289889715175616
14,14:00-15:00,SOL_R4C_H14_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,EFF_LOW__RANGE_HIGH,120,960,217,0.5299539170506913,1003.9350100170334,4.626428617590015,1.5740871077553875,390.0783109630639,11,2,4,3.6543880494719216,57,0.3859649122807017,3.6543880494719216,1.2952230541194727,89,0.6179775280898876,5.391019939392179,1.981634626550583,71,0.5352112676056338,4.448367839313098,1.569681882791376
15,15:00-16:00,SOL_R4C_H15_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,RV_LOW__RANGE_HIGH,240,960,25,0.56,144.25675386989116,5.770270154795647,2.8759265861442933,33.24767873723302,5,0,0,3.776517737215918,13,0.6923076923076923,3.776517737215918,2.0785881749860136,8,0.375,9.417262169677992,5.44140110630874,4,0.5,4.955981482165065,2.374879918537729
16,16:00-17:00,SOL_R4C_H16_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,RV_LOW__RANGE_HIGH,240,960,24,0.7083333333333334,315.2772641734406,13.136552673893355,7.83320151155778,25.163013734906883,3,0,0,6.422312070514585,17,0.7647058823529411,14.400093411804589,12.670549270517489,4,0.25,6.422312070514585,2.0209130175222803,3,1.0,14.928809296901411,inf
17,17:00-18:00,SOL_R4C_H17_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,EFF_HIGH__EXT_LOW,30,960,80,0.525,338.207163337537,4.227589541719213,1.7063448805081325,87.33039565088941,7,0,0,3.673032261835596,22,0.4090909090909091,5.455906354747373,1.9698058200920656,30,0.6,3.673032261835596,1.67481002256308,28,0.5357142857142857,3.856651988500962,1.5631492022549822
18,18:00-19:00,SOL_R4C_H18_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,RV_HIGH__RANGE_LOW,240,960,15,0.5333333333333333,139.1876859865283,9.27917906576855,2.851146647029075,34.29168192669631,3,0,0,6.775143155570112,5,0.6,11.512235341860803,2.6785754875584638,3,0.6666666666666666,11.400169062744489,12.458740142792175,7,0.4285714285714285,6.775143155570112,2.2508956405804588
19,19:00-20:00,SOL_R4C_H19_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,EFF_LOW__RANGE_HIGH,360,960,156,0.5512820512820513,1123.6044058781135,7.202592345372523,1.9597736219264743,255.23522303187468,9,1,2,3.678787250400752,49,0.6326530612244898,9.021361135007163,1.813467682944265,62,0.4516129032258064,3.678787250400752,1.704631459332397,45,0.6,10.077175571953685,2.4936855597482603
20,20:00-21:00,SOL_R4C_H20_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,EFF_MID__RV_HIGH,120,720,322,0.515527950310559,871.6172519754349,2.706885875700108,1.3535515063255843,345.1367539406116,13,2,4,2.5208433770804928,103,0.4951456310679611,2.8391341964486085,1.2871844382469928,115,0.4956521739130435,2.5208433770804928,1.3635536426757993,104,0.5576923076923077,2.781629244009343,1.4452987007672091
21,21:00-22:00,SOL_R4C_H21_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,DRIVE_UP__RV_HIGH,240,960,510,0.5333333333333333,2346.0077024691527,4.600015102880692,1.590983700010888,388.56880264021606,11,1,4,2.972064598348248,162,0.5308641975308642,2.972064598348248,1.263908511412112,191,0.518324607329843,5.3782428455708144,1.8932103132137448,157,0.554140127388535,5.333050025686057,1.8413207083905647
22,22:00-23:00,SOL_R4C_H22_LONG_CHARACTER_FOUND,True,1,SELECTED_PASSER,EFF_HIGH__RANGE_LOW,240,960,171,0.6081871345029239,1002.9349212869736,5.865116498754231,2.402657365857495,119.05058021829312,7,3,3,4.1370941838131206,74,0.6081081081081081,4.856284517025849,2.020728321500493,46,0.6304347826086957,9.40387094896938,5.327178346230027,51,0.5882352941176471,4.1370941838131206,1.8022810278169907
23,23:00-00:00,SOL_R4C_H23_NO_LONG_CHARACTER,False,0,BEST_NEAR_MISS,DRIVE_UP__STR_B60_80,30,960,252,0.5873015873015873,903.664942934196,3.5859719957706195,1.60597485284812,177.8047975527179,6,4,4,2.326043816996258,80,0.5625,2.326043816996258,1.281739225357738,78,0.6666666666666666,5.289191540218121,2.256290977432916,94,0.5425531914893617,3.244941462100872,1.6071541079415568
