roundtrip_bps,n,mean_r,pf,cum_r,max_dd_r,wr
0.0,279,0.16976915252216107,1.4660443621115087,47.36559355368294,5.868480093378194,0.5913978494623656
10.0,279,0.10481865927070644,1.267224660164318,29.244405936527098,6.8121930987308925,0.5842293906810035
12.0,279,0.09182856062041553,1.2307415489107492,25.620168413095932,7.000935699801433,0.5806451612903226
15.0,279,0.07234341264497918,1.1779174676771633,20.18381212794919,7.515948544012328,0.5770609318996416
18.0,279,0.05285826466954278,1.1272912015514678,14.747455842802434,8.292106533194541,0.5770609318996416
19.0,279,0.04636321534439729,1.1108808447080507,12.935337081086843,8.550825862921947,0.5770609318996416
19.5,279,0.04311569068182459,1.1027596920983243,12.02927770022906,8.680185527785648,0.5734767025089605
20.0,279,0.03986816601925183,1.0946935135771816,11.123218319371261,8.809545192649349,0.5734767025089605
25.0,279,0.007392919393524534,1.016974963920786,2.062624510793345,10.103141841286368,0.5663082437275986
30.0,279,-0.025082327232202762,0.9442972663161655,-6.997969297784571,15.039437132969596,0.5627240143369175
