start_min_wib,start_wib,reference_duration_h,sessions,k1_qualified,k1_rate,causal_leave,h2,opposite_break_before_h2,ambiguous_h2_vs_opposite,no_h2_by_end,h2_rate,resolved_h2_share,median_minutes_leave_to_h2
60,01:00,3,1095,265,0.2420091324200913,161,119,15,0,27,0.7391304347826086,0.8880597014925373,20.0
90,01:30,3,1095,276,0.25205479452054796,167,129,18,0,20,0.7724550898203593,0.8775510204081632,25.0
120,02:00,3,1095,292,0.26666666666666666,167,135,18,0,14,0.8083832335329342,0.8823529411764706,20.0
60,01:00,4,1095,269,0.245662100456621,162,132,9,0,21,0.8148148148148148,0.9361702127659575,25.0
90,01:30,4,1095,288,0.26301369863013696,170,133,11,0,26,0.7823529411764706,0.9236111111111112,20.0
120,02:00,4,1095,278,0.25388127853881276,162,126,14,0,22,0.7777777777777778,0.9,20.0
60,01:00,5,1095,261,0.23835616438356164,163,128,9,0,26,0.7852760736196319,0.9343065693430657,20.0
90,01:30,5,1095,256,0.23378995433789954,146,106,14,0,26,0.726027397260274,0.8833333333333333,15.0
120,02:00,5,1095,235,0.2146118721461187,138,98,11,0,29,0.7101449275362319,0.8990825688073395,15.0
