partition,k,entry_method,setups,valid_plans,fills,fill_rate,wins,losses,wr,tp_rate,net_pf,net_exp,total_net,time_exit_rate,median_nominal_rr
external,1,NEXT_OPEN,101,101,101,1.0,52,49,0.5148514851485149,0.9108910891089109,0.6751146255957501,-0.1708145866708065,-17.252273253751458,0.04950495049504951,0.056722664918879395
external,1,F50,101,101,17,0.16831683168316833,11,6,0.6470588235294118,0.47058823529411764,1.9609850750860005,1.0888153780943166,18.509861427603383,0.29411764705882354,1.0
external,1,F55,101,101,19,0.18811881188118812,14,5,0.7368421052631579,0.5263157894736842,2.4075828819017997,1.39264607628239,26.46027544936541,0.3157894736842105,0.8181818181818182
external,1,F60,101,101,21,0.2079207920792079,16,5,0.7619047619047619,0.5714285714285714,1.9385267170815739,0.948080716147903,19.909695039105962,0.2857142857142857,0.6666666666666707
external,1,F65,101,101,24,0.2376237623762376,17,7,0.7083333333333334,0.625,2.011255383643935,1.0575904394186189,25.38217054604685,0.25,0.5384615384615384
external,1,F70,101,101,31,0.3069306930693069,24,7,0.7741935483870968,0.7096774193548387,2.3122932392883055,1.2502128538877741,38.756598470521,0.1935483870967742,0.42857142857142705
external,1,F75,101,101,40,0.39603960396039606,32,8,0.8,0.75,2.062864606101013,0.9064924132379584,36.25969652951834,0.175,0.3333333333333333
external,1,F80,101,101,45,0.44554455445544555,38,7,0.8444444444444444,0.8222222222222222,2.0990966403648716,0.7473144272244109,33.62914922509849,0.13333333333333333,0.25
external,1,SIG_MID,101,91,59,0.5841584158415841,39,20,0.6610169491525424,0.9152542372881356,0.7213797979589747,-0.17650508144279875,-10.413799805125127,0.06779661016949153,0.057845957174816234
external,1,SIG_LOW,101,101,58,0.5742574257425742,48,10,0.8275862068965517,0.8275862068965517,1.4830524731902754,0.3450439432164263,20.012548706552725,0.08620689655172414,0.1572953383458512
external,2,NEXT_OPEN,27,26,26,0.9629629629629629,16,10,0.6153846153846154,0.9615384615384616,2.0166825869305924,0.20836143954769265,5.417397428240009,0.038461538461538464,0.049423719261686774
external,2,F50,27,27,1,0.037037037037037035,1,0,1.0,1.0,inf,1.632175751749632,1.632175751749632,0.0,1.0000000000000435
external,2,F55,27,27,1,0.037037037037037035,1,0,1.0,1.0,inf,1.4282151256850955,1.4282151256850955,0.0,0.8181818181818146
external,2,F60,27,27,1,0.037037037037037035,1,0,1.0,1.0,inf,1.2244201584969532,1.2244201584969532,0.0,0.6666666666666908
external,2,F65,27,27,3,0.1111111111111111,3,0,1.0,1.0,inf,2.372244847548048,7.116734542644144,0.0,0.5384615384615308
external,2,F70,27,27,4,0.14814814814814814,4,0,1.0,1.0,inf,2.253267348586036,9.013069394344145,0.0,0.42857142857142866
external,2,F75,27,27,6,0.2222222222222222,5,1,0.8333333333333334,0.8333333333333334,47.05109846596329,1.24081673694468,7.4449004216680805,0.16666666666666666,0.33333333333333237
external,2,F80,27,27,8,0.2962962962962963,7,1,0.875,0.875,7.3392097060635875,1.009034935444753,8.072279483558024,0.125,0.24999999999999778
external,2,SIG_MID,27,23,17,0.6296296296296297,12,5,0.7058823529411765,0.9411764705882353,0.6777559873217971,-0.09752795513945534,-1.6579752373707408,0.058823529411764705,0.03760129151581075
external,2,SIG_LOW,27,27,17,0.6296296296296297,15,2,0.8823529411764706,0.9411764705882353,5.61933911240308,0.7978675304844827,13.563748018236206,0.058823529411764705,0.11071286340103749
development,1,NEXT_OPEN,164,164,164,1.0,91,73,0.5548780487804879,0.8353658536585366,0.3837333462362989,-0.7238782928273876,-118.71604002369156,0.03048780487804878,0.08893012567533254
development,1,F50,164,164,62,0.3780487804878049,21,41,0.3387096774193548,0.3225806451612903,0.6401497475245198,-0.8706527595669952,-53.9804710931537,0.16129032258064516,1.0
development,1,F55,164,164,68,0.4146341463414634,27,41,0.39705882352941174,0.38235294117647056,0.6394034113540227,-0.8942793596251419,-60.81099645450965,0.14705882352941177,0.8181818181818167
development,1,F60,164,164,75,0.4573170731707317,35,40,0.4666666666666667,0.4533333333333333,0.642736113046192,-0.8849092056840264,-66.36819042630198,0.13333333333333333,0.6666666666666666
development,1,F65,164,164,82,0.5,44,38,0.5365853658536586,0.5121951219512195,0.6603937485553775,-0.8129451514966067,-66.66150242272175,0.12195121951219512,0.5384615384615384
development,1,F70,164,164,86,0.524390243902439,49,37,0.5697674418604651,0.5581395348837209,0.5530817724396591,-1.0993968268289653,-94.54812710729102,0.10465116279069768,0.42857142857142855
development,1,F75,164,164,99,0.6036585365853658,62,37,0.6262626262626263,0.6161616161616161,0.5031597757655792,-1.1480908917108137,-113.66099827937056,0.09090909090909091,0.3333333333333333
development,1,F80,164,164,110,0.6707317073170732,75,35,0.6818181818181818,0.6818181818181818,0.48014431230494614,-1.0674848366198375,-117.42333202818213,0.09090909090909091,0.25
development,1,SIG_MID,164,146,107,0.6524390243902439,66,41,0.616822429906542,0.794392523364486,0.287677615284734,-0.9850090313696364,-105.39596635655109,0.08411214953271028,0.09320309320310023
development,1,SIG_LOW,164,164,106,0.6463414634146342,66,40,0.6226415094339622,0.6226415094339622,0.45606320594569755,-1.2199000597884229,-129.30940633757282,0.09433962264150944,0.2613348567570601
development,2,NEXT_OPEN,44,43,43,0.9772727272727273,18,25,0.4186046511627907,0.9069767441860465,0.6169811670098927,-0.1514385663144024,-6.511858351519303,0.046511627906976744,0.05151825315592066
development,2,F50,44,43,9,0.20454545454545456,4,5,0.4444444444444444,0.3333333333333333,1.7925549143188497,1.23674115148608,11.13067036337472,0.2222222222222222,1.0
development,2,F55,44,43,13,0.29545454545454547,8,5,0.6153846153846154,0.46153846153846156,1.9948138263024353,1.2137331281986883,15.778530666582949,0.23076923076923078,0.8181818181818146
development,2,F60,44,43,13,0.29545454545454547,8,5,0.6153846153846154,0.46153846153846156,1.5469959949667504,0.7436818349426569,9.66786385425454,0.23076923076923078,0.6666666666666666
development,2,F65,44,43,17,0.38636363636363635,12,5,0.7058823529411765,0.5882352941176471,1.8660341200302957,0.9926325429217255,16.874753229669334,0.17647058823529413,0.5384615384615404
development,2,F70,44,43,19,0.4318181818181818,14,5,0.7368421052631579,0.631578947368421,1.661786774656937,0.7416421497275735,14.091200844823895,0.15789473684210525,0.42857142857142855
development,2,F75,44,43,21,0.4772727272727273,16,5,0.7619047619047619,0.7142857142857143,1.5981830238153063,0.569636691838043,11.962370528598903,0.14285714285714285,0.3333333333333333
development,2,F80,44,43,23,0.5227272727272727,19,4,0.8260869565217391,0.782608695652174,2.61957260532741,0.8117391984700246,18.670001564810565,0.13043478260869565,0.25
development,2,SIG_MID,44,39,27,0.6136363636363636,16,11,0.5925925925925926,0.9259259259259259,0.6441693834000527,-0.17333674518452133,-4.680092119982076,0.0,0.07767584097859773
