freeze_rank,candidate_id,shape_rule,local_scale_state,principal_local_scale_variable,local_scale_band,broad_regime,lookback_min,hold_min,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,min_year_expectancy,calendar_score,plateau_score,pooled_economic_score,clock_score,local_scale_support_score,broad_regime_support_score,sample_concentration_score,robustness_score,anchor_positive_fraction,evaluable_hours,hour_positive_fraction,best_hour_utc,remove_best_hour_expectancy,remove_best_anchor_expectancy,local_low_expectancy,local_mid_expectancy,local_high_expectancy,broad_quiet_expectancy,broad_normal_expectancy,broad_active_expectancy,freeze_status
1,DRIVE_UP__STR_B80_100|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,DRIVE_UP__STR_B80_100,RANGE_72H_LOW,RANGE_72H,LOW,BROAD_NORMAL,60,720,341,0.6217008797653959,1406.6769568174966,4.125152366033714,1.9715245499409115,320.42111555490953,10,2.698437174751084,25.0,20.0,15.0,15.0,8.0,5.0,4.933455998661874,92.93345599866187,1.0,3,1.0,12,3.60293275681183,3.638983888461636,4.125152366033714,1.1808826758788464,-1.2080850608880085,0.019128741918811264,4.125152366033714,-1.508826121408945,FROZEN_BEFORE_SECONDARY_HISTORICAL_CONFIRMATION
2,EFF_HIGH__RV_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB30|H960,EFF_HIGH__RV_HIGH,RANGE_72H_LOW,RANGE_72H,LOW,BROAD_NORMAL,30,960,281,0.604982206405694,1526.4046578600075,5.432045045765151,2.1466711568065904,230.87614477381533,10,5.110371281614395,25.0,20.0,15.0,15.0,8.0,5.0,4.212795132072623,92.21279513207263,1.0,1,1.0,12,5.025209199062702,4.8280179234093215,5.432045045765151,0.9970646854543598,-0.16735528450676743,-0.38474225801343465,5.432045045765151,11.233205734499162,FROZEN_BEFORE_SECONDARY_HISTORICAL_CONFIRMATION
3,RV_MID__RANGE_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,RV_MID__RANGE_HIGH,RANGE_72H_LOW,RANGE_72H,LOW,BROAD_NORMAL,60,720,286,0.5384615384615384,616.8112008318209,2.1566825203909823,1.476807069575946,209.0542645751813,9,1.4127976055236493,23.423229660323663,20.0,14.652106043639192,15.0,8.0,5.0,3.698931434999791,89.77426713896264,1.0,1,1.0,15,1.7775285711317361,1.791885203726975,2.1566825203909823,0.19661306373528234,0.11082115527028483,-1.3155569654465458,2.1566825203909823,6.906786726974033,FROZEN_BEFORE_SECONDARY_HISTORICAL_CONFIRMATION
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,EFF_HIGH__EXT_LOW,RANGE_RATIO_24_72_HIGH,RANGE_RATIO_24_72,HIGH,BROAD_ACTIVE,120,240,316,0.5379746835443038,593.1619456861981,1.877094764829741,1.456746431158099,320.69757246601444,10,1.291656449264417,23.51579080530717,18.88888888888889,13.890301835483015,15.0,8.0,3.0,4.62173360428832,86.9167151339674,1.0,1,1.0,20,1.4980444357052918,1.7580802369156865,-1.6448436078506987,2.6420488312158197,1.877094764829741,-1.2456337866162734,-0.8691725450004908,1.877094764829741,FROZEN_BEFORE_SECONDARY_HISTORICAL_CONFIRMATION
5,DRIVE_UP__RV_HIGH|RANGE_72H_MID|BROAD_QUIET|LB30|H720,DRIVE_UP__RV_HIGH,RANGE_72H_MID,RANGE_72H,MID,BROAD_QUIET,30,720,241,0.5228215767634855,581.2047565544028,2.4116379940016714,1.5712985162326167,362.22192138398304,10,2.109871174928651,25.0,15.555555555555557,15.0,15.0,6.0,5.0,4.002596780695148,85.5581523362507,1.0,1,1.0,10,1.7296086406257305,2.0852738872976757,-0.8053432426916424,2.4116379940016714,-1.4114170334118876,2.4116379940016714,0.760030469044581,-0.27790259568852893,FROZEN_BEFORE_SECONDARY_HISTORICAL_CONFIRMATION
