component,hour_wib,anchor_utc_min,lookback_min,hold_min,character_rule,entry_ts,exit_ts,gross,net
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-01-19 18:45:00+00:00,2022-01-20 00:45:00+00:00,-3.368642106909327,-4.118642106909327
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-01-26 18:00:00+00:00,2022-01-27 00:00:00+00:00,-25.573273818471975,-26.323273818471975
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-01-27 18:00:00+00:00,2022-01-28 00:00:00+00:00,-5.123197790569869,-5.873197790569869
03WIB_H4,3,1200,360,240,RV_HIGH__RANGE_MID,2022-01-28 20:00:00+00:00,2022-01-29 00:00:00+00:00,16.987360606886043,16.237360606886043
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-01-28 20:15:00+00:00,2022-01-29 00:15:00+00:00,21.8434774133814,21.0934774133814
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-01-28 20:30:00+00:00,2022-01-29 00:30:00+00:00,20.17544214740547,19.42544214740547
01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-02-01 18:15:00+00:00,2022-02-02 00:15:00+00:00,2.5209267509735023,1.7709267509735023
01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-02-01 18:30:00+00:00,2022-02-02 00:30:00+00:00,0.26895505581713924,-0.48104494418286076
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-02-01 20:30:00+00:00,2022-02-02 00:30:00+00:00,4.807309571195977,4.057309571195977
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-02-01 20:45:00+00:00,2022-02-02 00:45:00+00:00,-1.9440334373751555,-2.6940334373751558
01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-02-02 18:45:00+00:00,2022-02-03 00:45:00+00:00,2.114660779371572,1.364660779371572
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-02-02 20:30:00+00:00,2022-02-03 00:30:00+00:00,1.7218993789325234,0.9718993789325234
03WIB_H4,3,1215,360,240,RV_HIGH__RANGE_MID,2022-02-18 20:15:00+00:00,2022-02-19 00:15:00+00:00,-1.0258212847156671,-1.7758212847156671
03WIB_H4,3,1230,360,240,RV_HIGH__RANGE_MID,2022-02-18 20:30:00+00:00,2022-02-19 00:30:00+00:00,2.127897054428828,1.377897054428828
03WIB_H4,3,1245,360,240,RV_HIGH__RANGE_MID,2022-02-18 20:45:00+00:00,2022-02-19 00:45:00+00:00,2.3592945440192494,1.6092945440192494
01WIB_H6,1,1080,240,360,RV_HIGH__RANGE_MID,2022-02-22 18:00:00+00:00,2022-02-23 00:00:00+00:00,8.181201169238895,7.431201169238895
