scope,sessions,k1_qualified,k1_rate,causal_leave,leave_rate,h2,opposite_break_before_h2,ambiguous_h2_vs_opposite,no_h2_by_end,h2_rate,resolved_h2_share,median_minutes_leave_to_h2
POOLED,1095,230,0.2100456621004566,137,0.5956521739130435,105,5,0,27,0.7664233576642335,0.9545454545454546,20.0
Monday,157,30,0.1910828025477707,24,0.8,18,0,0,6,0.75,1.0,15.0
Tuesday,157,35,0.2229299363057325,19,0.5428571428571428,18,0,0,1,0.9473684210526315,1.0,12.5
Wednesday,156,28,0.1794871794871795,18,0.6428571428571429,13,0,0,5,0.7222222222222222,1.0,20.0
Thursday,156,36,0.23076923076923078,23,0.6388888888888888,17,1,0,5,0.7391304347826086,0.9444444444444444,40.0
Friday,156,35,0.22435897435897437,19,0.5428571428571428,10,2,0,7,0.5263157894736842,0.8333333333333334,40.0
Saturday,156,41,0.26282051282051283,18,0.43902439024390244,16,1,0,1,0.8888888888888888,0.9411764705882353,27.5
Sunday,157,25,0.1592356687898089,16,0.64,13,1,0,2,0.8125,0.9285714285714286,15.0
