scope,name,source_n,trades_n,fill_rate,wr,pf,expectancy,total_net,avg_win,avg_loss,max_dd,max_loss_streak,median_hold_min,pre_t5_sl_n,high_sl_n,total_sl_n,l_lock_n,t5_lock_n,t10_lock_n,structural_n,time_original_n,time_extended_n,extension_used_n,t10_reach_n
PARTITION,external,202,183,0.905940594059406,0.6721311475409836,0.884514789450386,-0.21623931585627165,-39.57179480169771,2.4641058816819514,-5.710946970809631,126.49634968566974,4,45.0,0,23,23,19,18,85,18,1,19,52,106
PARTITION,development,333,297,0.8918918918918919,0.5622895622895623,0.5136279897113808,-0.5557704188364866,-165.06381439443652,1.0437957246305014,-2.6105976954440786,167.21011741188798,6,50.0,0,38,38,33,24,147,22,7,26,83,176
PARTITION,reference_validation,194,172,0.8865979381443299,0.5581395348837209,0.584897695654037,-0.42177994529209484,-72.54615059024032,1.0647996656626033,-2.2995647170243454,83.3867419475975,6,50.0,0,17,17,14,15,92,12,3,19,56,107
POOL,POOLED_REUSED_EXTVAL,396,355,0.8964646464646465,0.6169014084507042,0.7833150328629976,-0.31582519828714944,-112.11794539193805,1.850711376029635,-3.8045862995766764,126.49634968566974,6,50.0,0,40,40,33,33,177,30,4,38,108,213
POOL,POOLED_MAJOR,729,652,0.8943758573388203,0.5920245398773006,0.6764924196342155,-0.4251253984453597,-277.1817597863745,1.5016053817714603,-3.221058034399091,286.77944910626144,6,50.0,0,78,78,66,57,324,52,11,64,191,389
CLOCK_DEVELOPMENT,00-04,47,42,0.8936170212765957,0.38095238095238093,0.3260884358981177,-0.8323197213335023,-34.957428296007095,1.0571874081187138,-1.995093339457943,41.375744799392,5,45.0,0,7,7,6,2,18,4,0,5,12,22
CLOCK_REUSED,00-04,65,59,0.9076923076923077,0.6440677966101694,0.5558058593112007,-0.8304086263485532,-48.99410895456464,1.6132830180996107,-5.2523268401118965,65.06045295429678,3,40.0,0,6,6,1,2,35,8,0,7,15,43
CLOCK_DEVELOPMENT,04-08,43,38,0.8837209302325582,0.6052631578947368,0.6737544143831783,-0.23515099784748633,-8.935737918204481,0.802342073044075,-1.8259737065478803,16.81149587520922,3,60.0,0,1,1,4,4,21,3,0,5,14,24
CLOCK_REUSED,04-08,69,58,0.8405797101449275,0.7068965517241379,1.8765152175215611,0.9673903741474291,56.10864170055089,2.9298037379025503,-3.7654889149090387,30.442060926319826,6,37.5,0,4,4,10,5,27,7,1,4,13,36
CLOCK_DEVELOPMENT,08-12,58,50,0.8620689655172413,0.58,0.43725128617294057,-0.6037574399480891,-30.187871997404454,0.8088185190228703,-2.554457573765128,36.53717502106531,3,45.0,0,8,8,2,6,26,4,2,2,15,32
CLOCK_REUSED,08-12,69,64,0.927536231884058,0.625,0.85461561989515,-0.20181838393534063,-12.9163765718618,1.8981642255515978,-3.701789399746905,39.03946000769337,4,62.5,0,9,9,5,5,33,6,2,4,23,41
CLOCK_DEVELOPMENT,12-16,82,76,0.926829268292683,0.5657894736842105,0.4586775788295174,-0.8818366886139651,-67.01958833466135,1.3206410608313093,-3.751731937891141,83.05853877112318,5,45.0,0,18,18,5,3,41,4,4,1,11,49
CLOCK_REUSED,12-16,75,71,0.9466666666666667,0.6197183098591549,0.7200219902030335,-0.3009411709678562,-21.36682313871779,1.248846661192195,-2.8265213418953463,37.12003992477804,3,40.0,0,7,7,6,6,42,3,1,6,13,46
CLOCK_DEVELOPMENT,16-20,60,54,0.9,0.6296296296296297,0.5698814394559755,-0.41436774926431963,-22.37585846027326,0.8719611150575878,-2.6011268186115624,27.37564525743093,2,55.0,0,2,2,10,6,26,2,1,7,17,29
CLOCK_REUSED,16-20,62,52,0.8387096774193549,0.5769230769230769,0.42637279370432984,-1.2839306979447802,-66.76439629312857,1.6541824757181793,-5.290448662030634,76.16335761511958,4,60.0,0,6,6,6,8,18,2,0,12,22,21
CLOCK_DEVELOPMENT,20-00,43,37,0.8604651162790697,0.5945945945945946,0.9481982150926329,-0.04290079426718492,-1.587329387885842,1.3206836010915035,-2.042824574126595,15.936697982902288,5,70.0,0,2,2,6,3,15,5,0,6,14,20
CLOCK_REUSED,20-00,56,51,0.9107142857142857,0.5098039215686274,0.7046118632724594,-0.3565663163571783,-18.184882134216092,1.668376423947476,-2.462506766274019,29.827093138962503,5,65.0,0,8,8,5,7,22,4,0,5,22,26
