block,start,end,n,wins,wr,pf,expectancy,net
B1,2023-12-04 23:00:00+00:00,2024-03-25 23:00:00+00:00,17,9,0.5294117647058824,0.6343730459504394,-0.774335029386202,-13.163695499565435
B2,2024-04-01 23:00:00+00:00,2024-07-22 23:00:00+00:00,17,9,0.5294117647058824,1.7736218405302389,1.192447490775718,20.271607343187206
B3,2024-07-29 23:00:00+00:00,2024-11-25 23:00:00+00:00,18,10,0.5555555555555556,1.558775782857358,0.7571642875652147,13.628957176173865
B4,2024-12-02 23:00:00+00:00,2025-03-24 23:00:00+00:00,17,10,0.5882352941176471,1.6012770790885396,1.0707698096191365,18.20308676352532
B5,2025-03-31 23:00:00+00:00,2025-07-21 23:00:00+00:00,17,13,0.7647058823529411,2.26909271434784,1.4183977395652343,24.11276157260898
B6,2025-07-28 23:00:00+00:00,2025-11-24 23:00:00+00:00,18,13,0.7222222222222222,3.5415590874380003,1.6773984083377131,30.193171350078835
B7,2025-12-01 23:00:00+00:00,2026-03-23 23:00:00+00:00,17,10,0.5882352941176471,1.4043333344075417,0.6289592245457936,10.69230681727849
B8,2026-03-30 23:00:00+00:00,2026-07-27 23:00:00+00:00,18,15,0.8333333333333334,2.8519526325526043,1.4661291674374795,26.39032501387463
