entry_ts,entry_px,exit_ts,exit_px,exit_reason,pnl_0bps,H,L,range,target_px,stop_px,execution_start,execution_end,partition,exec_min,execution_utc,zone,tie_order,entry_f,target_ext,stop_f,accepted,decision,blocked_by_zone,portfolio
2020-01-02 10:20:00+00:00,129.91,2020-01-02 13:35:00+00:00,129.07,CLOSE_INVALIDATION,-3.633007466707738,130.22,128.67,1.5500000000000114,130.60750000000002,129.21249999999998,2020-01-02 09:00:00+00:00,2020-01-02 15:00:00+00:00,external,540,09:00,ETH_0900,1,0.8,0.25,0.35,True,ACCEPT,,ETH_S5B_external
2020-01-02 10:20:00+00:00,129.905,2020-01-02 13:35:00+00:00,129.07,CLOSE_INVALIDATION,-3.613887071321364,130.22,128.96,1.259999999999991,130.535,129.401,2020-01-02 10:00:00+00:00,2020-01-02 16:00:00+00:00,external,600,10:00,ETH_1000,2,0.75,0.25,0.35,False,SKIP_OPEN_POSITION,ETH_0900,ETH_S5B_external
2020-01-10 16:15:00+00:00,142.364,2020-01-10 18:15:00+00:00,144.555,TARGET,7.295063358714282,142.99,136.73,6.260000000000019,144.555,138.921,2020-01-10 16:00:00+00:00,2020-01-10 22:00:00+00:00,external,960,16:00,ETH_1600,3,0.9,0.25,0.35,True,ACCEPT,,ETH_S5B_external
2020-01-13 11:10:00+00:00,143.72,2020-01-13 12:00:00+00:00,142.81,CLOSE_INVALIDATION,-3.565878096298369,144.07,142.32,1.75,144.5075,142.9325,2020-01-13 09:00:00+00:00,2020-01-13 15:00:00+00:00,external,540,09:00,ETH_0900,1,0.8,0.25,0.35,True,ACCEPT,,ETH_S5B_external
2020-01-16 11:20:00+00:00,162.055,2020-01-16 11:35:00+00:00,163.54500000000002,TARGET,4.197204652741382,162.8,159.82,2.980000000000018,163.54500000000002,160.863,2020-01-16 10:00:00+00:00,2020-01-16 16:00:00+00:00,external,600,10:00,ETH_1000,2,0.75,0.25,0.35,True,ACCEPT,,ETH_S5B_external
2020-01-16 11:25:00+00:00,162.138,2020-01-16 11:35:00+00:00,163.6275,TARGET,4.1933094031009865,162.8,159.49,3.3100000000000023,163.6275,160.6485,2020-01-16 09:00:00+00:00,2020-01-16 15:00:00+00:00,external,540,09:00,ETH_0900,1,0.8,0.25,0.35,False,SKIP_OPEN_POSITION,ETH_1000,ETH_S5B_external
2020-01-17 16:45:00+00:00,170.693,2020-01-17 18:40:00+00:00,172.81750000000002,TARGET,5.823160879473721,171.3,165.23,6.070000000000022,172.81750000000002,167.3545,2020-01-17 16:00:00+00:00,2020-01-17 22:00:00+00:00,external,960,16:00,ETH_1600,3,0.9,0.25,0.35,True,ACCEPT,,ETH_S5B_external
2020-01-22 17:10:00+00:00,168.38799999999998,2020-01-22 22:00:00+00:00,168.04,TIME_EXIT,-1.4333277905788528,168.64,166.12,2.519999999999982,169.26999999999998,167.002,2020-01-22 16:00:00+00:00,2020-01-22 22:00:00+00:00,external,960,16:00,ETH_1600,3,0.9,0.25,0.35,True,ACCEPT,,ETH_S5B_external
2020-01-27 16:55:00+00:00,170.493,2020-01-27 22:00:00+00:00,171.7,TIME_EXIT,3.139734769169356,171.0,165.93,5.069999999999993,172.26749999999998,167.7045,2020-01-27 16:00:00+00:00,2020-01-27 22:00:00+00:00,external,960,16:00,ETH_1600,3,0.9,0.25,0.35,True,ACCEPT,,ETH_S5B_external
2020-02-04 16:15:00+00:00,188.546,2020-02-04 22:00:00+00:00,188.19,TIME_EXIT,-1.344066699903434,188.95,184.91,4.039999999999992,189.95999999999998,186.32399999999998,2020-02-04 16:00:00+00:00,2020-02-04 22:00:00+00:00,external,960,16:00,ETH_1600,3,0.9,0.25,0.35,True,ACCEPT,,ETH_S5B_external
2020-02-17 09:20:00+00:00,251.664,2020-02-17 11:05:00+00:00,246.15,CLOSE_INVALIDATION,-11.355082967766483,254.0,242.32,11.680000000000007,256.92,246.408,2020-02-17 09:00:00+00:00,2020-02-17 15:00:00+00:00,external,540,09:00,ETH_0900,1,0.8,0.25,0.35,True,ACCEPT,,ETH_S5B_external
2020-02-17 16:10:00+00:00,256.959,2020-02-17 16:45:00+00:00,262.3875,TARGET,10.162969189637282,258.51,243.0,15.509999999999991,262.3875,248.42849999999999,2020-02-17 16:00:00+00:00,2020-02-17 22:00:00+00:00,external,960,16:00,ETH_1600,3,0.9,0.25,0.35,True,ACCEPT,,ETH_S5B_external
2020-03-09 06:25:00+00:00,205.156,2020-03-09 11:00:00+00:00,203.59,TIME_EXIT,-4.216607849636389,207.4,196.18,11.219999999999999,210.76600000000002,200.107,2020-03-09 05:00:00+00:00,2020-03-09 11:00:00+00:00,external,300,05:00,ETH_0500,0,0.8,0.3,0.35,True,ACCEPT,,ETH_S5B_external
2020-03-13 10:10:00+00:00,127.49,2020-03-13 15:00:00+00:00,126.99,TIME_EXIT,-2.3609381127931868,132.95,105.65,27.299999999999983,139.77499999999998,115.205,2020-03-13 09:00:00+00:00,2020-03-13 15:00:00+00:00,external,540,09:00,ETH_0900,1,0.8,0.25,0.35,True,ACCEPT,,ETH_S5B_external
2020-03-18 20:35:00+00:00,116.404,2020-03-18 22:00:00+00:00,116.49,TIME_EXIT,-0.030596886704969628,117.14,109.78,7.359999999999999,118.98,112.356,2020-03-18 16:00:00+00:00,2020-03-18 22:00:00+00:00,external,960,16:00,ETH_1600,3,0.9,0.25,0.35,True,ACCEPT,,ETH_S5B_external
2020-03-19 10:40:00+00:00,122.46,2020-03-19 12:10:00+00:00,126.7,TARGET,16.91177527355876,124.58,116.1,8.480000000000004,126.7,119.068,2020-03-19 10:00:00+00:00,2020-03-19 16:00:00+00:00,external,600,10:00,ETH_1000,2,0.75,0.25,0.35,True,ACCEPT,,ETH_S5B_external
2020-03-20 11:00:00+00:00,148.85199999999998,2020-03-20 13:25:00+00:00,137.28,CLOSE_INVALIDATION,-39.270824711794205,152.64,133.7,18.939999999999998,157.375,140.32899999999998,2020-03-20 09:00:00+00:00,2020-03-20 15:00:00+00:00,external,540,09:00,ETH_0900,1,0.8,0.25,0.35,True,ACCEPT,,ETH_S5B_external
2020-03-20 11:00:00+00:00,148.5025,2020-03-20 13:10:00+00:00,141.46,CLOSE_INVALIDATION,-24.111722024881697,152.64,136.09,16.549999999999983,156.77749999999997,141.8825,2020-03-20 10:00:00+00:00,2020-03-20 16:00:00+00:00,external,600,10:00,ETH_1000,2,0.75,0.25,0.35,False,SKIP_OPEN_POSITION,ETH_0900,ETH_S5B_external
2020-03-24 07:25:00+00:00,136.178,2020-03-24 08:20:00+00:00,138.53300000000002,TARGET,8.246771137775676,137.12,132.41,4.710000000000008,138.53300000000002,134.0585,2020-03-24 05:00:00+00:00,2020-03-24 11:00:00+00:00,external,300,05:00,ETH_0500,0,0.8,0.3,0.35,True,ACCEPT,,ETH_S5B_external
