character_rule,lookback_min,hold_min,trades,wr,net,exp,pf,dd,ls,H1_trades,H1_exp,H1_pf,H2_trades,H2_exp,H2_pf,min_half_exp,positive_anchors,dev_eligible
ALL,60,120,1040,0.45,-795.5812813604399,-0.7649820013081153,0.6824862990189327,937.5749263161501,22,516,-0.6595009371028675,0.7529025137012408,524,-0.8688526675865654,0.5965487140916301,-0.8688526675865654,0,False
ALL,60,240,1040,0.49038461538461536,-636.4346475933216,-0.6119563919166554,0.8076558333615766,820.9698791971125,18,516,-0.5740125917894469,0.843669836599501,524,-0.6493208973854336,0.759406271531761,-0.6493208973854336,0,False
ALL,60,360,1040,0.5346153846153846,-332.50843178458433,-0.3197196459467157,0.9209250442215176,850.6391774054687,17,516,-0.6957686265110725,0.8500704486763164,524,0.050588128807498335,1.0146420938089633,-0.6957686265110725,0,False
ALL,60,480,1040,0.48365384615384616,-203.94650656881146,-0.19610241016231872,0.9603797636340857,1177.7756870216576,20,516,-0.5304654223107585,0.9022431277398393,524,0.13315582317469443,1.0297222255910443,-0.5304654223107585,1,False
ALL,120,120,1040,0.45,-795.5812813604399,-0.7649820013081153,0.6824862990189327,937.5749263161501,22,516,-0.6595009371028675,0.7529025137012408,524,-0.8688526675865654,0.5965487140916301,-0.8688526675865654,0,False
ALL,120,240,1040,0.49038461538461536,-636.4346475933216,-0.6119563919166554,0.8076558333615766,820.9698791971125,18,516,-0.5740125917894469,0.843669836599501,524,-0.6493208973854336,0.759406271531761,-0.6493208973854336,0,False
ALL,120,360,1040,0.5346153846153846,-332.50843178458433,-0.3197196459467157,0.9209250442215176,850.6391774054687,17,516,-0.6957686265110725,0.8500704486763164,524,0.050588128807498335,1.0146420938089633,-0.6957686265110725,0,False
ALL,120,480,1040,0.48365384615384616,-203.94650656881146,-0.19610241016231872,0.9603797636340857,1177.7756870216576,20,516,-0.5304654223107585,0.9022431277398393,524,0.13315582317469443,1.0297222255910443,-0.5304654223107585,1,False
ALL,180,120,1038,0.4508670520231214,-792.8819350920639,-0.7638554287977495,0.6832223341900756,934.8755800477743,22,516,-0.6595009371028675,0.7529025137012408,522,-0.8670104435765984,0.5979791167031256,-0.8670104435765984,0,False
ALL,180,240,1038,0.4903660886319846,-636.2213063831498,-0.6129299676138245,0.8076195583217683,820.7565379869407,18,516,-0.5740125917894469,0.843669836599501,522,-0.6514000172793012,0.7592621427087747,-0.6514000172793012,0,False
ALL,180,360,1038,0.5346820809248555,-329.51481598014385,-0.3174516531600615,0.9215205699266665,850.6391774054687,17,516,-0.6957686265110725,0.8500704486763164,522,0.056516849232891915,1.0163519815533997,-0.6957686265110725,0,False
ALL,180,480,1038,0.48265895953757226,-214.82495511048836,-0.20696045771723348,0.9582664315169197,1177.7756870216576,20,516,-0.5304654223107585,0.9022431277398393,522,0.11282605900740067,1.0250882169730302,-0.5304654223107585,1,False
ALL,240,120,1039,0.4494706448508181,-798.3022827586525,-0.7683371345126588,0.6814003568976653,940.2959277143627,22,515,-0.6660650193073636,0.7509267637780855,524,-0.8688526675865654,0.5965487140916301,-0.8688526675865654,0,False
ALL,240,240,1039,0.4898941289701636,-639.9692288245665,-0.6159472847204682,0.8065876072932592,824.5044604283571,18,515,-0.5819904438730082,0.8418042748534232,524,-0.6493208973854336,0.759406271531761,-0.6493208973854336,0,False
ALL,240,360,1039,0.5351299326275265,-328.58587926984586,-0.3162520493453762,0.9217849179091656,850.6391774054687,17,515,-0.6895030267281068,0.8514652372673629,524,0.050588128807498335,1.0146420938089633,-0.6895030267281068,0,False
ALL,240,480,1039,0.48411934552454283,-186.48336909426146,-0.1794835121215221,0.9636489669033388,1177.7756870216576,20,515,-0.4975864474520414,0.9079055658384659,524,0.13315582317469443,1.0297222255910443,-0.4975864474520414,1,False
ALL,360,120,1038,0.44990366088631983,-792.5461717597898,-0.7635319573793736,0.6830659108541278,934.5398167154999,22,516,-0.6595009371028675,0.7529025137012408,522,-0.8663672188021269,0.5974568274347027,-0.8663672188021269,0,False
