role,partition,dev_block,ref_min,hour,parent_entry_ts,parent_exit_ts,reentry_ts,recovery_exit_ts,exit_reason,parent_pnl,parent_loss_dollars,parent_loss_ret,entry_price,entry_R,remaining_E40_R,risk_to_H_R,reward_to_Hrisk,required_recovery_ret_to_episode_be,required_exit_price_to_episode_be,required_exit_R_to_episode_be,recovery_pnl,recovery_pnl_5bps,combined_episode_pnl,recovery_hold_min,max_price_R,min_price_R,mfe_from_entry_R,mae_from_entry_R,outcome_class,recovery_win,episode_rescue,hit_E10,hit_E10_min,E10_episode_rescue_if_hit,hit_E20,hit_E20_min,E20_episode_rescue_if_hit,hit_E30,hit_E30_min,E30_episode_rescue_if_hit,hit_E40,hit_E40_min,E40_episode_rescue_if_hit,fail_close_below_H_R,exit_open_below_H_R
CENTRAL,development,0.0,360,15,2022-01-01 15:25:00+00:00,2022-01-01 15:50:00+00:00,2022-01-01 16:05:00+00:00,2022-01-01 16:25:00+00:00,TARGET,-0.2018803714598505,0.2018803714598505,0.000403760742919701,173.95,0.2035087719298194,0.19649122807018063,0.2035087719298194,0.9655172413793603,0.000403760742919701,174.02023418123088,0.22815234429153428,1.6096579476860828,1.3596579476860828,1.4077775762262323,20.0,0.42807017543859693,0.133333333333332,0.22456140350877754,0.0701754385964874,REC_TARGET,True,True,True,5.0,False,True,5.0,False,True,5.0,True,True,20.0,True,,
CENTRAL,development,0.0,360,15,2022-01-02 16:10:00+00:00,2022-01-02 16:20:00+00:00,2022-01-02 16:40:00+00:00,2022-01-02 16:50:00+00:00,TARGET,-0.622347949080615,0.622347949080615,0.00124469589816123,176.8,0.023923444976081957,0.37607655502391807,0.023923444976081957,15.719999999996226,0.00124469589816123,177.0200622347949,0.12921638028463722,2.222850678733068,1.972850678733068,1.6005027296524532,10.0,0.5837320574162664,-0.028708133971292907,0.5598086124401844,0.052631578947374864,REC_TARGET,True,True,True,5.0,False,True,5.0,True,True,5.0,True,True,10.0,True,,
CENTRAL,development,0.0,360,15,2022-01-06 17:05:00+00:00,2022-01-06 17:15:00+00:00,2022-01-06 17:30:00+00:00,2022-01-06 18:10:00+00:00,TARGET,-1.0920643325170731,1.0920643325170731,0.0021841286650341463,152.13,0.21355236139630207,0.18644763860369795,0.21355236139630207,0.8730769230769393,0.0021841286650341463,152.46227149381164,0.2817805942118351,2.984289752185676,2.734289752185676,1.8922254196686028,40.0,0.5030800821355208,0.08008213552361108,0.28952772073921873,0.13347022587269097,REC_TARGET,True,True,True,5.0,False,True,5.0,False,True,5.0,True,True,40.0,True,,
CENTRAL,development,0.0,360,15,2022-01-12 15:15:00+00:00,2022-01-12 15:35:00+00:00,2022-01-12 16:05:00+00:00,2022-01-12 16:30:00+00:00,TARGET,-1.4898083564705011,1.4898083564705011,0.0029796167129410023,148.3,0.07711138310893817,0.32288861689106185,0.07711138310893817,4.187301587301383,0.0029796167129410023,148.74187715852915,0.1311967146302526,8.894133513148939,8.644133513148939,7.404325156678437,25.0,0.5030599755201983,-0.018359853121172276,0.42594859241126015,0.09547123623011045,REC_TARGET,True,True,True,5.0,False,True,10.0,True,True,20.0,True,True,25.0,True,,
CENTRAL,development,0.0,360,15,2022-01-20 15:00:00+00:00,2022-01-20 15:20:00+00:00,2022-01-20 15:30:00+00:00,2022-01-20 17:35:00+00:00,FAILED_RECLAIM,-0.21141649048628253,0.21141649048628253,0.00042283298097256505,142.71,0.1281645569620258,0.27183544303797424,0.1281645569620258,2.120987654320976,0.00042283298097256505,142.7703424947146,0.1377124200497796,-2.8729591479224603,-3.1229591479224608,-3.084375638408743,125.0,0.29746835443037933,-0.10284810126582379,0.16930379746835353,0.2310126582278496,REC_FAIL,False,False,True,5.0,False,True,20.0,True,False,,False,False,,False,0.001582278481015718,0.001582278481015718
CENTRAL,development,0.0,360,15,2022-02-01 16:30:00+00:00,2022-02-01 16:45:00+00:00,2022-02-01 16:55:00+00:00,2022-02-01 17:45:00+00:00,FAILED_RECLAIM,-0.7654899135446924,0.7654899135446924,0.0015309798270893848,112.17,0.15500685871056166,0.24499314128943836,0.15500685871056166,1.5805309734513402,0.0015309798270893848,112.34173000720463,0.1785637869965191,-6.820005349023828,-7.070005349023828,-7.58549526256852,50.0,0.35253772290809204,-0.09602194787380003,0.19753086419753038,0.25102880658436166,REC_FAIL,False,False,True,5.0,False,True,5.0,True,True,5.0,True,False,,False,0.0521262002743497,0.05486968449931486
CENTRAL,development,0.0,360,15,2022-02-20 17:40:00+00:00,2022-02-20 18:00:00+00:00,2022-02-20 18:10:00+00:00,2022-02-20 18:40:00+00:00,TARGET,-0.16487140030774228,0.16487140030774228,0.00032974280061548455,91.18,0.05540166204986229,0.3445983379501377,0.05540166204986229,6.219999999999897,0.00032974280061548455,91.21006594856013,0.06373017965654416,6.821671419170894,6.571671419170894,6.6568000188631515,30.0,0.6703601108033247,-0.02493074792243862,0.6149584487534624,0.08033240997230091,REC_TARGET,True,True,True,5.0,True,True,5.0,True,True,20.0,True,True,30.0,True,,
CENTRAL,development,0.0,360,15,2022-03-15 15:15:00+00:00,2022-03-15 15:25:00+00:00,2022-03-15 15:35:00+00:00,2022-03-15 16:15:00+00:00,TARGET,-0.5566551212271564,0.5566551212271564,0.0011133102424543129,81.03,0.0999999999999985,0.3000000000000015,0.0999999999999985,3.0000000000000595,0.0011133102424543129,81.12021152894607,0.14747975207687783,3.5172158459829683,3.2672158459829683,2.960560724755812,40.0,0.5631578947368369,-0.17368421052631436,0.4631578947368383,0.27368421052631287,REC_TARGET,True,True,True,5.0,False,True,5.0,True,True,40.0,True,True,40.0,True,,
CENTRAL,development,0.0,360,15,2022-03-30 15:15:00+00:00,2022-03-30 15:30:00+00:00,2022-03-30 15:40:00+00:00,2022-03-30 15:45:00+00:00,TARGET,-0.5411705936225197,0.5411705936225197,0.0010823411872450395,121.22,0.11795961742826779,0.28204038257173225,0.11795961742826779,2.390990990990992,0.0010823411872450395,121.35120139871783,0.13190238031007806,10.947038442501222,10.697038442501222,10.405867848878703,5.0,0.5600425079702442,0.07757704569606846,0.44208289054197647,0.04038257173219932,REC_TARGET,True,True,True,5.0,False,True,5.0,True,True,5.0,True,True,5.0,True,,
CENTRAL,development,0.0,360,15,2022-04-10 15:05:00+00:00,2022-04-10 15:15:00+00:00,2022-04-10 15:40:00+00:00,2022-04-10 16:10:00+00:00,FAILED_RECLAIM,0.0,-0.0,-0.0,112.33,0.05836575875486033,0.3416342412451397,0.05836575875486033,5.853333333333743,-0.0,112.33,0.05836575875486033,-1.3798629039437627,-1.6298629039437627,-1.3798629039437627,30.0,0.22568093385213878,-0.06614785992217946,0.16731517509727845,0.12451361867703979,REC_FAIL,False,False,True,5.0,True,True,20.0,True,False,,False,False,,False,0.062256809338525426,0.062256809338525426
