role,partition,component,outcome,n,entry_to_e20_min_q25,entry_to_e20_min_q50,entry_to_e20_min_q75,break_to_e20_min_q25,break_to_e20_min_q50,break_to_e20_min_q75,e20_bar_close_R_q25,e20_bar_close_R_q50,e20_bar_close_R_q75,e20_bar_close_vs_E20_R_q25,e20_bar_close_vs_E20_R_q50,e20_bar_close_vs_E20_R_q75,running_mae_R_to_e20_q25,running_mae_R_to_e20_q50,running_mae_R_to_e20_q75,closes_gt_H_to_e20_q25,closes_gt_H_to_e20_q50,closes_gt_H_to_e20_q75,trigger_close_R_q25,trigger_close_R_q50,trigger_close_R_q75,trigger_close_vs_E10_R_q25,trigger_close_vs_E10_R_q50,trigger_close_vs_E10_R_q75,trigger_high_R_q25,trigger_high_R_q50,trigger_high_R_q75,trigger_low_R_q25,trigger_low_R_q50,trigger_low_R_q75,trigger_body_R_q25,trigger_body_R_q50,trigger_body_R_q75,trigger_upper_wick_R_q25,trigger_upper_wick_R_q50,trigger_upper_wick_R_q75,trigger_lower_wick_R_q25,trigger_lower_wick_R_q50,trigger_lower_wick_R_q75,post_e20_peak_R_q25,post_e20_peak_R_q50,post_e20_peak_R_q75,giveback_peak_to_trigger_close_R_q25,giveback_peak_to_trigger_close_R_q50,giveback_peak_to_trigger_close_R_q75,running_mfe_R_to_trigger_q25,running_mfe_R_to_trigger_q50,running_mfe_R_to_trigger_q75,trigger_traded_E25_rate,trigger_traded_E30_rate
CENTRAL,development,PARENT,TRIGGERED_TRUE_STALLER,46,0.0,10.0,43.75,0.0,5.0,6.25,0.05976382110928385,0.11764705882353227,0.1711590223944878,-0.14023617889071616,-0.08235294117646774,-0.028840977605512207,0.11712865062431281,0.22650618684821877,0.328331837366732,1.0,2.0,3.0,0.008507005145055936,0.04533958510940355,0.06458172513365909,-0.09149299485494407,-0.054660414890596455,-0.035418274866340915,0.1167194502539598,0.17005397664683813,0.2103310141260794,-0.07370448179271905,-0.015294727452178504,0.03242145511604887,0.05464966608216028,0.09945782817725948,0.14236294963223559,0.006736680327869718,0.03506144393241245,0.049562710221261894,0.01744183877236332,0.03955307262569341,0.05814204492425867,0.21508755495792117,0.24431010734821468,0.29532694469039095,0.17911642665364594,0.22050689271342072,0.30602816531394555,0.21508755495792117,0.24431010734821468,0.29532694469039095,0.13043478260869565,0.021739130434782608
CENTRAL,development,PARENT,TRIGGERED_E40_RECOVERY,30,1.25,30.0,128.75,0.0,0.0,6.25,0.09668109668109434,0.13799474750043395,0.17579003882737915,-0.10331890331890567,-0.062005252499566066,-0.024209961172620864,0.1546102903718761,0.3244206773618497,0.635531362118028,1.0,1.0,3.0,0.0021673501936677344,0.03286063921681477,0.0776461222493236,-0.09783264980633227,-0.06713936078318523,-0.0223538777506764,0.13539146779993566,0.17897158863545998,0.22072372408777036,-0.09224985826730148,-0.004124003097722359,0.021201511655370223,0.07046794399410553,0.12403840592284197,0.15435590248789324,0.017807107620543067,0.04491578290704188,0.081251678753696,0.021267052571001113,0.04671221100379947,0.08257299270073101,0.2258021390374324,0.26393522324816593,0.30453198207797566,0.19575657004267275,0.2237312531921791,0.28114037198072445,0.2258021390374324,0.26393522324816593,0.30453198207797566,0.16666666666666666,0.1
CENTRAL,external,PARENT,TRIGGERED_TRUE_STALLER,23,0.0,5.0,12.5,2.5,5.0,10.0,0.09182139957580196,0.15620328849028514,0.1852440479916798,-0.10817860042419805,-0.04379671150971487,-0.014755952008320222,0.09428327074750646,0.1475046210720889,0.20815330368097526,1.0,2.0,3.0,0.021973672127295237,0.034482758620693416,0.06402333517014247,-0.07802632787270478,-0.06551724137930659,-0.03597666482985754,0.15072530717169494,0.18743563336766222,0.22761458541015933,-0.03050128117084881,-0.006676557863501742,0.018906783278004297,0.0675310031449095,0.12086720867208624,0.14951619311264208,0.00957688952991972,0.043499236150196796,0.060579395746090045,0.014903690266864132,0.03504043126684506,0.07093012762511643,0.2126317861103223,0.232006773920408,0.2563124087379754,0.17943227309686555,0.1930998970133888,0.2218248380737829,0.2126317861103223,0.232006773920408,0.2563124087379754,0.17391304347826086,0.043478260869565216
CENTRAL,external,PARENT,TRIGGERED_E40_RECOVERY,12,3.75,15.0,26.25,0.0,5.0,10.0,0.062038016807753844,0.13690844052598142,0.1569536405987151,-0.13796198319224617,-0.0630915594740186,-0.04304635940128491,0.11130218980030526,0.15744142794750832,0.25735868729418376,1.0,1.5,4.0,0.04873182884832067,0.0816115200426506,0.08758292072109908,-0.05126817115167934,-0.018388479957349414,-0.012417079278900928,0.16069155625076703,0.18703899409049884,0.22826183971790515,0.0010025610354529883,0.035910025752519774,0.06742634167596476,0.045663815963790225,0.05675311370402439,0.0780993499244856,0.03137818744657384,0.06265194184596706,0.08724978619143298,0.014310473024689636,0.02117434640087297,0.04067719206680552,0.211897937527703,0.2368564793463106,0.24907069260324993,0.1437277255614471,0.16781230642821615,0.19895277786243393,0.211897937527703,0.2368564793463106,0.24907069260324993,0.08333333333333333,0.0
CENTRAL,reference_validation,PARENT,TRIGGERED_TRUE_STALLER,24,0.0,5.0,11.25,0.0,5.0,5.0,0.07934636118598282,0.13190992244979202,0.1519133156618367,-0.1206536388140172,-0.06809007755020799,-0.048086684338163314,0.12197509936872242,0.14596894432524582,0.2345441595441533,1.0,1.5,2.0,0.027662861332226264,0.050898297796478115,0.07670740474478961,-0.07233713866777373,-0.04910170220352189,-0.023292595255210394,0.14278678027878025,0.17451696601758515,0.18853180717588142,-0.0010080645161281195,0.017403147699760133,0.04321227842629063,0.03815332788893222,0.08074964814967839,0.13759009031839378,0.016881227762514342,0.048277987671503375,0.07811587147030401,0.012686270048911773,0.02244860085632825,0.03200068634178877,0.22066916134714756,0.2546296296296301,0.28106494934422577,0.17263291517323223,0.2028037383177566,0.24581930415263298,0.22066916134714756,0.2546296296296301,0.28106494934422577,0.041666666666666664,0.0
CENTRAL,reference_validation,PARENT,TRIGGERED_E40_RECOVERY,14,0.0,35.0,90.0,0.0,0.0,2.5,-0.010436144353026984,0.06357365376056885,0.11177740746825587,-0.210436144353027,-0.13642634623943117,-0.08822259253174414,0.18057478818034156,0.2761899587046309,0.5156392174704223,1.0,2.0,3.75,-0.09395109395109591,0.04499464323024406,0.06116071428572012,-0.19395109395109592,-0.055005356769755945,-0.038839285714279886,0.06563706563705612,0.11919609714709811,0.1503356360792521,-0.2148855666297469,-0.022321428571427215,0.014055042952593546,0.04017857142856679,0.06981603580454307,0.102551905534736,0.016395779868823197,0.04150398913597286,0.05357142857142773,0.018657562380804196,0.04459506430309589,0.08113579734218747,0.2245848362869634,0.23847437063998053,0.2425323797217342,0.1523576640930402,0.23160957846308708,0.32882882882883885,0.2245848362869634,0.23847437063998053,0.2425323797217342,0.0,0.0
CLOCK_SUPPORT,external,PARENT,TRIGGERED_TRUE_STALLER,19,5.0,10.0,25.0,5.0,5.0,10.0,0.03792532753405328,0.1260464003826839,0.17027430367543206,-0.16207467246594673,-0.07395359961731612,-0.029725696324567966,0.10928574590208123,0.1886326194398677,0.3098437744257766,1.5,2.0,3.0,0.00939501204300167,0.03005686433793581,0.06375641800406104,-0.09060498795699834,-0.0699431356620642,-0.036243581995938974,0.13730200769422662,0.1760563380281722,0.22671681806809463,-0.08542530721117486,-0.011805078929306113,0.017888985679763623,0.07042253521126494,0.10257847533632283,0.16558072937461216,0.011740564847794446,0.029126213592231002,0.06159260726849576,0.013250753661677852,0.0334855403348566,0.07872208354590837,0.21013764400841467,0.24803854094975855,0.287193295236189,0.18645810679914493,0.20061255742725914,0.25166070384099354,0.21013764400841467,0.24803854094975855,0.287193295236189,0.15789473684210525,0.0
CLOCK_SUPPORT,external,PARENT,TRIGGERED_E40_RECOVERY,8,0.0,10.0,15.0,0.0,5.0,15.0,0.03577073857972269,0.15797696056793203,0.17748895440420706,-0.16422926142027733,-0.04202303943206796,-0.022511045595792957,0.13229311760676626,0.1823486741588614,0.24378408964182774,0.75,1.5,2.5,-0.027840197467442755,0.0387323052742964,0.07750783120801616,-0.12784019746744274,-0.061267694725703606,-0.02249216879198385,0.12342193587615419,0.17947165301970552,0.19502112156656023,-0.06016279298340242,0.019636351774594833,0.055541265034379346,0.0541097375840393,0.09179342320888466,0.11144494529302205,0.020096614920572693,0.04838337566308343,0.08334735130437182,0.014398106607793648,0.02400369805841447,0.03252943824373348,0.22700995512774869,0.23530574527118575,0.26117540839530456,0.14009390944270528,0.19464601370381696,0.33564551131362325,0.22700995512774869,0.23530574527118575,0.26117540839530456,0.125,0.125
CLOCK_SUPPORT,reference_validation,PARENT,TRIGGERED_TRUE_STALLER,28,0.0,5.0,17.5,0.0,5.0,5.0,0.06691839390278173,0.11828175239863098,0.18780622243998035,-0.13308160609721828,-0.08171824760136903,-0.012193777560019672,0.13256700486774714,0.18252454662801226,0.25117554858934366,1.0,2.0,2.0,0.04109321529534837,0.06884865146703076,0.08538205980066467,-0.05890678470465163,-0.031151348532969247,-0.01461794019933534,0.1543743078626803,0.18412942989214465,0.2034993694829706,0.0,0.02182688932350669,0.06303879310345031,0.02756853496963127,0.06865976613769034,0.10574534161490667,0.017018232632421384,0.04729427549194949,0.094506048387097,0.01136085252327449,0.025589262330860892,0.04256008092725819,0.21091157461999346,0.2330212765957469,0.28236607142856707,0.15881404939090443,0.1906813897118242,0.21166462034763558,0.21091157461999346,0.2330212765957469,0.28236607142856707,0.14285714285714285,0.03571428571428571
CLOCK_SUPPORT,reference_validation,PARENT,TRIGGERED_E40_RECOVERY,14,1.25,15.0,63.75,0.0,0.0,0.0,0.06933989577302514,0.11678844815588074,0.15930714751654085,-0.13066010422697488,-0.08321155184411927,-0.04069285248345917,0.14775139934374965,0.21292905886682267,0.27144579350727377,1.0,2.0,2.75,0.0315125344915433,0.055459471924365844,0.07264096662830444,-0.0684874655084567,-0.04454052807563416,-0.027359033371695565,0.12453557906655763,0.13534868153673157,0.2068749999999986,0.0028248587570615913,0.018918817755194977,0.04732254047322485,0.02046388075853782,0.06969557576400678,0.11075680272108679,0.010993366982901032,0.02054973821989238,0.057431684580764364,0.012349522623499138,0.02502609603340386,0.04504480190003899,0.21330516682340747,0.23216161589298095,0.2701917130488488,0.14943696308335086,0.18894572025051856,0.2240153386195248,0.21330516682340747,0.23216161589298095,0.2701917130488488,0.07142857142857142,0.07142857142857142
