partition,transition,date_utc,previous_session_high,previous_session_low,side,sweep_ts,bos_ts,bos_level,bos_level_ts,retest_ts,entry_ts,entry_px,sweep_extreme,stop_px,target_px,risk_pct,exit_reason,exit_ts,exit_px,gross_return,gross_pnl_usd,net_pnl_usd,hold_minutes
external,LONDON_TO_NEWYORK,2020-01-01,7234.57,7174.0,SHORT,2020-01-01 17:30:00+00:00,2020-01-01 18:00:00+00:00,7231.0,2020-01-01 17:20:00+00:00,2020-01-01 18:30:00+00:00,2020-01-01 18:35:00+00:00,7226.97,7241.68,7241.68,7197.55,0.002035431169632645,TIME_EXIT_SESSION_END,2020-01-01 20:00:00+00:00,7226.56,5.6731936067255795e-05,0.028365968033627897,-0.3716340319663721,85.0
external,LONDON_TO_NEWYORK,2020-01-02,7175.0,7106.75,LONG,2020-01-02 13:50:00+00:00,2020-01-02 14:25:00+00:00,7126.53,2020-01-02 13:40:00+00:00,2020-01-02 15:20:00+00:00,2020-01-02 15:25:00+00:00,7129.39,7103.0,7103.0,7182.170000000001,0.0037015789569655086,SL,2020-01-02 16:45:00+00:00,7103.0,-0.0037015789569655455,-1.8507894784827728,-2.2507894784827727,80.0
external,ASIA_TO_LONDON,2020-01-03,7300.0,6863.44,SHORT,2020-01-03 10:30:00+00:00,2020-01-03 10:40:00+00:00,7320.0,2020-01-03 10:20:00+00:00,2020-01-03 11:30:00+00:00,2020-01-03 11:35:00+00:00,7318.05,7339.0,7339.0,7276.150000000001,0.0028627844849379025,SL,2020-01-03 11:55:00+00:00,7339.0,-0.0028627844849378192,-1.4313922424689096,-1.8313922424689095,20.0
external,LONDON_TO_NEWYORK,2020-01-03,7368.33,7198.0,SHORT,2020-01-03 13:55:00+00:00,2020-01-03 14:00:00+00:00,7320.0,2020-01-03 13:35:00+00:00,2020-01-03 15:50:00+00:00,2020-01-03 15:55:00+00:00,7308.01,7379.0,7379.0,7166.030000000001,0.0097139987493175,SL,2020-01-03 16:10:00+00:00,7379.0,-0.009713998749317554,-4.856999374658777,-5.256999374658777,15.0
external,ASIA_TO_LONDON,2020-01-09,8060.0,7898.0,LONG,2020-01-09 09:35:00+00:00,2020-01-09 10:15:00+00:00,7912.45,2020-01-09 09:10:00+00:00,2020-01-09 10:25:00+00:00,2020-01-09 10:30:00+00:00,7915.2,7853.63,7853.63,8038.339999999999,0.007778704265211203,SL,2020-01-09 11:30:00+00:00,7853.63,-0.0077787042652112115,-3.8893521326056057,-4.289352132605606,60.0
external,ASIA_TO_LONDON,2020-01-10,7855.0,7718.05,LONG,2020-01-10 09:10:00+00:00,2020-01-10 09:20:00+00:00,7709.0,2020-01-10 09:00:00+00:00,2020-01-10 10:20:00+00:00,2020-01-10 10:25:00+00:00,7730.96,7697.32,7697.32,7798.240000000001,0.004351335409832715,TP_2R,2020-01-10 11:05:00+00:00,7798.240000000001,0.008702670819665359,4.3513354098326795,3.9513354098326796,40.0
external,LONDON_TO_NEWYORK,2020-01-10,7929.0,7670.0,SHORT,2020-01-10 17:15:00+00:00,2020-01-10 17:35:00+00:00,7930.06,2020-01-10 16:55:00+00:00,2020-01-10 17:40:00+00:00,2020-01-10 17:45:00+00:00,7929.85,7958.26,7958.26,7873.030000000001,0.003582665498086326,SL,2020-01-10 17:55:00+00:00,7958.26,-0.0035826654980863903,-1.7913327490431952,-2.191332749043195,10.0
external,ASIA_TO_LONDON,2020-01-14,8598.27,8109.02,SHORT,2020-01-14 12:30:00+00:00,2020-01-14 12:35:00+00:00,8512.0,2020-01-14 12:05:00+00:00,2020-01-14 12:40:00+00:00,2020-01-14 12:45:00+00:00,8506.08,8629.9,8629.9,8258.44,0.014556646539886729,TIME_EXIT_SESSION_END,2020-01-14 13:30:00+00:00,8544.59,-0.004527349848578943,-2.2636749242894716,-2.6636749242894715,45.0
external,LONDON_TO_NEWYORK,2020-01-14,8629.9,8476.0,SHORT,2020-01-14 16:00:00+00:00,2020-01-14 16:50:00+00:00,8685.47,2020-01-14 15:40:00+00:00,2020-01-14 16:55:00+00:00,2020-01-14 17:00:00+00:00,8684.81,8708.0,8708.0,8638.429999999998,0.002670179313076568,SL,2020-01-14 17:00:00+00:00,8708.0,-0.0026701793130765594,-1.3350896565382797,-1.7350896565382796,0.0
external,LONDON_TO_NEWYORK,2020-01-15,8837.0,8610.68,SHORT,2020-01-15 14:05:00+00:00,2020-01-15 17:20:00+00:00,8787.0,2020-01-15 13:35:00+00:00,2020-01-15 18:00:00+00:00,2020-01-15 18:05:00+00:00,8780.3,8896.0,8896.0,8548.899999999998,0.013177226290673524,TIME_EXIT_SESSION_END,2020-01-15 20:00:00+00:00,8766.5,0.001571700283589328,0.785850141794664,0.3858501417946639,115.0
external,ASIA_TO_LONDON,2020-01-17,9020.0,8680.0,SHORT,2020-01-17 10:15:00+00:00,2020-01-17 10:45:00+00:00,8930.95,2020-01-17 09:45:00+00:00,2020-01-17 11:40:00+00:00,2020-01-17 11:45:00+00:00,8918.99,9039.0,9039.0,8678.97,0.013455559429935477,TIME_EXIT_SESSION_END,2020-01-17 13:30:00+00:00,8858.62,0.006768703631240602,3.384351815620301,2.9843518156203013,105.0
external,LONDON_TO_NEWYORK,2020-01-17,9039.0,8800.0,LONG,2020-01-17 14:20:00+00:00,2020-01-17 15:45:00+00:00,8861.12,2020-01-17 13:55:00+00:00,2020-01-17 16:00:00+00:00,2020-01-17 16:05:00+00:00,8882.0,8785.0,8785.0,9076.0,0.01092096374690385,TIME_EXIT_SESSION_END,2020-01-17 20:00:00+00:00,8885.08,0.0003467687457778812,0.1733843728889406,-0.22661562711105943,235.0
