scope,retest_bucket,n,h2_rate,entry2_rate,entry2_depth_median_R,entry2_reward_H_median_R,entry1_to_entry2_median_min
POOLED_LONG,ALL,106,0.8867924528301887,0.42452830188679247,0.8767123287671192,0.12328767123288072,30.0
POOLED_LONG,0,32,1.0,0.0,,,
POOLED_LONG,1,56,0.8571428571428571,0.48214285714285715,0.8756388415672905,0.12436115843270942,30.0
POOLED_LONG,2,12,0.75,1.0,0.8837739541409754,0.11622604585902457,25.0
POOLED_LONG,3+,6,0.8333333333333334,1.0,0.875478244201646,0.124521755798354,55.0
POOLED_LONG,FIRST_HOLD,27,0.9259259259259259,0.6666666666666666,0.8727533275041263,0.12724667249587374,32.5
POOLED_LONG,FIRST_CLOSE_BELOW,47,0.7872340425531915,0.574468085106383,0.877216916780343,0.12278308321965702,30.0
ALT_0330,ALL,55,0.9090909090909091,0.5454545454545454,0.8761755851672048,0.12382441483279508,32.5
ALT_0330,0,9,1.0,0.0,,,
ALT_0330,1,35,0.9142857142857143,0.5428571428571428,0.8723118279569869,0.12768817204301308,35.0
ALT_0330,2,8,0.875,1.0,0.8837739541409754,0.11622604585902457,25.0
ALT_0330,3+,3,0.6666666666666666,1.0,0.8821621621621587,0.11783783783784128,45.0
ALT_0330,FIRST_HOLD,18,0.8888888888888888,0.7222222222222222,0.8767123287671192,0.12328767123288072,25.0
ALT_0330,FIRST_CLOSE_BELOW,28,0.8928571428571429,0.6071428571428571,0.8756388415672905,0.12436115843270942,35.0
RAW_0530,ALL,51,0.8627450980392157,0.29411764705882354,0.877216916780343,0.12278308321965702,30.0
RAW_0530,0,23,1.0,0.0,,,
RAW_0530,1,21,0.7619047619047619,0.38095238095238093,0.8819074274623391,0.1180925725376609,25.0
RAW_0530,2,4,0.5,1.0,0.8972100500119109,0.10278994998808916,22.5
RAW_0530,3+,3,1.0,1.0,0.8687943262411333,0.13120567375886674,65.0
RAW_0530,FIRST_HOLD,9,1.0,0.5555555555555556,0.8687943262411333,0.13120567375886674,65.0
RAW_0530,FIRST_CLOSE_BELOW,19,0.631578947368421,0.5263157894736842,0.8885006997694815,0.11149930023051838,27.5
