exec_min,execution_utc,dev_promoted,replicated,dev_n,dev_retention,dev_wr,dev_pf,dev_expectancy,dev_net
300,05:00,False,False,47,0.9038461538461539,0.6595744680851063,1.703311518738456,0.8591289829442773,40.379062198381035
540,09:00,False,False,70,0.7865168539325843,0.7142857142857143,2.099225013718825,1.340089769153358,93.80628384073506
600,10:00,False,False,80,0.8247422680412371,0.65,1.477497074970542,0.6954376502889282,55.63501202311426
960,16:00,False,False,41,0.82,0.5365853658536586,0.8013475938441955,-0.6876618603647092,-28.194136274953078
