partition,candidate,fail_n,target_n,fail_hit_n,target_hit_n,fail_hit_rate,target_hit_rate,gap,ratio,median_lead_min,adequate_blocks,same_direction_blocks,development_supported,replicated
development,C1_STILL_H05_5M,184,31,33,5,0.1793478260869565,0.16129032258064516,0.018057503506311356,1.1119565217391305,10.0,6.0,3.0,False,False
development,C2_NOT_ABOVE_H10_5M,184,31,63,11,0.3423913043478261,0.3548387096774194,-0.012447405329593264,0.9649209486166008,10.0,6.0,1.0,False,False
development,C3_NO_CLOSE_ABOVE_H10_10M,184,31,24,5,0.13043478260869565,0.16129032258064516,-0.030855539971949508,0.808695652173913,10.0,6.0,2.0,False,False
development,C4_STILL_H05_10M,184,31,19,1,0.10326086956521739,0.03225806451612903,0.07100280504908836,3.2010869565217392,10.0,6.0,5.0,False,False
development,C5_NO_CLOSE_ABOVE_H10_15M,184,31,12,1,0.06521739130434782,0.03225806451612903,0.03295932678821879,2.0217391304347827,10.0,6.0,4.0,False,False
external,C1_STILL_H05_5M,113,32,30,11,0.26548672566371684,0.34375,-0.07826327433628316,0.7723250201126308,10.0,,,,False
external,C2_NOT_ABOVE_H10_5M,113,32,49,18,0.4336283185840708,0.5625,-0.1288716814159292,0.7708947885939037,10.0,,,,False
external,C3_NO_CLOSE_ABOVE_H10_10M,113,32,23,11,0.20353982300884957,0.34375,-0.14021017699115043,0.5921158487530169,10.0,,,,False
external,C4_STILL_H05_10M,113,32,19,7,0.168141592920354,0.21875,-0.050608407079646006,0.7686472819216182,10.0,,,,False
external,C5_NO_CLOSE_ABOVE_H10_15M,113,32,9,5,0.07964601769911504,0.15625,-0.07660398230088496,0.5097345132743363,10.0,,,,False
reference_validation,C1_STILL_H05_5M,107,29,16,8,0.14953271028037382,0.27586206896551724,-0.12632935868514342,0.5420560747663551,5.0,,,,False
reference_validation,C2_NOT_ABOVE_H10_5M,107,29,29,13,0.27102803738317754,0.4482758620689655,-0.17724782468578798,0.6046010064701652,10.0,,,,False
reference_validation,C3_NO_CLOSE_ABOVE_H10_10M,107,29,11,7,0.102803738317757,0.2413793103448276,-0.1385755720270706,0.4259012016021361,5.0,,,,False
reference_validation,C4_STILL_H05_10M,107,29,7,4,0.06542056074766354,0.13793103448275862,-0.07251047373509507,0.4742990654205607,5.0,,,,False
reference_validation,C5_NO_CLOSE_ABOVE_H10_15M,107,29,4,5,0.037383177570093455,0.1724137931034483,-0.13503061553335483,0.21682242990654202,20.0,,,,False
