scope,name,source_n,eligible_n,no_window_n,max_down_p25,max_down_p50,max_down_p75,max_down_p90,reclaim_rate,hit_rate_0p025,hit_n_0p025,median_min_0p025,hit_rate_0p05,hit_n_0p05,median_min_0p05,hit_rate_0p075,hit_n_0p075,median_min_0p075,hit_rate_0p1,hit_n_0p1,median_min_0p1,hit_rate_0p15,hit_n_0p15,median_min_0p15,hit_rate_0p2,hit_n_0p2,median_min_0p2,hit_rate_0p25,hit_n_0p25,median_min_0p25,hit_rate_0p35,hit_n_0p35,median_min_0p35,hit_rate_0p5,hit_n_0p5,median_min_0p5
PARTITION,external,149,147,2,0.0714151363443288,0.19953137758422873,0.4863412744221085,1.036314468719824,0.7959183673469388,0.9523809523809523,140,0.0,0.8231292517006803,121,0.0,0.7346938775510204,108,0.0,0.6530612244897959,96,0.0,0.5918367346938775,87,0.0,0.4965986394557823,73,0.0,0.42857142857142855,63,0.0,0.32653061224489793,48,5.0,0.24489795918367346,36,10.0
PARTITION,development,237,233,4,0.09476661951910652,0.19047051816557647,0.47473719905052325,1.0925843094206924,0.8025751072961373,0.9570815450643777,223,0.0,0.8927038626609443,208,0.0,0.7939914163090128,185,0.0,0.7381974248927039,172,0.0,0.5622317596566524,131,0.0,0.48068669527896996,112,0.0,0.41630901287553645,97,0.0,0.3133047210300429,73,5.0,0.22746781115879827,53,10.0
PARTITION,reference_validation,133,133,0,0.09606776724262699,0.19503849443972057,0.35751682872100643,1.0644084909776255,0.7969924812030075,0.9624060150375939,128,0.0,0.8646616541353384,115,0.0,0.7969924812030075,106,0.0,0.7368421052631579,98,0.0,0.5939849624060151,79,0.0,0.48872180451127817,65,0.0,0.40601503759398494,54,5.0,0.2706766917293233,36,7.5,0.16541353383458646,22,12.5
POOL,POOLED_OOS,282,280,2,0.08246076261952812,0.19846093448556584,0.4241388236639855,1.046765741645118,0.7964285714285714,0.9571428571428572,268,0.0,0.8428571428571429,236,0.0,0.7642857142857142,214,0.0,0.6928571428571428,194,0.0,0.5928571428571429,166,0.0,0.4928571428571429,138,0.0,0.41785714285714287,117,5.0,0.3,84,5.0,0.20714285714285716,58,10.0
POOL,POOLED_MAJOR,519,513,6,0.0879285123704126,0.19451450189155164,0.44119795471147416,1.073704035702083,0.7992202729044834,0.9571150097465887,491,0.0,0.8654970760233918,444,0.0,0.7777777777777778,399,0.0,0.7134502923976608,366,0.0,0.5789473684210527,297,0.0,0.4873294346978557,250,0.0,0.4171539961013645,214,0.0,0.3060428849902534,157,5.0,0.21637426900584794,111,10.0
CLOCK,00-04,81,80,1,0.10562773282284786,0.24875941804846802,0.5112123079258244,0.9472835759272089,0.7875,0.9875,79,0.0,0.9125,73,0.0,0.8125,65,0.0,0.775,62,0.0,0.65,52,0.0,0.575,46,0.0,0.5,40,0.0,0.375,30,10.0,0.2625,21,15.0
CLOCK,04-08,86,86,0,0.06528675255075259,0.139928491117398,0.29436059198746645,1.0390060501277842,0.7906976744186046,0.9418604651162791,81,0.0,0.813953488372093,70,0.0,0.6976744186046512,60,0.0,0.6627906976744186,57,0.0,0.4883720930232558,42,0.0,0.4069767441860465,35,5.0,0.29069767441860467,25,5.0,0.19767441860465115,17,10.0,0.16279069767441862,14,10.0
CLOCK,08-12,86,84,2,0.10400647087243696,0.2518273402456065,0.5267671816754077,1.2030319426381941,0.7261904761904762,0.9523809523809523,80,0.0,0.8690476190476191,73,0.0,0.8214285714285714,69,0.0,0.7619047619047619,64,0.0,0.6547619047619048,55,0.0,0.5833333333333334,49,0.0,0.5,42,0.0,0.36904761904761907,31,5.0,0.2619047619047619,22,5.0
CLOCK,12-16,115,114,1,0.13666096168147807,0.2605230381564785,0.5300630239726564,1.0542587937187502,0.8333333333333334,0.9824561403508771,112,0.0,0.8947368421052632,102,0.0,0.8508771929824561,97,0.0,0.7982456140350878,91,0.0,0.7017543859649122,80,0.0,0.5964912280701754,68,0.0,0.5175438596491229,59,0.0,0.39473684210526316,45,0.0,0.2543859649122807,29,5.0
CLOCK,16-20,85,84,1,0.07587230055620205,0.12963025474839962,0.2843946079467845,0.6723186130008305,0.8333333333333334,0.9523809523809523,80,0.0,0.8452380952380952,71,0.0,0.75,63,0.0,0.6190476190476191,52,0.0,0.42857142857142855,36,0.0,0.35714285714285715,30,0.0,0.32142857142857145,27,5.0,0.19047619047619047,16,10.0,0.15476190476190477,13,20.0
CLOCK,20-00,66,65,1,0.07085484796328408,0.14705882352941177,0.35751682872100643,0.9742540423234093,0.8153846153846154,0.9076923076923077,59,0.0,0.8461538461538461,55,0.0,0.6923076923076923,45,0.0,0.6153846153846154,40,0.0,0.49230769230769234,32,0.0,0.3384615384615385,22,0.0,0.3230769230769231,21,0.0,0.27692307692307694,18,5.0,0.18461538461538463,12,15.0
