partition,entry_name,setups,clean_windows,h2_windows,h2_after_clean_rate,fills,fill_rate_clean,target_hits,target_hit_rate,median_minutes_to_h2,reward_to_h_R,median_min_post_entry_frac,p10_min_post_entry_frac,median_mae_R
external,F95,120,79,67,0.8481012658227848,36,0.45569620253164556,34,0.9444444444444444,15.0,0.050000000000000044,0.8337390883290516,0.6011537008834064,0.11626091167094832
external,F90,120,79,67,0.8481012658227848,56,0.7088607594936709,47,0.8392857142857143,20.0,0.09999999999999998,0.7343776498415674,0.25456671542962694,0.16562235015843263
external,F85,120,79,67,0.8481012658227848,56,0.7088607594936709,46,0.8214285714285714,27.5,0.15000000000000002,0.6943735398459774,0.23766104893284784,0.15562646015402265
external,F80,120,79,67,0.8481012658227848,45,0.569620253164557,34,0.7555555555555555,40.0,0.19999999999999996,0.5751119402985079,0.17177765996492833,0.22488805970149217
external,F75,120,79,67,0.8481012658227848,42,0.5316455696202531,31,0.7380952380952381,40.0,0.25,0.5385326504262011,0.14020267250281265,0.21146734957379892
development,F95,173,121,99,0.8181818181818182,43,0.35537190082644626,37,0.8604651162790697,10.0,0.050000000000000044,0.7747599451303196,0.39157568238213275,0.1752400548696803
development,F90,173,121,99,0.8181818181818182,65,0.5371900826446281,55,0.8461538461538461,20.0,0.09999999999999998,0.6844207723035992,0.2234865192482988,0.2155792276964008
development,F85,173,121,99,0.8181818181818182,70,0.5785123966942148,58,0.8285714285714286,25.0,0.15000000000000002,0.6338373566284359,0.122149234966634,0.21616264337156416
development,F80,173,121,99,0.8181818181818182,69,0.5702479338842975,54,0.782608695652174,30.0,0.19999999999999996,0.6200055111600998,0.06040842224889596,0.1799944888399002
development,F75,173,121,99,0.8181818181818182,65,0.5371900826446281,48,0.7384615384615385,35.0,0.25,0.5273333333333388,-0.03844286664089597,0.22266666666666124
reference_validation,F95,85,50,37,0.74,19,0.38,15,0.7894736842105263,20.0,0.050000000000000044,0.6684245660881174,0.25656416495569634,0.28157543391188256
reference_validation,F90,85,50,37,0.74,30,0.6,24,0.8,20.0,0.09999999999999998,0.5966040083884958,0.11152039946190687,0.30339599161150427
reference_validation,F85,85,50,37,0.74,34,0.68,26,0.7647058823529411,20.0,0.15000000000000002,0.5465686136363572,0.017046915694130714,0.3034313863636428
reference_validation,F80,85,50,37,0.74,35,0.7,26,0.7428571428571429,20.0,0.19999999999999996,0.5262741999209695,-0.0729370027227009,0.2737258000790306
reference_validation,F75,85,50,37,0.74,31,0.62,22,0.7096774193548387,20.0,0.25,0.41496973032471,-0.11203703703704061,0.33503026967529
august,F95,4,3,2,0.6666666666666666,1,0.3333333333333333,0,0.0,,0.050000000000000044,0.11810661764705595,0.11810661764705595,0.831893382352944
august,F90,4,3,2,0.6666666666666666,1,0.3333333333333333,0,0.0,,0.09999999999999998,0.11810661764705595,0.11810661764705595,0.781893382352944
august,F85,4,3,2,0.6666666666666666,1,0.3333333333333333,0,0.0,,0.15000000000000002,0.11810661764705595,0.11810661764705595,0.731893382352944
august,F80,4,3,2,0.6666666666666666,2,0.6666666666666666,1,0.5,5.0,0.19999999999999996,0.42779794708489405,0.18004488353462356,0.372202052915106
august,F75,4,3,2,0.6666666666666666,2,0.6666666666666666,1,0.5,5.0,0.25,0.42779794708489405,0.18004488353462356,0.32220205291510595
POOLED_MAJOR,F95,378,250,203,0.812,98,0.392,86,0.8775510204081632,15.0,0.050000000000000044,0.7793509144849515,0.35227935415011147,0.17064908551504843
POOLED_MAJOR,F90,378,250,203,0.812,151,0.604,126,0.8344370860927153,20.0,0.09999999999999998,0.6889357712142549,0.18386388583973204,0.21106422878574516
POOLED_MAJOR,F85,378,250,203,0.812,160,0.64,130,0.8125,25.0,0.15000000000000002,0.6368549566176132,0.11152039946190687,0.21314504338238688
POOLED_MAJOR,F80,378,250,203,0.812,149,0.596,114,0.7651006711409396,30.0,0.19999999999999996,0.5830663615560664,0.06139585785201853,0.21693363844393365
POOLED_MAJOR,F75,378,250,203,0.812,138,0.552,101,0.7318840579710145,35.0,0.25,0.5242889189603541,-0.006305413227658459,0.22571108103964593
