threshold_sigma,n,wins3h,pos1h,pos3h,wilson_lo,wilson_hi,avg3h,median3h,median_sweep_sigma,mean_sweep_sigma,eligible
0.0,567,350,0.564373897707231,0.6172839506172839,0.5766145924266496,0.6563747918321002,0.0009214840243815643,0.0009701022735482123,0.3041475707151818,0.4612151019864174,True
0.25,315,189,0.5746031746031746,0.6,0.5450084325252016,0.6525819317675081,0.000952050335933455,0.0008795669824086527,0.5340063850893682,0.740762417623565,True
0.5,175,112,0.5314285714285715,0.64,0.5665800378711884,0.7074056493576731,0.0013310980397338058,0.0015168206367968118,0.8154850920926062,1.042272480890396,True
0.75,96,62,0.53125,0.6458333333333334,0.5462430234225731,0.7342015967856051,0.0020640704191548787,0.0017923617919660684,1.1500951136464184,1.3980501312710907,True
1.0,66,42,0.5909090909090909,0.6363636363636364,0.5157964063076522,0.7419301690522909,0.00188142638294359,0.0016824848526201253,1.3648456170617176,1.6398202623547213,True
1.25,44,29,0.5909090909090909,0.6590909090909091,0.5113914121793823,0.7812418048065555,0.0015520072584666008,0.0016824848526201253,1.6114394722368128,1.9109868847917681,True
1.5,27,19,0.5925925925925926,0.7037037037037037,0.5151931703585185,0.8414695953022023,0.002389310004093884,0.0019564934911522336,2.157682203511951,2.2722313972055366,True
