partition,entry_name,entry_fraction,setups,fills,fill_rate,target_hits,target_hit_rate,median_minutes_to_h2,median_reward_range_frac,median_min_post_entry_frac,p10_min_post_entry_frac,median_adverse_excursion_range_frac
external,F95,0.95,120,36,0.3,34,0.9444444444444444,15.0,0.050000000000000044,0.8337390883290516,0.6011537008834064,0.11626091167094832
external,F90,0.9,120,56,0.4666666666666667,47,0.8392857142857143,20.0,0.09999999999999998,0.7343776498415674,0.25456671542962694,0.16562235015843263
external,F85,0.85,120,56,0.4666666666666667,46,0.8214285714285714,27.5,0.15000000000000002,0.6943735398459774,0.23766104893284784,0.15562646015402265
external,F80,0.8,120,45,0.375,34,0.7555555555555555,40.0,0.19999999999999996,0.5751119402985079,0.17177765996492833,0.22488805970149217
external,F75,0.75,120,42,0.35,31,0.7380952380952381,40.0,0.25,0.5385326504262011,0.14020267250281265,0.21146734957379892
external,F70,0.7,120,39,0.325,27,0.6923076923076923,40.0,0.30000000000000004,0.484961736963876,0.06139585785201852,0.21503826303612394
external,F65,0.65,120,30,0.25,18,0.6,77.5,0.35,0.3691384358259471,0.04850419754012574,0.28086156417405295
external,F60,0.6,120,29,0.24166666666666667,17,0.5862068965517241,70.0,0.4,0.3321596244131484,0.04657026727516701,0.2678403755868516
external,F55,0.55,120,27,0.225,16,0.5925925925925926,67.5,0.44999999999999996,0.3198639727945559,0.04270240674524956,0.23013602720544413
external,F50,0.5,120,21,0.175,10,0.47619047619047616,67.5,0.5,0.27397260273972845,0.03109882515549721,0.22602739726027155
development,F95,0.95,173,43,0.24855491329479767,37,0.8604651162790697,10.0,0.050000000000000044,0.7747599451303196,0.39157568238213275,0.1752400548696803
development,F90,0.9,173,65,0.37572254335260113,55,0.8461538461538461,20.0,0.09999999999999998,0.6844207723035992,0.2234865192482988,0.2155792276964008
development,F85,0.85,173,70,0.4046242774566474,58,0.8285714285714286,25.0,0.15000000000000002,0.6338373566284359,0.122149234966634,0.21616264337156416
development,F80,0.8,173,69,0.3988439306358382,54,0.782608695652174,30.0,0.19999999999999996,0.6200055111600998,0.06040842224889596,0.1799944888399002
development,F75,0.75,173,65,0.37572254335260113,48,0.7384615384615385,35.0,0.25,0.5273333333333388,-0.03844286664089597,0.22266666666666124
development,F70,0.7,173,62,0.3583815028901734,44,0.7096774193548387,30.0,0.30000000000000004,0.5018267188832727,-0.05740792766774274,0.1981732811167273
development,F65,0.65,173,52,0.30057803468208094,34,0.6538461538461539,40.0,0.35,0.3407577766248996,-0.07130069484073402,0.30924222337510043
development,F60,0.6,173,44,0.2543352601156069,25,0.5681818181818182,50.0,0.4,0.2575180288461537,-0.07489375822177291,0.34248197115384627
development,F55,0.55,173,42,0.24277456647398843,22,0.5238095238095238,65.0,0.44999999999999996,0.2104356550843461,-0.11645198878160014,0.33956434491565396
development,F50,0.5,173,36,0.20809248554913296,18,0.5,67.5,0.5,0.10707272977245183,-0.1207524271844687,0.39292727022754814
reference_validation,F95,0.95,85,19,0.2235294117647059,15,0.7894736842105263,20.0,0.050000000000000044,0.6684245660881174,0.25656416495569634,0.28157543391188256
reference_validation,F90,0.9,85,30,0.35294117647058826,24,0.8,20.0,0.09999999999999998,0.5966040083884958,0.11152039946190687,0.30339599161150427
reference_validation,F85,0.85,85,34,0.4,26,0.7647058823529411,20.0,0.15000000000000002,0.5465686136363572,0.017046915694130714,0.3034313863636428
reference_validation,F80,0.8,85,35,0.4117647058823529,26,0.7428571428571429,20.0,0.19999999999999996,0.5262741999209695,-0.0729370027227009,0.2737258000790306
reference_validation,F75,0.75,85,31,0.36470588235294116,22,0.7096774193548387,20.0,0.25,0.41496973032471,-0.11203703703704061,0.33503026967529
reference_validation,F70,0.7,85,29,0.3411764705882353,19,0.6551724137931034,20.0,0.30000000000000004,0.3538643766656744,-0.117457642178073,0.34613562333432557
reference_validation,F65,0.65,85,27,0.3176470588235294,17,0.6296296296296297,35.0,0.35,0.3485809682804646,-0.12287824731910539,0.30141903171953544
reference_validation,F60,0.6,85,25,0.29411764705882354,15,0.6,35.0,0.4,0.33215189873417444,-0.12829885246013778,0.26784810126582553
reference_validation,F55,0.55,85,25,0.29411764705882354,14,0.56,42.5,0.44999999999999996,0.33162943771444464,-0.12829885246013778,0.2183705622855554
reference_validation,F50,0.5,85,24,0.2823529411764706,12,0.5,32.5,0.5,0.11827685853181061,-0.13100915503065397,0.3817231414681894
august,F95,0.95,3,1,0.3333333333333333,0,0.0,,0.050000000000000044,0.11810661764705595,0.11810661764705595,0.831893382352944
august,F90,0.9,3,1,0.3333333333333333,0,0.0,,0.09999999999999998,0.11810661764705595,0.11810661764705595,0.781893382352944
august,F85,0.85,3,1,0.3333333333333333,0,0.0,,0.15000000000000002,0.11810661764705595,0.11810661764705595,0.731893382352944
august,F80,0.8,3,2,0.6666666666666666,1,0.5,5.0,0.19999999999999996,0.42779794708489405,0.18004488353462356,0.372202052915106
august,F75,0.75,3,2,0.6666666666666666,1,0.5,5.0,0.25,0.42779794708489405,0.18004488353462356,0.32220205291510595
august,F70,0.7,3,1,0.3333333333333333,0,0.0,,0.30000000000000004,0.11810661764705595,0.11810661764705595,0.581893382352944
august,F65,0.65,3,1,0.3333333333333333,0,0.0,,0.35,0.11810661764705595,0.11810661764705595,0.531893382352944
august,F60,0.6,3,1,0.3333333333333333,0,0.0,,0.4,0.11810661764705595,0.11810661764705595,0.48189338235294404
august,F55,0.55,3,1,0.3333333333333333,0,0.0,,0.44999999999999996,0.11810661764705595,0.11810661764705595,0.4318933823529441
august,F50,0.5,3,1,0.3333333333333333,0,0.0,,0.5,0.11810661764705595,0.11810661764705595,0.38189338235294407
