partition,boundary,n,winner_n,nonwinner_n,winner_breach_rate,nonwinner_breach_rate,separation_pp,winner_reclaim_after_breach_rate,nonwinner_reclaim_after_breach_rate,structural_candidate
external,F90,39,32,7,0.59375,1.0,40.625,1.0,0.2857142857142857,False
external,F85,39,32,7,0.46875,1.0,53.125,1.0,0.14285714285714285,False
external,F80,39,32,7,0.28125,1.0,71.875,1.0,0.14285714285714285,False
external,F75,39,32,7,0.15625,0.7142857142857143,55.80357142857143,1.0,0.0,False
development,F90,41,32,9,0.53125,1.0,46.875,1.0,0.5555555555555556,False
development,F85,41,32,9,0.46875,1.0,53.125,1.0,0.4444444444444444,False
development,F80,41,32,9,0.40625,0.8888888888888888,48.263888888888886,1.0,0.125,False
development,F75,41,32,9,0.3125,0.8888888888888888,57.638888888888886,1.0,0.125,False
reference_validation,F90,15,13,2,0.38461538461538464,1.0,61.53846153846154,1.0,0.0,False
reference_validation,F85,15,13,2,0.23076923076923078,1.0,76.92307692307692,1.0,0.0,False
reference_validation,F80,15,13,2,0.15384615384615385,1.0,84.61538461538461,1.0,0.0,False
reference_validation,F75,15,13,2,0.15384615384615385,1.0,84.61538461538461,1.0,0.0,False
august,F90,0,0,0,,,,,,False
august,F85,0,0,0,,,,,,False
august,F80,0,0,0,,,,,,False
august,F75,0,0,0,,,,,,False
POOLED_MAJOR,F90,95,77,18,0.5324675324675324,1.0,46.753246753246756,1.0,0.3888888888888889,False
POOLED_MAJOR,F85,95,77,18,0.42857142857142855,1.0,57.14285714285714,1.0,0.2777777777777778,False
POOLED_MAJOR,F80,95,77,18,0.3116883116883117,0.9444444444444444,63.275613275613274,1.0,0.11764705882352941,False
POOLED_MAJOR,F75,95,77,18,0.22077922077922077,0.8333333333333334,61.25541125541126,1.0,0.06666666666666667,False
