scope,rule,bad_total,bad_too_late_by15,bad_flagged,bad_capture,good_total,good_resolved_before15,good_flagged,good_sacrifice,flagged_n,flag_precision_bad
development,PLUS10_SAFE,38,3,26,0.6842105263157895,159,62,15,0.09433962264150944,41,0.6341463414634146
development,PLUS15_SAFE,38,3,28,0.7368421052631579,159,62,9,0.05660377358490566,37,0.7567567567567568
development,SAFE_PERSIST_10_15,38,3,22,0.5789473684210527,159,62,3,0.018867924528301886,25,0.88
development,AGG_PERSIST_10_15,38,3,24,0.631578947368421,159,62,11,0.06918238993710692,35,0.6857142857142857
external,PLUS10_SAFE,23,1,8,0.34782608695652173,98,42,15,0.15306122448979592,23,0.34782608695652173
external,PLUS15_SAFE,23,1,9,0.391304347826087,98,42,14,0.14285714285714285,23,0.391304347826087
external,SAFE_PERSIST_10_15,23,1,7,0.30434782608695654,98,42,11,0.11224489795918367,18,0.3888888888888889
external,AGG_PERSIST_10_15,23,1,7,0.30434782608695654,98,42,13,0.1326530612244898,20,0.35
reference_validation,PLUS10_SAFE,17,1,5,0.29411764705882354,91,30,17,0.18681318681318682,22,0.22727272727272727
reference_validation,PLUS15_SAFE,17,1,8,0.47058823529411764,91,30,15,0.16483516483516483,23,0.34782608695652173
reference_validation,SAFE_PERSIST_10_15,17,1,4,0.23529411764705882,91,30,9,0.0989010989010989,13,0.3076923076923077
reference_validation,AGG_PERSIST_10_15,17,1,4,0.23529411764705882,91,30,13,0.14285714285714285,17,0.23529411764705882
POOLED_REUSED_EXTVAL,PLUS10_SAFE,40,2,13,0.325,189,72,32,0.1693121693121693,45,0.28888888888888886
POOLED_REUSED_EXTVAL,PLUS15_SAFE,40,2,17,0.425,189,72,29,0.15343915343915343,46,0.3695652173913043
POOLED_REUSED_EXTVAL,SAFE_PERSIST_10_15,40,2,11,0.275,189,72,20,0.10582010582010581,31,0.3548387096774194
POOLED_REUSED_EXTVAL,AGG_PERSIST_10_15,40,2,11,0.275,189,72,26,0.13756613756613756,37,0.2972972972972973
POOLED_MAJOR,PLUS10_SAFE,78,5,39,0.5,348,134,47,0.13505747126436782,86,0.45348837209302323
POOLED_MAJOR,PLUS15_SAFE,78,5,45,0.5769230769230769,348,134,38,0.10919540229885058,83,0.5421686746987951
POOLED_MAJOR,SAFE_PERSIST_10_15,78,5,33,0.4230769230769231,348,134,23,0.06609195402298851,56,0.5892857142857143
POOLED_MAJOR,AGG_PERSIST_10_15,78,5,35,0.44871794871794873,348,134,37,0.10632183908045977,72,0.4861111111111111
