dev_block,n,delta_net,delta_net_5bps
0,85,13.036152854258743,13.036152854258741
1,105,-14.098772227998547,-14.098772227998545
2,111,-26.733626774120275,-26.733626774120278
3,94,6.826696912513423,6.82669691251342
4,103,28.099012779968618,28.099012779968618
5,103,-25.826653340215273,-25.826653340215273
