study,held_out_year,eligible_train_cells,selected_lb,selected_hold,train_min_exp,train_mean_exp,train_min_pf,train_mean_wr,held_trades,held_wr,held_exp,held_pf,heldout_pass
PRIMARY_RV_HIGH_RANGE_MID,2022,3,150,300,0.6857541846490196,0.8467307726379744,1.305870448662284,0.5878378378378378,82,0.6097560975609756,1.3135178781781909,1.3902927312991702,True
PRIMARY_RV_HIGH_RANGE_MID,2023,3,150,300,1.0077073606269291,1.1606126194025599,1.3192114762673992,0.6021753460777851,74,0.581081081081081,0.6857541846490196,1.305870448662284,True
PRIMARY_RV_HIGH_RANGE_MID,2024,4,150,330,1.475805949204508,1.515975638076143,1.4686870946693416,0.5697099538562953,74,0.5675675675675675,0.1258112408124185,1.0325967805458336,True
SECONDARY_DRIVE_DOWN_STR_B60_80,2022,4,150,300,0.2162884962880131,0.326177559717612,1.0918970842237437,0.5694136486819413,115,0.5826086956521739,1.58472875571625,1.3947652105025838,True
SECONDARY_DRIVE_DOWN_STR_B60_80,2023,6,90,300,0.3538244484503574,0.7802166692913589,1.1322028437561098,0.5599078341013825,98,0.5204081632653061,-0.2174006387225611,0.8787117643369122,False
SECONDARY_DRIVE_DOWN_STR_B60_80,2024,7,120,360,1.2780192789206335,1.3239798514292604,1.3352084267764728,0.6308985132514544,101,0.5445544554455446,-0.1786579111945593,0.9329333138054788,False
