partition,date_utc,signal_ts,window_status,H,L,range,F15,F65,E20_DOWN,eligible_start,h2_bar_start,opposite_break_bar_start,session_end,blind_filled,blind_touch_bar_start,blind_entry_px,h2_after_fill,minutes_fill_to_h2,max_pre_h2_frac,adverse_excursion_r,rule,entry_executed,confirmation_kind,confirmation_bar_start,entry_start,entry_px,entry_fraction,entry_on_h2_bar_open,entry_status,fixed_exit_reason,fixed_exit_px,fixed_net_pnl_usd,fixed_hold_minutes,fixed_h2_seen,fixed_breakdown_accepted,fixed_e20_reached,hybrid_exit_reason,hybrid_exit_px,hybrid_net_pnl_usd,hybrid_hold_minutes,hybrid_e20_reached,hybrid_ceiling_ratchets,hybrid_final_ceiling,session_trough_after_e20,trough_extension_r,realized_exit_extension_r,capture_ratio,giveback_r
august,2026-08-14,2026-08-14 14:05:00+00:00,H2_ARRIVAL,62974.4,62555.5,418.90000000000146,62618.335,62827.785,62471.72,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,,2026-08-14 20:00:00+00:00,True,2026-08-14 14:10:00+00:00,62618.335,True,5.0,0.31343996180473255,0.16343996180473255,BLIND_F15,True,,,2026-08-14 14:10:00+00:00,62618.335,0.15,False,EXECUTED,CLOSE_INVALIDATION_F65,62871.3,-2.41989561044702,85.0,True,False,False,PRE_E20_CLOSE_INVALIDATION_F65,62871.3,-2.41989561044702,85.0,False,0,,,,,,
august,2026-08-14,2026-08-14 14:05:00+00:00,H2_ARRIVAL,62974.4,62555.5,418.90000000000146,62618.335,62827.785,62471.72,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,,2026-08-14 20:00:00+00:00,True,2026-08-14 14:10:00+00:00,62618.335,True,5.0,0.31343996180473255,0.16343996180473255,EARLY_REJECT,True,SAME_BAR,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,62580.2,0.058963953210783016,True,EXECUTED,CLOSE_INVALIDATION_F65,62871.3,-2.725815513533058,80.0,True,False,False,PRE_E20_CLOSE_INVALIDATION_F65,62871.3,-2.725815513533058,80.0,False,0,,,,,,
august,2026-08-14,2026-08-14 14:05:00+00:00,H2_ARRIVAL,62974.4,62555.5,418.90000000000146,62618.335,62827.785,62471.72,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,,2026-08-14 20:00:00+00:00,True,2026-08-14 14:10:00+00:00,62618.335,True,5.0,0.31343996180473255,0.16343996180473255,SAME_BAR_REJECTION,True,SAME_BAR,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,62580.2,0.058963953210783016,True,EXECUTED,CLOSE_INVALIDATION_F65,62871.3,-2.725815513533058,80.0,True,False,False,PRE_E20_CLOSE_INVALIDATION_F65,62871.3,-2.725815513533058,80.0,False,0,,,,,,
august,2026-08-18,2026-08-18 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,64380.0,64025.5,354.5,64078.675,64255.925,63954.6,2026-08-18 13:45:00+00:00,,2026-08-18 14:15:00+00:00,2026-08-18 20:00:00+00:00,False,,,False,,,,BLIND_F15,False,,,,,,False,NO_BLIND_F15_FILL,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,
august,2026-08-18,2026-08-18 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,64380.0,64025.5,354.5,64078.675,64255.925,63954.6,2026-08-18 13:45:00+00:00,,2026-08-18 14:15:00+00:00,2026-08-18 20:00:00+00:00,False,,,False,,,,EARLY_REJECT,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,
august,2026-08-18,2026-08-18 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,64380.0,64025.5,354.5,64078.675,64255.925,63954.6,2026-08-18 13:45:00+00:00,,2026-08-18 14:15:00+00:00,2026-08-18 20:00:00+00:00,False,,,False,,,,SAME_BAR_REJECTION,False,,,,,,False,NO_BLIND_F15_OPPORTUNITY,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,
development,2022-01-03,2022-01-03 15:10:00+00:00,H2_ARRIVAL,47575.22,46777.0,798.2200000000012,46896.733,47295.843,46617.356,2022-01-03 15:15:00+00:00,2022-01-03 15:50:00+00:00,,2022-01-03 20:00:00+00:00,True,2022-01-03 15:15:00+00:00,46896.733,True,35.0,0.30442735085565337,0.15442735085565337,BLIND_F15,True,,,2022-01-03 15:15:00+00:00,46896.733,0.15,False,EXECUTED,TP_E20_DOWN,46617.356,2.5786403244763116,40.0,True,True,True,OPEN_GAP_AT_OR_ABOVE_PROFIT_CEILING,46689.99,1.804236700240947,45.0,True,0,46617.356,46260.4,0.6471899977449799,0.10900503620555976,0.16842818428184725,0.5381849615394201
development,2022-01-03,2022-01-03 15:10:00+00:00,H2_ARRIVAL,47575.22,46777.0,798.2200000000012,46896.733,47295.843,46617.356,2022-01-03 15:15:00+00:00,2022-01-03 15:50:00+00:00,,2022-01-03 20:00:00+00:00,True,2022-01-03 15:15:00+00:00,46896.733,True,35.0,0.30442735085565337,0.15442735085565337,EARLY_REJECT,True,LATER_REJECT,2022-01-03 15:20:00+00:00,2022-01-03 15:25:00+00:00,46865.35,0.11068377139134376,False,EXECUTED,TP_E20_DOWN,46617.356,2.2458140182458735,30.0,True,True,True,OPEN_GAP_AT_OR_ABOVE_PROFIT_CEILING,46689.99,1.4708918209295323,35.0,True,0,46617.356,46260.4,0.6471899977449799,0.10900503620555976,0.16842818428184725,0.5381849615394201
development,2022-01-03,2022-01-03 15:10:00+00:00,H2_ARRIVAL,47575.22,46777.0,798.2200000000012,46896.733,47295.843,46617.356,2022-01-03 15:15:00+00:00,2022-01-03 15:50:00+00:00,,2022-01-03 20:00:00+00:00,True,2022-01-03 15:15:00+00:00,46896.733,True,35.0,0.30442735085565337,0.15442735085565337,SAME_BAR_REJECTION,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,
development,2022-01-07,2022-01-07 13:40:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,42960.0,41601.96,1358.0400000000009,41805.666,42484.686,41330.352,,,,2022-01-07 20:00:00+00:00,False,,,False,,,,BLIND_F15,False,,,,,,False,NO_BLIND_F15_FILL,NO_TRADE,,,,False,False,False,NO_TRADE,,,,False,0,,,,,,
