rule,source_tf,level_type,role,mode,weeks,n,coverage,tp,sl,time,wr,exp,pf,max_ls,wilson,fullcov,wr_sort,pf_sort,rank
H1|VAH|RESISTANCE|WICK,H1,VAH,RESISTANCE,WICK,156,156,1.0,76,80,0,0.48717948717948717,-0.000256410256410256,0.9500000000000002,5,0.4099983039412419,1,0.48717948717948717,0.9500000000000002,1
H1|VWAP|SUPPORT|WICK,H1,VWAP,SUPPORT,WICK,156,156,1.0,75,81,0,0.4807692307692308,-0.0003846153846153238,0.9259259259259375,6,0.4037732126661303,1,0.4807692307692308,0.9259259259259375,2
H1|VAH|RESISTANCE|BODY,H1,VAH,RESISTANCE,BODY,156,156,1.0,74,82,0,0.47435897435897434,-0.0005128205128205107,0.9024390243902441,7,0.3975605833265651,1,0.47435897435897434,0.9024390243902441,3
H1|VAH|RESISTANCE|HOLD,H1,VAH,RESISTANCE,HOLD,156,156,1.0,74,82,0,0.47435897435897434,-0.0005128205128205105,0.9024390243902441,7,0.3975605833265651,1,0.47435897435897434,0.9024390243902441,4
H1|VAH|RESISTANCE|RECLAIM,H1,VAH,RESISTANCE,RECLAIM,156,156,1.0,74,82,0,0.47435897435897434,-0.0005128205128205105,0.9024390243902441,7,0.3975605833265651,1,0.47435897435897434,0.9024390243902441,5
H4|VAL|SUPPORT|HOLD,H4,VAL,SUPPORT,HOLD,156,156,1.0,73,83,0,0.46794871794871795,-0.0006410256410255768,0.8795180722891682,9,0.39136043697626344,1,0.46794871794871795,0.8795180722891682,6
H4|VAL|SUPPORT|RECLAIM,H4,VAL,SUPPORT,RECLAIM,156,156,1.0,73,83,0,0.46794871794871795,-0.0006410256410255768,0.8795180722891682,9,0.39136043697626344,1,0.46794871794871795,0.8795180722891682,7
H1|VWAP|SUPPORT|BODY,H1,VWAP,SUPPORT,BODY,156,156,1.0,73,83,0,0.46794871794871795,-0.000641025641025579,0.8795180722891678,6,0.39136043697626344,1,0.46794871794871795,0.8795180722891678,8
H1|VWAP|RESISTANCE|WICK,H1,VWAP,RESISTANCE,WICK,156,156,1.0,73,83,0,0.46794871794871795,-0.000641025641025636,0.8795180722891572,9,0.39136043697626344,1,0.46794871794871795,0.8795180722891572,9
H4|VAL|SUPPORT|BODY,H4,VAL,SUPPORT,BODY,156,156,1.0,72,84,0,0.46153846153846156,-0.0007692307692307059,0.8571428571428683,7,0.38517280077153876,1,0.46153846153846156,0.8571428571428683,10
