partition,regime,clock_block,obs_start,obs_end,rebreak_complete_ts,H,L,R4,T10,t10_touch_ts,t10_touch_close,activation_close_above_t10,final_active_ceiling,ratchets,exit_ts,exit_px,exit_reason,ceiling_kind,realized_exit_ext_r4,fixed_t10_ext_r4,delta_vs_fixed_r4,peak_down_ext_r4,giveback_r4,capture_ratio,t10_preserved,minutes_t10_to_exit
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:30:00+00:00,42768.95,42345.78,423.1699999999983,42303.462999999996,2022-01-17 16:30:00+00:00,42221.16,False,42303.462999999996,0,2022-01-17 16:40:00+00:00,42303.462999999996,CEILING_STOP,T10,0.10000000000000686,0.1,6.855627177060342e-15,1.2283006829406642,1.1283006829406572,0.08141329023818314,True,10.0
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:55:00+00:00,42040.0,41379.39,660.6100000000006,41313.329,2022-01-18 14:55:00+00:00,41441.51,True,41313.329,0,2022-01-18 15:00:00+00:00,41444.13,CEILING_OPEN_EXIT,T10,-0.09800033302553383,0.1,-0.19800033302553383,0.11581719925523679,0.2138175322807706,0.0,False,5.0
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 09:50:00+00:00,41752.46,41352.85,399.6100000000006,41312.888999999996,2022-02-05 09:50:00+00:00,41319.0,True,41312.888999999996,0,2022-02-05 09:55:00+00:00,41319.0,CEILING_OPEN_EXIT,T10,0.08470758990014889,0.1,-0.01529241009985112,0.3959610620354738,0.31125347213532495,0.21392909056436465,False,5.0
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 19:30:00+00:00,43978.64,42822.0,1156.6399999999994,42706.336,2022-02-08 19:30:00+00:00,42944.09,True,42706.336,0,2022-02-08 19:35:00+00:00,42944.1,CEILING_OPEN_EXIT,T10,-0.10556439341540895,0.1,-0.20556439341540894,0.11782404205284178,0.2233884354682507,0.0,False,5.0
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 18:40:00+00:00,42755.97,42158.01,597.9599999999991,42098.214,2022-02-13 18:40:00+00:00,41940.0,False,42086.8,1,2022-02-13 19:15:00+00:00,42086.8,CEILING_STOP,STRUCTURAL,0.11908823332664263,0.1,0.019088233326642626,0.5151013445715474,0.3960131112449048,0.23119379240933297,True,35.0
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 15:35:00+00:00,40938.0,40073.1,864.9000000000015,39986.61,2022-02-18 15:35:00+00:00,39818.8,False,39986.61,0,2022-02-18 16:00:00+00:00,39805.2,TIME_EXIT_BLOCK_END,NONE,0.309746791536595,0.1,0.209746791536595,0.540293675569424,0.23054688403282897,0.5732933875454825,True,25.0
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:45:00+00:00,40119.0,39777.0,342.0,39742.8,2022-02-20 03:45:00+00:00,39766.5,True,39742.8,0,2022-02-20 03:50:00+00:00,39766.6,CEILING_OPEN_EXIT,T10,0.030409356725150452,0.1,-0.06959064327484955,0.2242690058479447,0.19385964912279424,0.13559322033900717,False,5.0
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:35:00+00:00,44345.0,43661.8,683.1999999999971,43593.48,2022-03-03 02:35:00+00:00,43736.2,True,43593.48,0,2022-03-03 02:40:00+00:00,43736.2,CEILING_OPEN_EXIT,T10,-0.10889929742387953,0.1,-0.20889929742387953,0.7270199063231945,0.835919203747074,0.0,False,5.0
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,2022-03-13 08:25:00+00:00,39300.0,39051.6,248.40000000000143,39026.759999999995,2022-03-13 08:25:00+00:00,39019.0,False,39026.759999999995,0,2022-03-13 08:30:00+00:00,39026.759999999995,CEILING_STOP,T10,0.10000000000001466,0.1,1.4654943925052066e-14,2.173107890499165,2.0731078904991502,0.04601704334939604,True,5.0
development,BULL,16-20,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,2022-03-16 17:05:00+00:00,41188.0,40232.3,955.6999999999972,40136.73,2022-03-16 17:05:00+00:00,40141.6,True,40136.73,0,2022-03-16 17:10:00+00:00,40141.6,CEILING_OPEN_EXIT,T10,0.09490425865857971,0.1,-0.005095741341420296,1.006905932824114,0.9120016741655341,0.09425335134573844,False,5.0
