partition,date_utc,signal_ts,fill_bar_start,entry_px,H,L,range,b27ak_h2_after_fill,h2_bar_start,session_end,has_h2,first_close_break_bar_start,first_close_break_ts,max_low_extension,max_close_extension,E05_price,E05_low_reach,E05_low_reach_bar_start,E05_minutes_from_h2,E05_close_reach,E05_close_reach_ts,E10_price,E10_low_reach,E10_low_reach_bar_start,E10_minutes_from_h2,E10_close_reach,E10_close_reach_ts,E15_price,E15_low_reach,E15_low_reach_bar_start,E15_minutes_from_h2,E15_close_reach,E15_close_reach_ts,E20_price,E20_low_reach,E20_low_reach_bar_start,E20_minutes_from_h2,E20_close_reach,E20_close_reach_ts,E25_price,E25_low_reach,E25_low_reach_bar_start,E25_minutes_from_h2,E25_close_reach,E25_close_reach_ts,E30_price,E30_low_reach,E30_low_reach_bar_start,E30_minutes_from_h2,E30_close_reach,E30_close_reach_ts,E40_price,E40_low_reach,E40_low_reach_bar_start,E40_minutes_from_h2,E40_close_reach,E40_close_reach_ts,E50_price,E50_low_reach,E50_low_reach_bar_start,E50_minutes_from_h2,E50_close_reach,E50_close_reach_ts
august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,True,2026-08-14 14:15:00+00:00,2026-08-14 20:00:00+00:00,True,,,0.17020768679876502,-0.020291238959178733,62534.555,True,2026-08-14 14:55:00+00:00,40.0,False,,62513.61,True,2026-08-14 14:55:00+00:00,40.0,False,,62492.665,True,2026-08-14 14:55:00+00:00,40.0,False,,62471.72,False,,,False,,62450.775,False,,,False,,62429.83,False,,,False,,62387.94,False,,,False,,62346.05,False,,,False,
development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,True,2022-01-03 15:50:00+00:00,2022-01-03 20:00:00+00:00,True,2022-01-03 15:50:00+00:00,2022-01-03 15:55:00+00:00,0.6471899977449799,0.5642304126681826,46737.089,True,2022-01-03 15:50:00+00:00,0.0,True,2022-01-03 15:55:00+00:00,46697.178,True,2022-01-03 15:50:00+00:00,0.0,True,2022-01-03 16:00:00+00:00,46657.267,True,2022-01-03 15:55:00+00:00,5.0,True,2022-01-03 16:15:00+00:00,46617.356,True,2022-01-03 15:55:00+00:00,5.0,True,2022-01-03 16:20:00+00:00,46577.445,True,2022-01-03 15:55:00+00:00,5.0,True,2022-01-03 16:20:00+00:00,46537.534,True,2022-01-03 16:15:00+00:00,25.0,True,2022-01-03 16:20:00+00:00,46457.712,True,2022-01-03 16:15:00+00:00,25.0,True,2022-01-03 16:20:00+00:00,46377.89,True,2022-01-03 16:20:00+00:00,30.0,True,2022-01-03 16:25:00+00:00
development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,True,2022-01-17 15:55:00+00:00,2022-01-17 20:00:00+00:00,True,2022-01-17 16:05:00+00:00,2022-01-17 16:10:00+00:00,1.2702350148621844,1.0594487094497853,42396.6185,True,2022-01-17 15:55:00+00:00,0.0,True,2022-01-17 16:10:00+00:00,42373.237,True,2022-01-17 16:05:00+00:00,10.0,True,2022-01-17 16:10:00+00:00,42349.8555,True,2022-01-17 16:05:00+00:00,10.0,True,2022-01-17 16:15:00+00:00,42326.474,True,2022-01-17 16:05:00+00:00,10.0,True,2022-01-17 16:15:00+00:00,42303.0925,True,2022-01-17 16:10:00+00:00,15.0,True,2022-01-17 16:15:00+00:00,42279.711,True,2022-01-17 16:10:00+00:00,15.0,True,2022-01-17 16:15:00+00:00,42232.948000000004,True,2022-01-17 16:10:00+00:00,15.0,True,2022-01-17 16:15:00+00:00,42186.185,True,2022-01-17 16:10:00+00:00,15.0,True,2022-01-17 17:05:00+00:00
development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 14:50:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,True,2022-03-14 17:30:00+00:00,2022-03-14 20:00:00+00:00,True,2022-03-14 18:20:00+00:00,2022-03-14 18:25:00+00:00,0.34986309704898005,0.22406449650137297,38597.13,True,2022-03-14 17:30:00+00:00,0.0,True,2022-03-14 18:25:00+00:00,38564.26,True,2022-03-14 17:30:00+00:00,0.0,True,2022-03-14 18:30:00+00:00,38531.39,True,2022-03-14 18:25:00+00:00,55.0,True,2022-03-14 18:30:00+00:00,38498.52,True,2022-03-14 18:25:00+00:00,55.0,True,2022-03-14 18:30:00+00:00,38465.65,True,2022-03-14 18:25:00+00:00,55.0,False,,38432.78,True,2022-03-14 18:30:00+00:00,60.0,False,,38367.04,False,,,False,,38301.3,False,,,False,
development,2022-03-24,2022-03-24 13:35:00+00:00,2022-03-24 13:50:00+00:00,42793.855,43206.7,42721.0,485.6999999999971,False,,2022-03-24 20:00:00+00:00,False,,,,,42696.715,False,,,False,,42672.43,False,,,False,,42648.145000000004,False,,,False,,42623.86,False,,,False,,42599.575,False,,,False,,42575.29,False,,,False,,42526.72,False,,,False,,42478.15,False,,,False,
development,2022-04-15,2022-04-15 14:00:00+00:00,2022-04-15 14:10:00+00:00,40064.76,40400.0,40005.6,394.40000000000146,True,2022-04-15 14:25:00+00:00,2022-04-15 20:00:00+00:00,True,2022-04-15 14:25:00+00:00,2022-04-15 14:30:00+00:00,0.39655172413793327,0.07606490872210925,39985.88,True,2022-04-15 14:25:00+00:00,0.0,True,2022-04-15 14:30:00+00:00,39966.159999999996,True,2022-04-15 14:25:00+00:00,0.0,False,,39946.439999999995,True,2022-04-15 14:25:00+00:00,0.0,False,,39926.72,True,2022-04-15 14:25:00+00:00,0.0,False,,39907.0,True,2022-04-15 14:25:00+00:00,0.0,False,,39887.28,True,2022-04-15 14:25:00+00:00,0.0,False,,39847.84,False,,,False,,39808.399999999994,False,,,False,
development,2022-05-03,2022-05-03 13:35:00+00:00,2022-05-03 13:40:00+00:00,38311.455,38659.7,38250.0,409.6999999999971,True,2022-05-03 13:45:00+00:00,2022-05-03 20:00:00+00:00,True,2022-05-03 13:45:00+00:00,2022-05-03 13:50:00+00:00,1.830363680742023,1.6966072736148485,38229.515,True,2022-05-03 13:45:00+00:00,0.0,True,2022-05-03 13:50:00+00:00,38209.03,True,2022-05-03 13:45:00+00:00,0.0,True,2022-05-03 13:50:00+00:00,38188.545,True,2022-05-03 13:45:00+00:00,0.0,True,2022-05-03 16:30:00+00:00,38168.06,True,2022-05-03 13:45:00+00:00,0.0,True,2022-05-03 16:30:00+00:00,38147.575,True,2022-05-03 13:45:00+00:00,0.0,True,2022-05-03 17:05:00+00:00,38127.090000000004,True,2022-05-03 13:45:00+00:00,0.0,True,2022-05-03 17:55:00+00:00,38086.12,True,2022-05-03 16:40:00+00:00,175.0,True,2022-05-03 18:00:00+00:00,38045.15,True,2022-05-03 18:00:00+00:00,255.0,True,2022-05-03 18:05:00+00:00
development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 14:00:00+00:00,29547.905,30288.0,29417.3,870.7000000000007,True,2022-05-16 15:35:00+00:00,2022-05-16 20:00:00+00:00,True,2022-05-16 16:20:00+00:00,2022-05-16 16:25:00+00:00,0.41920294016308685,0.2409555530033296,29373.765,True,2022-05-16 15:35:00+00:00,0.0,True,2022-05-16 16:45:00+00:00,29330.23,True,2022-05-16 15:35:00+00:00,0.0,True,2022-05-16 16:45:00+00:00,29286.695,True,2022-05-16 16:40:00+00:00,65.0,True,2022-05-16 16:45:00+00:00,29243.16,True,2022-05-16 16:40:00+00:00,65.0,True,2022-05-16 16:45:00+00:00,29199.625,True,2022-05-16 16:40:00+00:00,65.0,False,,29156.09,True,2022-05-16 16:40:00+00:00,65.0,False,,29069.02,True,2022-05-16 16:45:00+00:00,70.0,False,,28981.949999999997,False,,,False,
development,2022-06-10,2022-06-10 13:35:00+00:00,2022-06-10 13:45:00+00:00,29418.01,30177.4,29284.0,893.4000000000015,True,2022-06-10 14:00:00+00:00,2022-06-10 20:00:00+00:00,True,2022-06-10 16:25:00+00:00,2022-06-10 16:30:00+00:00,0.5361540183568382,0.48544884710096264,29239.33,True,2022-06-10 14:00:00+00:00,0.0,True,2022-06-10 16:30:00+00:00,29194.66,True,2022-06-10 16:25:00+00:00,145.0,True,2022-06-10 16:30:00+00:00,29149.989999999998,True,2022-06-10 16:25:00+00:00,145.0,True,2022-06-10 16:30:00+00:00,29105.32,True,2022-06-10 16:25:00+00:00,145.0,True,2022-06-10 16:30:00+00:00,29060.65,True,2022-06-10 16:25:00+00:00,145.0,True,2022-06-10 16:30:00+00:00,29015.98,True,2022-06-10 16:25:00+00:00,145.0,True,2022-06-10 16:30:00+00:00,28926.64,True,2022-06-10 16:25:00+00:00,145.0,True,2022-06-10 16:40:00+00:00,28837.3,True,2022-06-10 16:25:00+00:00,145.0,False,
development,2022-06-13,2022-06-13 13:45:00+00:00,2022-06-13 13:50:00+00:00,23579.06,24934.3,23339.9,1594.3999999999978,True,2022-06-13 14:10:00+00:00,2022-06-13 20:00:00+00:00,True,2022-06-13 14:15:00+00:00,2022-06-13 14:20:00+00:00,0.48933768188660426,0.3982062217762182,23260.18,True,2022-06-13 14:25:00+00:00,15.0,True,2022-06-13 14:45:00+00:00,23180.460000000003,True,2022-06-13 14:40:00+00:00,30.0,True,2022-06-13 14:45:00+00:00,23100.74,True,2022-06-13 14:40:00+00:00,30.0,True,2022-06-13 14:45:00+00:00,23021.02,True,2022-06-13 14:40:00+00:00,30.0,True,2022-06-13 14:50:00+00:00,22941.300000000003,True,2022-06-13 14:45:00+00:00,35.0,True,2022-06-13 14:50:00+00:00,22861.58,True,2022-06-13 14:45:00+00:00,35.0,True,2022-06-13 14:50:00+00:00,22702.140000000003,True,2022-06-13 14:50:00+00:00,40.0,False,,22542.700000000004,False,,,False,
