partition,regime,clock_block,leak_type,obs_start,obs_end,fill_ts,exit_ts,exit_reason,H,L,R4,F05,T5,T10,REBREAK_AT_EXIT,T5_AT_EXIT,FAST_L_TOUCH_10M,NO_F25_CLOSE_BEFORE_EXIT,LAST_CLOSE_LE_F05,first_l_touch_min,carried_rebreak_at_exit,fresh_rebreak_after_exit,rebreak_available,rebreak_available_min,future_t5,future_t5_min,future_t10,future_t10_min,future_high_break,future_high_break_min,no_resolution_4h,breath_rows
development,BULL,04-08,BE,2022-03-23 04:00:00+00:00,2022-03-23 08:00:00+00:00,2022-03-23 04:35:00+00:00,2022-03-23 04:50:00+00:00,CEILING_STOP,42518.0,41842.4,675.5999999999985,41876.18,41808.62,41774.84,False,False,True,True,True,5.0,False,True,True,20.0,True,20.0,True,20.0,False,,False,48
development,BEAR,20-00,BE,2022-04-08 20:00:00+00:00,2022-04-09 00:00:00+00:00,2022-04-08 22:35:00+00:00,2022-04-08 22:50:00+00:00,CEILING_STOP,43707.2,42298.2,1409.0,42368.65,42227.75,42157.3,False,False,True,True,True,5.0,False,True,True,10.0,True,10.0,True,10.0,False,,False,48
development,BEAR,08-12,BE,2022-04-16 08:00:00+00:00,2022-04-16 12:00:00+00:00,2022-04-16 08:40:00+00:00,2022-04-16 08:55:00+00:00,CEILING_STOP,40544.1,40350.0,194.0999999999985,40359.705,40340.295,40330.59,True,False,True,True,True,5.0,True,False,True,0.0,True,0.0,True,0.0,False,,False,48
development,BEAR,08-12,TIME_OTHER,2022-04-22 08:00:00+00:00,2022-04-22 12:00:00+00:00,2022-04-22 10:15:00+00:00,2022-04-22 12:00:00+00:00,TIME_BLOCK_END_OPEN,40786.1,40264.6,521.5,40290.675,40238.525,40212.45,False,False,False,False,False,,False,True,True,105.0,True,105.0,True,105.0,False,,False,48
development,SIDEWAYS,12-16,BE,2022-04-28 12:00:00+00:00,2022-04-28 16:00:00+00:00,2022-04-28 13:25:00+00:00,2022-04-28 13:35:00+00:00,CEILING_OPEN_EXIT,39878.0,39340.0,538.0,39366.9,39313.1,39286.2,False,False,True,True,False,5.0,False,True,True,10.0,True,10.0,True,10.0,False,,False,48
development,BEAR,12-16,BE,2022-06-04 12:00:00+00:00,2022-06-04 16:00:00+00:00,2022-06-04 13:05:00+00:00,2022-06-04 13:20:00+00:00,CEILING_STOP,29794.1,29575.0,219.0999999999985,29585.955,29564.045,29553.09,False,False,True,True,True,5.0,False,True,True,5.0,True,5.0,True,5.0,False,,False,48
development,BULL,00-04,BE,2022-06-22 00:00:00+00:00,2022-06-22 04:00:00+00:00,2022-06-22 00:20:00+00:00,2022-06-22 01:00:00+00:00,CEILING_STOP,21056.7,20535.2,521.5,20561.275,20509.125,20483.05,False,False,False,False,True,30.0,False,True,True,5.0,True,5.0,True,45.0,False,,False,48
development,BEAR,08-12,TIME_OTHER,2022-07-02 08:00:00+00:00,2022-07-02 12:00:00+00:00,2022-07-02 09:50:00+00:00,2022-07-02 12:00:00+00:00,TIME_BLOCK_END_OPEN,19296.2,19096.7,199.5,19106.675,19086.725,19076.75,False,False,False,False,False,,False,False,False,,False,,False,,True,45.0,False,48
development,BEAR,08-12,BE,2022-07-12 08:00:00+00:00,2022-07-12 12:00:00+00:00,2022-07-12 09:55:00+00:00,2022-07-12 10:10:00+00:00,CEILING_STOP,20048.9,19618.2,430.7000000000007,19639.735,19596.665,19575.13,True,False,True,True,True,5.0,True,False,True,0.0,True,45.0,False,,False,,True,48
development,SIDEWAYS,12-16,TIME_OTHER,2022-07-21 12:00:00+00:00,2022-07-21 16:00:00+00:00,2022-07-21 14:40:00+00:00,2022-07-21 16:00:00+00:00,TIME_BLOCK_END_OPEN,23069.0,22444.0,625.0,22475.25,22412.75,22381.5,False,False,False,False,False,,False,False,False,,False,,False,,True,65.0,False,48
development,BULL,00-04,TIME_OTHER,2022-07-29 00:00:00+00:00,2022-07-29 04:00:00+00:00,2022-07-29 00:35:00+00:00,2022-07-29 04:00:00+00:00,TIME_BLOCK_END_OPEN,24194.6,23720.0,474.59999999999854,23743.73,23696.27,23672.54,False,False,False,False,False,,False,False,False,,False,,False,,True,160.0,False,48
development,SIDEWAYS,04-08,TIME_OTHER,2022-08-01 04:00:00+00:00,2022-08-01 08:00:00+00:00,2022-08-01 07:45:00+00:00,2022-08-01 08:00:00+00:00,TIME_BLOCK_END_OPEN,23458.3,23251.0,207.29999999999927,23261.365,23240.635,23230.27,False,False,False,False,False,,False,True,True,155.0,True,155.0,True,155.0,False,,False,48
development,BEAR,08-12,BE,2022-08-01 08:00:00+00:00,2022-08-01 12:00:00+00:00,2022-08-01 11:20:00+00:00,2022-08-01 11:30:00+00:00,CEILING_OPEN_EXIT,23408.7,23100.0,308.7000000000007,23115.435,23084.565,23069.13,False,False,True,True,False,5.0,False,True,True,95.0,True,95.0,True,95.0,False,,False,48
development,BULL,04-08,BE,2022-08-06 04:00:00+00:00,2022-08-06 08:00:00+00:00,2022-08-06 05:35:00+00:00,2022-08-06 06:50:00+00:00,CEILING_STOP,23341.8,23140.8,201.0,23150.85,23130.75,23120.7,True,False,False,False,True,65.0,True,False,True,0.0,True,105.0,True,105.0,False,,False,48
development,BEAR,04-08,TIME_OTHER,2022-08-16 04:00:00+00:00,2022-08-16 08:00:00+00:00,2022-08-16 05:30:00+00:00,2022-08-16 08:00:00+00:00,TIME_BLOCK_END_OPEN,24234.0,23843.8,390.2000000000007,23863.31,23824.29,23804.78,False,False,False,False,False,,False,False,False,,False,,False,,False,,True,48
development,BEAR,08-12,BE,2022-08-17 08:00:00+00:00,2022-08-17 12:00:00+00:00,2022-08-17 08:15:00+00:00,2022-08-17 08:35:00+00:00,CEILING_STOP,24437.0,23754.0,683.0,23788.15,23719.85,23685.7,True,False,True,True,True,10.0,True,False,True,0.0,True,95.0,True,95.0,False,,False,48
development,BULL,12-16,BE,2022-08-25 12:00:00+00:00,2022-08-25 16:00:00+00:00,2022-08-25 13:25:00+00:00,2022-08-25 13:40:00+00:00,CEILING_STOP,21810.9,21601.0,209.90000000000143,21611.495,21590.505,21580.01,False,False,True,True,True,5.0,False,True,True,100.0,True,100.0,True,100.0,False,,False,48
development,SIDEWAYS,08-12,BE,2022-08-31 08:00:00+00:00,2022-08-31 12:00:00+00:00,2022-08-31 08:40:00+00:00,2022-08-31 09:15:00+00:00,CEILING_STOP,20496.0,20178.9,317.09999999999854,20194.755,20163.045,20147.19,True,False,False,False,True,25.0,True,False,True,0.0,True,40.0,False,,False,,True,48
development,SIDEWAYS,08-12,TIME_OTHER,2022-09-02 08:00:00+00:00,2022-09-02 12:00:00+00:00,2022-09-02 11:40:00+00:00,2022-09-02 12:00:00+00:00,TIME_BLOCK_END_OPEN,20290.0,20023.2,266.7999999999993,20036.54,20009.86,19996.52,False,False,False,True,False,,False,False,False,,False,,False,,True,40.0,False,48
development,BEAR,04-08,BE,2022-09-08 04:00:00+00:00,2022-09-08 08:00:00+00:00,2022-09-08 07:35:00+00:00,2022-09-08 07:55:00+00:00,CEILING_OPEN_EXIT,19373.8,19139.4,234.39999999999785,19151.120000000003,19127.68,19115.960000000003,False,False,False,True,False,15.0,False,False,False,,False,,False,,False,,True,48
development,BULL,12-16,BE,2022-09-10 12:00:00+00:00,2022-09-10 16:00:00+00:00,2022-09-10 12:30:00+00:00,2022-09-10 12:50:00+00:00,CEILING_STOP,21384.0,21246.0,138.0,21252.9,21239.1,21232.2,False,False,True,False,False,10.0,False,True,True,30.0,True,30.0,True,30.0,False,,False,48
development,BEAR,20-00,BE,2022-09-15 20:00:00+00:00,2022-09-16 00:00:00+00:00,2022-09-15 23:15:00+00:00,2022-09-15 23:40:00+00:00,CEILING_STOP,19936.3,19640.0,296.2999999999993,19654.815,19625.185,19610.37,False,False,False,True,True,15.0,False,True,True,40.0,True,40.0,True,40.0,False,,False,48
development,BEAR,16-20,BE,2022-09-18 16:00:00+00:00,2022-09-18 20:00:00+00:00,2022-09-18 16:25:00+00:00,2022-09-18 16:35:00+00:00,CEILING_OPEN_EXIT,20019.0,19707.0,312.0,19722.6,19691.4,19675.8,False,False,True,True,False,5.0,False,True,True,5.0,True,5.0,True,5.0,False,,False,48
development,BEAR,00-04,BE,2022-09-20 00:00:00+00:00,2022-09-20 04:00:00+00:00,2022-09-20 01:30:00+00:00,2022-09-20 02:15:00+00:00,CEILING_STOP,19686.3,19408.0,278.2999999999993,19421.915,19394.085,19380.17,False,False,False,True,True,35.0,False,True,True,65.0,True,65.0,True,65.0,False,,False,48
development,BEAR,08-12,BE,2022-09-28 08:00:00+00:00,2022-09-28 12:00:00+00:00,2022-09-28 09:30:00+00:00,2022-09-28 10:00:00+00:00,CEILING_STOP,18870.8,18610.3,260.5,18623.325,18597.275,18584.25,False,False,False,True,False,20.0,False,False,False,,False,,False,,True,20.0,False,48
development,BEAR,12-16,TIME_OTHER,2022-10-08 12:00:00+00:00,2022-10-08 16:00:00+00:00,2022-10-08 14:35:00+00:00,2022-10-08 16:00:00+00:00,TIME_BLOCK_END_OPEN,19539.3,19441.1,98.20000000000071,19446.01,19436.19,19431.28,False,False,False,False,False,,False,False,False,,False,,False,,False,,True,48
development,BEAR,20-00,BE,2022-10-10 20:00:00+00:00,2022-10-11 00:00:00+00:00,2022-10-10 22:20:00+00:00,2022-10-10 22:50:00+00:00,CEILING_STOP,19355.5,19100.0,255.5,19112.775,19087.225,19074.45,False,False,False,True,False,15.0,False,True,True,75.0,True,75.0,True,75.0,False,,False,48
development,BEAR,00-04,BE,2022-10-11 00:00:00+00:00,2022-10-11 04:00:00+00:00,2022-10-11 00:20:00+00:00,2022-10-11 00:30:00+00:00,CEILING_STOP,19279.9,19000.0,279.90000000000146,19013.995,18986.005,18972.01,True,False,False,True,True,,True,False,True,0.0,True,70.0,True,70.0,False,,False,48
development,BEAR,12-16,BE,2022-10-19 12:00:00+00:00,2022-10-19 16:00:00+00:00,2022-10-19 12:45:00+00:00,2022-10-19 13:15:00+00:00,CEILING_STOP,19274.8,19133.4,141.39999999999782,19140.47,19126.33,19119.26,True,False,False,True,True,20.0,True,False,True,0.0,True,25.0,True,25.0,False,,False,48
development,BEAR,20-00,TIME_OTHER,2022-11-03 20:00:00+00:00,2022-11-04 00:00:00+00:00,2022-11-03 23:25:00+00:00,2022-11-04 00:00:00+00:00,TIME_BLOCK_END_OPEN,20304.8,20169.2,135.59999999999854,20175.98,20162.42,20155.64,False,False,False,True,False,,False,False,False,,False,,False,,True,215.0,False,48
development,BEAR,16-20,BE,2022-11-13 16:00:00+00:00,2022-11-13 20:00:00+00:00,2022-11-13 17:20:00+00:00,2022-11-13 17:30:00+00:00,CEILING_STOP,16710.2,16512.6,197.60000000000213,16522.48,16502.719999999998,16492.839999999997,True,False,False,True,True,,True,False,True,0.0,True,0.0,True,0.0,False,,False,48
development,BEAR,04-08,BE,2022-11-14 04:00:00+00:00,2022-11-14 08:00:00+00:00,2022-11-14 04:50:00+00:00,2022-11-14 05:40:00+00:00,CEILING_STOP,16399.5,15900.0,499.5,15924.975,15875.025,15850.05,False,False,False,True,True,40.0,False,True,True,5.0,True,5.0,True,5.0,False,,False,48
development,BULL,08-12,TIME_OTHER,2022-12-03 08:00:00+00:00,2022-12-03 12:00:00+00:00,2022-12-03 11:15:00+00:00,2022-12-03 12:00:00+00:00,TIME_BLOCK_END_OPEN,17024.7,16915.7,109.0,16921.15,16910.25,16904.8,False,False,False,False,False,,False,False,False,,False,,False,,False,,True,48
development,SIDEWAYS,20-00,BE,2022-12-15 20:00:00+00:00,2022-12-16 00:00:00+00:00,2022-12-15 22:45:00+00:00,2022-12-15 23:30:00+00:00,CEILING_STOP,17467.7,17310.0,157.70000000000073,17317.885,17302.115,17294.23,True,False,False,False,True,35.0,True,False,True,0.0,True,5.0,True,5.0,False,,False,48
development,SIDEWAYS,12-16,BE,2022-12-27 12:00:00+00:00,2022-12-27 16:00:00+00:00,2022-12-27 15:20:00+00:00,2022-12-27 15:35:00+00:00,CEILING_OPEN_EXIT,16874.8,16800.6,74.20000000000073,16804.309999999998,16796.89,16793.18,False,False,True,False,False,10.0,False,True,True,20.0,True,20.0,True,20.0,False,,False,48
development,BEAR,12-16,BE,2022-12-30 12:00:00+00:00,2022-12-30 16:00:00+00:00,2022-12-30 14:10:00+00:00,2022-12-30 14:35:00+00:00,CEILING_OPEN_EXIT,16524.9,16453.0,71.90000000000146,16456.595,16449.405,16445.81,False,False,False,False,False,20.0,False,True,True,15.0,True,15.0,True,15.0,False,,False,48
development,BULL,12-16,BE,2023-01-05 12:00:00+00:00,2023-01-05 16:00:00+00:00,2023-01-05 14:05:00+00:00,2023-01-05 14:45:00+00:00,CEILING_OPEN_EXIT,16830.0,16775.1,54.900000000001455,16777.844999999998,16772.355,16769.609999999997,False,False,False,False,False,35.0,False,True,True,5.0,True,5.0,True,5.0,False,,False,48
development,BULL,00-04,TIME_OTHER,2023-01-18 00:00:00+00:00,2023-01-18 04:00:00+00:00,2023-01-18 00:20:00+00:00,2023-01-18 04:00:00+00:00,TIME_BLOCK_END_OPEN,21410.8,21123.1,287.7000000000007,21137.485,21108.715,21094.33,False,False,False,False,False,,False,False,False,,False,,False,,False,,True,48
development,BULL,16-20,TIME_OTHER,2023-01-18 16:00:00+00:00,2023-01-18 20:00:00+00:00,2023-01-18 17:00:00+00:00,2023-01-18 20:00:00+00:00,TIME_BLOCK_END_OPEN,21672.0,20810.0,862.0,20853.1,20766.9,20723.8,False,False,False,False,False,,False,True,True,35.0,True,35.0,True,35.0,False,,False,48
development,BULL,08-12,TIME_OTHER,2023-01-26 08:00:00+00:00,2023-01-26 12:00:00+00:00,2023-01-26 10:55:00+00:00,2023-01-26 12:00:00+00:00,TIME_BLOCK_END_OPEN,23189.3,22885.7,303.59999999999854,22900.88,22870.52,22855.34,False,False,False,False,False,,False,False,False,,False,,False,,False,,True,48
development,BULL,20-00,BE,2023-01-28 20:00:00+00:00,2023-01-29 00:00:00+00:00,2023-01-28 21:10:00+00:00,2023-01-28 22:45:00+00:00,CEILING_OPEN_EXIT,23050.6,22968.1,82.5,22972.225,22963.975,22959.85,False,False,False,False,False,90.0,False,True,True,20.0,True,20.0,True,20.0,False,,False,48
development,BEAR,04-08,BE,2023-02-06 04:00:00+00:00,2023-02-06 08:00:00+00:00,2023-02-06 07:25:00+00:00,2023-02-06 07:35:00+00:00,CEILING_OPEN_EXIT,23094.0,22817.1,276.90000000000146,22830.945,22803.255,22789.41,False,False,True,True,False,5.0,False,True,True,110.0,True,180.0,True,210.0,False,,False,48
development,BEAR,16-20,BE,2023-02-08 16:00:00+00:00,2023-02-08 20:00:00+00:00,2023-02-08 16:45:00+00:00,2023-02-08 19:00:00+00:00,CEILING_STOP,23194.3,22849.9,344.3999999999978,22867.120000000003,22832.68,22815.460000000003,True,False,False,False,True,125.0,True,False,True,0.0,True,30.0,True,30.0,False,,False,48
development,BEAR,12-16,TIME_OTHER,2023-03-03 12:00:00+00:00,2023-03-03 16:00:00+00:00,2023-03-03 15:10:00+00:00,2023-03-03 16:00:00+00:00,TIME_BLOCK_END_OPEN,22474.0,22300.0,174.0,22308.7,22291.3,22282.6,False,False,False,False,False,,False,True,True,185.0,True,185.0,False,,False,,True,48
development,BEAR,04-08,BE,2023-03-04 04:00:00+00:00,2023-03-04 08:00:00+00:00,2023-03-04 05:50:00+00:00,2023-03-04 06:05:00+00:00,CEILING_STOP,22379.2,22312.1,67.10000000000218,22315.455,22308.745,22305.39,False,False,True,True,False,5.0,False,False,False,,False,,False,,True,15.0,False,48
development,BEAR,20-00,BE,2023-03-07 20:00:00+00:00,2023-03-08 00:00:00+00:00,2023-03-07 20:15:00+00:00,2023-03-07 20:35:00+00:00,CEILING_STOP,22387.6,22039.0,348.59999999999854,22056.43,22021.57,22004.14,True,False,True,True,True,10.0,True,False,True,0.0,True,35.0,True,35.0,False,,False,48
development,BULL,00-04,BE,2023-03-16 00:00:00+00:00,2023-03-16 04:00:00+00:00,2023-03-16 00:40:00+00:00,2023-03-16 00:50:00+00:00,CEILING_STOP,24645.4,24222.6,422.8000000000029,24243.74,24201.46,24180.32,True,False,False,True,True,,True,False,True,0.0,True,5.0,True,5.0,False,,False,48
development,BEAR,04-08,TIME_OTHER,2023-03-25 04:00:00+00:00,2023-03-25 08:00:00+00:00,2023-03-25 06:25:00+00:00,2023-03-25 08:00:00+00:00,TIME_BLOCK_END_OPEN,27648.4,27400.0,248.40000000000143,27412.42,27387.58,27375.16,False,False,False,False,False,,False,True,True,40.0,True,40.0,True,40.0,False,,False,48
development,BULL,16-20,BE,2023-03-29 16:00:00+00:00,2023-03-29 20:00:00+00:00,2023-03-29 17:05:00+00:00,2023-03-29 17:45:00+00:00,CEILING_STOP,28589.5,28211.5,378.0,28230.4,28192.6,28173.7,False,False,False,True,True,30.0,False,True,True,35.0,True,35.0,False,,False,,True,48
development,BULL,16-20,BE,2023-04-15 16:00:00+00:00,2023-04-15 20:00:00+00:00,2023-04-15 16:20:00+00:00,2023-04-15 17:00:00+00:00,CEILING_STOP,30432.1,30270.7,161.39999999999782,30278.77,30262.63,30254.56,True,False,False,True,True,30.0,True,False,True,0.0,True,5.0,True,10.0,False,,False,48
development,BEAR,04-08,TIME_OTHER,2023-04-21 04:00:00+00:00,2023-04-21 08:00:00+00:00,2023-04-21 07:55:00+00:00,2023-04-21 08:00:00+00:00,TIME_BLOCK_END_OPEN,28368.9,28076.1,292.8000000000029,28090.74,28061.46,28046.82,False,False,False,True,False,,False,True,True,15.0,True,30.0,True,30.0,False,,False,48
development,BEAR,12-16,TIME_OTHER,2023-04-23 12:00:00+00:00,2023-04-23 16:00:00+00:00,2023-04-23 15:55:00+00:00,2023-04-23 16:00:00+00:00,TIME_BLOCK_END_OPEN,27760.0,27463.4,296.59999999999854,27478.230000000003,27448.57,27433.74,True,False,False,True,True,,True,False,True,0.0,True,0.0,True,5.0,False,,False,48
development,BEAR,04-08,BE,2023-04-24 04:00:00+00:00,2023-04-24 08:00:00+00:00,2023-04-24 07:30:00+00:00,2023-04-24 07:45:00+00:00,CEILING_STOP,28000.0,27410.0,590.0,27439.5,27380.5,27351.0,False,False,True,True,False,5.0,False,True,True,40.0,True,40.0,True,45.0,False,,False,48
development,BULL,20-00,TIME_OTHER,2023-04-30 20:00:00+00:00,2023-05-01 00:00:00+00:00,2023-04-30 20:20:00+00:00,2023-05-01 00:00:00+00:00,TIME_BLOCK_END_OPEN,29860.0,29200.0,660.0,29233.0,29167.0,29134.0,False,False,False,False,True,215.0,False,True,True,85.0,True,95.0,True,95.0,False,,False,48
development,BEAR,20-00,BE,2023-05-01 20:00:00+00:00,2023-05-02 00:00:00+00:00,2023-05-01 21:05:00+00:00,2023-05-01 21:20:00+00:00,CEILING_STOP,28402.3,27780.0,622.2999999999993,27811.115,27748.885,27717.77,True,False,True,True,True,5.0,True,False,True,0.0,False,,False,,False,,True,48
development,BEAR,12-16,BE,2023-05-03 12:00:00+00:00,2023-05-03 16:00:00+00:00,2023-05-03 12:20:00+00:00,2023-05-03 12:30:00+00:00,CEILING_STOP,28758.9,28515.0,243.90000000000143,28527.195,28502.805,28490.61,True,False,False,True,True,,True,False,True,0.0,True,0.0,True,0.0,False,,False,48
development,BEAR,16-20,BE,2023-05-07 16:00:00+00:00,2023-05-07 20:00:00+00:00,2023-05-07 19:20:00+00:00,2023-05-07 19:35:00+00:00,CEILING_OPEN_EXIT,29088.3,28825.0,263.2999999999993,28838.165,28811.835,28798.67,False,False,True,True,False,10.0,False,True,True,130.0,True,130.0,True,130.0,False,,False,48
development,BEAR,20-00,BE,2023-05-07 20:00:00+00:00,2023-05-08 00:00:00+00:00,2023-05-07 22:15:00+00:00,2023-05-07 22:45:00+00:00,CEILING_STOP,29019.9,28753.6,266.3000000000029,28766.915,28740.285,28726.97,False,False,False,False,True,20.0,False,True,True,15.0,True,15.0,True,15.0,False,,False,48
development,BEAR,08-12,TIME_OTHER,2023-05-08 08:00:00+00:00,2023-05-08 12:00:00+00:00,2023-05-08 09:20:00+00:00,2023-05-08 12:00:00+00:00,TIME_BLOCK_END_OPEN,28249.0,27800.0,449.0,27822.45,27777.55,27755.1,False,False,False,False,False,,False,True,True,55.0,True,55.0,True,55.0,False,,False,48
development,BULL,00-04,BE,2023-05-24 00:00:00+00:00,2023-05-24 04:00:00+00:00,2023-05-24 00:55:00+00:00,2023-05-24 01:10:00+00:00,CEILING_STOP,27244.0,27139.0,105.0,27144.25,27133.75,27128.5,False,False,True,True,True,5.0,False,True,True,45.0,True,45.0,True,45.0,False,,False,48
development,BEAR,00-04,BE,2023-05-25 00:00:00+00:00,2023-05-25 04:00:00+00:00,2023-05-25 00:55:00+00:00,2023-05-25 01:05:00+00:00,CEILING_OPEN_EXIT,26476.0,26228.2,247.79999999999927,26240.59,26215.81,26203.42,False,False,True,False,False,5.0,False,True,True,15.0,True,15.0,True,15.0,False,,False,48
development,BULL,00-04,BE,2023-06-23 00:00:00+00:00,2023-06-23 04:00:00+00:00,2023-06-23 02:15:00+00:00,2023-06-23 02:30:00+00:00,CEILING_STOP,30260.0,29858.4,401.59999999999854,29878.480000000003,29838.32,29818.24,False,False,True,True,True,5.0,False,False,False,,False,,False,,False,,True,48
development,BULL,12-16,BE,2023-06-25 12:00:00+00:00,2023-06-25 16:00:00+00:00,2023-06-25 13:40:00+00:00,2023-06-25 14:55:00+00:00,CEILING_OPEN_EXIT,30754.2,30565.2,189.0,30574.65,30555.75,30546.3,False,False,False,False,False,70.0,False,True,True,5.0,True,5.0,True,5.0,False,,False,48
development,BULL,16-20,TIME_OTHER,2023-06-28 16:00:00+00:00,2023-06-28 20:00:00+00:00,2023-06-28 19:50:00+00:00,2023-06-28 20:00:00+00:00,TIME_BLOCK_END_OPEN,30485.0,29992.5,492.5,30017.125,29967.875,29943.25,False,False,False,True,False,,False,True,True,15.0,True,15.0,True,15.0,False,,False,48
development,BULL,12-16,BE,2023-07-03 12:00:00+00:00,2023-07-03 16:00:00+00:00,2023-07-03 12:25:00+00:00,2023-07-03 12:35:00+00:00,CEILING_OPEN_EXIT,30693.7,30577.5,116.20000000000071,30583.31,30571.69,30565.88,False,False,True,False,False,5.0,False,False,False,,False,,False,,True,120.0,False,48
development,BULL,00-04,TIME_OTHER,2023-07-12 00:00:00+00:00,2023-07-12 04:00:00+00:00,2023-07-12 01:40:00+00:00,2023-07-12 04:00:00+00:00,TIME_BLOCK_END_OPEN,30640.0,30492.8,147.20000000000073,30500.16,30485.44,30478.08,False,False,False,False,False,,False,False,False,,False,,False,,True,110.0,False,48
development,BEAR,04-08,BE,2023-07-18 04:00:00+00:00,2023-07-18 08:00:00+00:00,2023-07-18 04:30:00+00:00,2023-07-18 05:35:00+00:00,CEILING_STOP,30227.5,30061.3,166.20000000000073,30069.61,30052.99,30044.68,True,False,False,False,True,55.0,True,False,True,0.0,True,0.0,True,0.0,False,,False,48
