partition,regime,clock_block,leak_type,obs_start,obs_end,fill_ts,exit_ts,exit_reason,H,L,R4,F05,T5,T10,REBREAK_AT_EXIT,T5_AT_EXIT,FAST_L_TOUCH_10M,NO_F25_CLOSE_BEFORE_EXIT,LAST_CLOSE_LE_F05,first_l_touch_min,carried_rebreak_at_exit,fresh_rebreak_after_exit,rebreak_available,rebreak_available_min,future_t5,future_t5_min,future_t10,future_t10_min,future_high_break,future_high_break_min,no_resolution_4h,breath_rows
development,BEAR,00-04,TIME_OTHER,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,2022-01-03 04:00:00+00:00,TIME_BLOCK_END_OPEN,47469.46,46815.75,653.7099999999991,46848.4355,46783.0645,46750.379,True,False,False,True,True,,True,False,True,0.0,True,0.0,True,0.0,False,,False,48
development,BEAR,12-16,BE,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,2022-01-18 14:50:00+00:00,CEILING_OPEN_EXIT,42040.0,41379.39,660.6100000000006,41412.4205,41346.3595,41313.329,False,False,True,False,False,5.0,False,True,True,5.0,True,5.0,True,5.0,False,,False,48
development,BEAR,20-00,BE,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,2022-01-21 20:35:00+00:00,CEILING_STOP,39045.0,37805.0,1240.0,37867.0,37743.0,37681.0,True,False,True,True,True,5.0,True,False,True,0.0,True,55.0,True,55.0,False,,False,48
development,BULL,08-12,TIME_OTHER,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,2022-01-29 09:25:00+00:00,2022-01-29 12:00:00+00:00,TIME_BLOCK_END_OPEN,37939.0,37575.06,363.9400000000023,37593.257,37556.863,37538.666,False,False,False,False,False,,False,False,False,,False,,False,,True,95.0,False,48
development,BULL,16-20,BE,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 17:40:00+00:00,2022-02-08 17:50:00+00:00,CEILING_OPEN_EXIT,43978.64,42822.0,1156.6399999999994,42879.832,42764.168,42706.336,False,False,True,True,False,5.0,False,True,True,100.0,True,100.0,True,100.0,False,,False,48
development,BEAR,20-00,TIME_OTHER,2022-02-11 20:00:00+00:00,2022-02-12 00:00:00+00:00,2022-02-11 23:15:00+00:00,2022-02-12 00:00:00+00:00,TIME_BLOCK_END_OPEN,43746.52,42046.11,1700.4099999999962,42131.1305,41961.0895,41876.069,False,False,False,True,False,,False,False,False,,False,,False,,False,,True,48
development,BEAR,16-20,BE,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 17:20:00+00:00,2022-02-13 17:40:00+00:00,CEILING_OPEN_EXIT,42755.97,42158.01,597.9599999999991,42187.908,42128.112,42098.214,False,False,False,True,False,15.0,False,True,True,60.0,True,60.0,True,60.0,False,,False,48
development,BULL,00-04,TIME_OTHER,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,2022-02-16 02:40:00+00:00,2022-02-16 04:00:00+00:00,TIME_BLOCK_END_OPEN,44777.0,43939.2,837.8000000000029,43981.09,43897.31,43855.42,False,False,False,True,True,,False,True,True,10.0,True,15.0,True,15.0,False,,False,48
development,BULL,16-20,TIME_OTHER,2022-03-01 16:00:00+00:00,2022-03-01 20:00:00+00:00,2022-03-01 17:10:00+00:00,2022-03-01 20:00:00+00:00,TIME_BLOCK_END_OPEN,44935.0,43324.8,1610.199999999997,43405.310000000005,43244.29,43163.780000000006,False,False,False,False,False,,False,False,False,,False,,False,,False,,True,48
development,BULL,00-04,BE,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:15:00+00:00,2022-03-03 02:40:00+00:00,CEILING_STOP,44345.0,43661.8,683.1999999999971,43695.96000000001,43627.64,43593.48,True,False,False,True,True,15.0,True,False,True,0.0,True,55.0,True,55.0,False,,False,48
development,BULL,16-20,BE,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,2022-03-16 16:35:00+00:00,2022-03-16 16:45:00+00:00,CEILING_OPEN_EXIT,41188.0,40232.3,955.6999999999972,40280.08500000001,40184.515,40136.73,False,False,True,True,False,5.0,False,True,True,20.0,True,20.0,True,20.0,False,,False,48
development,BEAR,12-16,BE,2022-03-21 12:00:00+00:00,2022-03-21 16:00:00+00:00,2022-03-21 12:55:00+00:00,2022-03-21 14:10:00+00:00,CEILING_STOP,41481.1,41055.8,425.2999999999956,41077.065,41034.535,41013.27,False,False,False,False,True,65.0,False,True,True,5.0,True,5.0,True,5.0,False,,False,48
