tf,week,week_start,candidates,winning_windows,long_winning_windows,short_winning_windows,both_direction_winning_windows,has_any_win,first_win_entry_ts
H1,2020-W02,2020-01-06 00:00:00+00:00,167,145,84,61,0,1,2020-01-06 01:00:00+00:00
H1,2020-W03,2020-01-13 00:00:00+00:00,167,165,118,47,0,1,2020-01-13 01:00:00+00:00
H1,2020-W04,2020-01-20 00:00:00+00:00,167,161,61,100,0,1,2020-01-20 01:00:00+00:00
H1,2020-W05,2020-01-27 00:00:00+00:00,167,157,68,89,0,1,2020-01-27 01:00:00+00:00
H1,2020-W06,2020-02-03 00:00:00+00:00,167,153,89,64,0,1,2020-02-03 01:00:00+00:00
H1,2020-W07,2020-02-10 00:00:00+00:00,167,166,87,79,0,1,2020-02-10 01:00:00+00:00
H1,2020-W08,2020-02-17 00:00:00+00:00,167,150,87,63,0,1,2020-02-17 01:00:00+00:00
H1,2020-W09,2020-02-24 00:00:00+00:00,167,156,52,104,0,1,2020-02-24 01:00:00+00:00
H1,2020-W10,2020-03-02 00:00:00+00:00,167,165,85,80,0,1,2020-03-02 01:00:00+00:00
H1,2020-W11,2020-03-09 00:00:00+00:00,167,133,56,77,0,1,2020-03-09 01:00:00+00:00
H1,2020-W12,2020-03-16 00:00:00+00:00,167,140,77,63,0,1,2020-03-16 01:00:00+00:00
H1,2020-W13,2020-03-23 00:00:00+00:00,167,158,70,88,0,1,2020-03-23 01:00:00+00:00
H1,2020-W14,2020-03-30 00:00:00+00:00,167,148,86,62,0,1,2020-03-30 01:00:00+00:00
H1,2020-W15,2020-04-06 00:00:00+00:00,167,163,65,98,0,1,2020-04-06 01:00:00+00:00
H1,2020-W16,2020-04-13 00:00:00+00:00,167,162,86,76,0,1,2020-04-13 01:00:00+00:00
H1,2020-W17,2020-04-20 00:00:00+00:00,167,162,102,60,0,1,2020-04-20 01:00:00+00:00
H1,2020-W18,2020-04-27 00:00:00+00:00,167,162,111,51,0,1,2020-04-27 01:00:00+00:00
H1,2020-W19,2020-05-04 00:00:00+00:00,167,166,94,72,0,1,2020-05-04 01:00:00+00:00
H1,2020-W20,2020-05-11 00:00:00+00:00,167,161,85,76,0,1,2020-05-11 01:00:00+00:00
H1,2020-W21,2020-05-18 00:00:00+00:00,167,161,70,91,0,1,2020-05-18 01:00:00+00:00
H1,2020-W22,2020-05-25 00:00:00+00:00,167,166,80,86,0,1,2020-05-25 01:00:00+00:00
H1,2020-W23,2020-06-01 00:00:00+00:00,167,161,62,99,0,1,2020-06-01 01:00:00+00:00
H1,2020-W24,2020-06-08 00:00:00+00:00,167,153,69,84,0,1,2020-06-08 01:00:00+00:00
H1,2020-W25,2020-06-15 00:00:00+00:00,167,139,49,90,0,1,2020-06-15 01:00:00+00:00
H1,2020-W26,2020-06-22 00:00:00+00:00,167,158,55,103,0,1,2020-06-22 01:00:00+00:00
H1,2020-W27,2020-06-29 00:00:00+00:00,167,165,88,77,0,1,2020-06-29 01:00:00+00:00
H1,2020-W28,2020-07-06 00:00:00+00:00,167,165,104,61,0,1,2020-07-06 01:00:00+00:00
H1,2020-W29,2020-07-13 00:00:00+00:00,167,123,46,77,0,1,2020-07-13 01:00:00+00:00
H1,2020-W30,2020-07-20 00:00:00+00:00,167,159,135,24,0,1,2020-07-20 01:00:00+00:00
H1,2020-W31,2020-07-27 00:00:00+00:00,167,157,84,73,0,1,2020-07-27 01:00:00+00:00
H1,2020-W32,2020-08-03 00:00:00+00:00,167,160,76,84,0,1,2020-08-03 01:00:00+00:00
H1,2020-W33,2020-08-10 00:00:00+00:00,167,153,61,92,0,1,2020-08-10 01:00:00+00:00
H1,2020-W34,2020-08-17 00:00:00+00:00,167,151,60,91,0,1,2020-08-17 01:00:00+00:00
H1,2020-W35,2020-08-24 00:00:00+00:00,167,155,94,61,0,1,2020-08-24 01:00:00+00:00
H1,2020-W36,2020-08-31 00:00:00+00:00,167,164,50,114,0,1,2020-08-31 01:00:00+00:00
H1,2020-W37,2020-09-07 00:00:00+00:00,167,154,95,59,0,1,2020-09-07 01:00:00+00:00
H1,2020-W38,2020-09-14 00:00:00+00:00,167,158,83,75,0,1,2020-09-14 01:00:00+00:00
H1,2020-W39,2020-09-21 00:00:00+00:00,167,157,77,80,0,1,2020-09-21 01:00:00+00:00
H1,2020-W40,2020-09-28 00:00:00+00:00,167,152,98,54,0,1,2020-09-28 01:00:00+00:00
H1,2020-W41,2020-10-05 00:00:00+00:00,167,142,87,55,0,1,2020-10-05 01:00:00+00:00
H1,2020-W42,2020-10-12 00:00:00+00:00,167,151,97,54,0,1,2020-10-12 01:00:00+00:00
H1,2020-W43,2020-10-19 00:00:00+00:00,167,150,120,30,0,1,2020-10-19 01:00:00+00:00
H1,2020-W44,2020-10-26 00:00:00+00:00,167,163,82,81,0,1,2020-10-26 01:00:00+00:00
H1,2020-W45,2020-11-02 00:00:00+00:00,167,164,94,70,0,1,2020-11-02 01:00:00+00:00
H1,2020-W46,2020-11-09 00:00:00+00:00,167,163,73,90,0,1,2020-11-09 01:00:00+00:00
H1,2020-W47,2020-11-16 00:00:00+00:00,167,162,87,75,0,1,2020-11-16 01:00:00+00:00
H1,2020-W48,2020-11-23 00:00:00+00:00,167,160,76,84,0,1,2020-11-23 01:00:00+00:00
H1,2020-W49,2020-11-30 00:00:00+00:00,167,165,96,69,0,1,2020-11-30 01:00:00+00:00
H1,2020-W50,2020-12-07 00:00:00+00:00,167,166,66,100,0,1,2020-12-07 01:00:00+00:00
H1,2020-W51,2020-12-14 00:00:00+00:00,167,162,113,49,0,1,2020-12-14 01:00:00+00:00
H1,2020-W52,2020-12-21 00:00:00+00:00,167,160,91,69,0,1,2020-12-21 01:00:00+00:00
H1,2020-W53,2020-12-28 00:00:00+00:00,167,163,88,75,0,1,2020-12-28 01:00:00+00:00
H1,2021-W01,2021-01-04 00:00:00+00:00,167,143,67,76,0,1,2021-01-04 01:00:00+00:00
H1,2021-W02,2021-01-11 00:00:00+00:00,167,136,73,63,0,1,2021-01-11 02:00:00+00:00
H1,2021-W03,2021-01-18 00:00:00+00:00,167,154,68,86,0,1,2021-01-18 01:00:00+00:00
H1,2021-W04,2021-01-25 00:00:00+00:00,167,147,60,87,0,1,2021-01-25 01:00:00+00:00
H1,2021-W05,2021-02-01 00:00:00+00:00,167,157,92,65,0,1,2021-02-01 01:00:00+00:00
