partition,period,bucket,recovery_n,baseline_raw,recovery_raw,overlay_raw,flip_raw,baseline_stress,recovery_stress,overlay_stress,flip_stress
development,DAY,2022-01-01 00:00:00+00:00,1,3.764383590245223,1.6384960331148335,5.4028796233600564,POS_STAYS_POS,3.264383590245223,1.3884960331148335,4.6528796233600564,POS_STAYS_POS
development,DAY,2022-01-06 00:00:00+00:00,1,-3.875299434023261,3.202598905723941,-0.6727005282993201,NONPOS_STAYS_NONPOS,-4.375299434023261,2.952598905723941,-1.4227005282993201,NONPOS_STAYS_NONPOS
development,DAY,2022-02-20 00:00:00+00:00,1,8.862451004063798,3.936664412989898,12.799115417053697,POS_STAYS_POS,8.362451004063798,3.686664412989898,12.049115417053697,POS_STAYS_POS
development,DAY,2022-10-18 00:00:00+00:00,1,3.271327774214239,-2.006625047776822,1.2647027264374167,POS_STAYS_POS,3.021327774214239,-2.256625047776822,0.7647027264374167,POS_STAYS_POS
development,DAY,2024-02-06 00:00:00+00:00,1,3.218885152634854,3.274703687807468,6.493588840442322,POS_STAYS_POS,2.468885152634854,3.024703687807468,5.493588840442322,POS_STAYS_POS
development,DAY,2024-03-14 00:00:00+00:00,1,6.618127942266683,5.689976943391351,12.308104885658034,POS_STAYS_POS,5.868127942266683,5.439976943391351,11.308104885658034,POS_STAYS_POS
development,DAY,2024-05-30 00:00:00+00:00,1,-0.4770570878315228,2.975862900713944,2.4988058128824213,NONPOS_TO_POS,-0.7270570878315228,2.725862900713944,1.9988058128824213,NONPOS_TO_POS
development,DAY,2024-09-19 00:00:00+00:00,1,12.53445575160783,2.6040023832053505,15.138458134813181,POS_STAYS_POS,12.03445575160783,2.3540023832053505,14.388458134813181,POS_STAYS_POS
development,DAY,2024-10-04 00:00:00+00:00,1,-1.7073306381097386,3.1747093566126816,1.467378718502943,NONPOS_TO_POS,-2.707330638109738,2.9247093566126816,0.21737871850294344,NONPOS_TO_POS
development,DAY,2024-10-23 00:00:00+00:00,1,-17.256793255071567,3.1656700668307725,-14.091123188240795,NONPOS_STAYS_NONPOS,-18.256793255071567,2.9156700668307725,-15.341123188240795,NONPOS_STAYS_NONPOS
development,DAY,2024-11-29 00:00:00+00:00,1,-1.0418021905282404,2.0302325387495657,0.9884303482213253,NONPOS_TO_POS,-1.5418021905282404,1.7802325387495657,0.23843034822132525,NONPOS_TO_POS
development,DAY,2024-12-30 00:00:00+00:00,1,-8.748791857197569,-2.129437176508986,-10.878229033706555,NONPOS_STAYS_NONPOS,-9.498791857197569,-2.3794371765089863,-11.878229033706555,NONPOS_STAYS_NONPOS
development,WEEK,2021-12-28 00:00:00+00:00,1,3.142035641164608,1.6384960331148335,4.780531674279441,POS_STAYS_POS,2.392035641164608,1.3884960331148335,3.7805316742794415,POS_STAYS_POS
