window_status,count
H2_ARRIVAL,181
NO_WINDOW_HIGH_BREAK_DURING_K1,112
OPPOSITE_BREAK_BEFORE_H2,38
NO_H2_BY_SESSION_END,19
NO_CAUSAL_LEAVE_BY_SESSION_END,1
