role,partition,execution_start,entry_ts,snapshot_min,outcome,loss_class,pnl,close_R,running_mfe_R,running_mae_R,break_confirmed_by_snapshot,closes_above_H
CENTRAL,development,2022-01-01 18:00:00+00:00,2022-01-01 18:55:00+00:00,5,WIN,WIN,3.9662639617050734,-0.008620689655172766,0.031609195402302864,0.09770114942528862,False,0
CENTRAL,development,2022-01-01 18:00:00+00:00,2022-01-01 18:55:00+00:00,10,WIN,WIN,3.9662639617050734,0.1724137931034553,0.261494252873563,0.09770114942528862,True,1
CENTRAL,development,2022-01-01 18:00:00+00:00,2022-01-01 18:55:00+00:00,15,WIN,WIN,3.9662639617050734,0.13793103448276425,0.261494252873563,0.09770114942528862,True,2
CENTRAL,development,2022-01-01 18:00:00+00:00,2022-01-01 18:55:00+00:00,30,WIN,WIN,3.9662639617050734,0.09195402298851223,0.261494252873563,0.09770114942528862,True,5
CENTRAL,development,2022-01-06 18:00:00+00:00,2022-01-06 18:05:00+00:00,5,LOSS,L5_BREAK_FAIL_LATE,-2.783235101506188,0.03302752293578114,0.049541284403671705,0.06972477064220114,True,1
CENTRAL,development,2022-01-06 18:00:00+00:00,2022-01-06 18:05:00+00:00,10,LOSS,L5_BREAK_FAIL_LATE,-2.783235101506188,0.1119266055045899,0.15412844036697343,0.06972477064220114,True,2
CENTRAL,development,2022-01-06 18:00:00+00:00,2022-01-06 18:05:00+00:00,15,LOSS,L5_BREAK_FAIL_LATE,-2.783235101506188,0.1394495412844075,0.15412844036697343,0.06972477064220114,True,3
CENTRAL,development,2022-01-06 18:00:00+00:00,2022-01-06 18:05:00+00:00,30,LOSS,L5_BREAK_FAIL_LATE,-2.783235101506188,0.0055045871559635225,0.16513761467890048,0.06972477064220114,True,6
CENTRAL,development,2022-01-07 18:00:00+00:00,2022-01-07 20:00:00+00:00,5,LOSS,L2_BREAK_FAST_FAIL_5M,-0.8531816565944261,0.024771838331160017,0.041720990873532274,0.05345501955671392,True,1
CENTRAL,development,2022-01-07 18:00:00+00:00,2022-01-07 20:00:00+00:00,10,LOSS,L2_BREAK_FAST_FAIL_5M,-0.8531816565944261,-0.03520208604954494,0.041720990873532274,0.05345501955671392,True,1
CENTRAL,development,2022-01-07 18:00:00+00:00,2022-01-07 20:00:00+00:00,15,LOSS,L2_BREAK_FAST_FAIL_5M,-0.8531816565944261,-0.16036505867014544,0.041720990873532274,0.17340286831812382,True,1
CENTRAL,development,2022-01-08 18:00:00+00:00,2022-01-08 22:00:00+00:00,5,LOSS,L4_BREAK_FAIL_30M,-3.284296955183064,-0.012556053811660512,0.039461883408071524,0.1721973094170417,False,0
CENTRAL,development,2022-01-08 18:00:00+00:00,2022-01-08 22:00:00+00:00,10,LOSS,L4_BREAK_FAIL_30M,-3.284296955183064,-0.032286995515696276,0.039461883408071524,0.1721973094170417,False,0
CENTRAL,development,2022-01-08 18:00:00+00:00,2022-01-08 22:00:00+00:00,15,LOSS,L4_BREAK_FAIL_30M,-3.284296955183064,-0.009865470852019156,0.05112107623318322,0.1721973094170417,False,0
CENTRAL,development,2022-01-08 18:00:00+00:00,2022-01-08 22:00:00+00:00,30,LOSS,L4_BREAK_FAIL_30M,-3.284296955183064,0.0286995515695061,0.06547085201793627,0.1721973094170417,True,3
CENTRAL,development,2022-01-09 18:00:00+00:00,2022-01-09 18:00:00+00:00,5,LOSS,L2_BREAK_FAST_FAIL_5M,-0.0691037246908221,-0.03197674418604636,0.020348837209300353,0.05377906976744255,False,0
CENTRAL,development,2022-01-09 18:00:00+00:00,2022-01-09 18:00:00+00:00,10,LOSS,L2_BREAK_FAST_FAIL_5M,-0.0691037246908221,-0.008720930232558474,0.020348837209300353,0.05377906976744255,False,0
CENTRAL,development,2022-01-09 18:00:00+00:00,2022-01-09 18:00:00+00:00,15,LOSS,L2_BREAK_FAST_FAIL_5M,-0.0691037246908221,-0.001453488372095833,0.037790697674417305,0.05377906976744255,False,0
CENTRAL,development,2022-01-09 18:00:00+00:00,2022-01-09 18:00:00+00:00,30,LOSS,L2_BREAK_FAST_FAIL_5M,-0.0691037246908221,0.0,0.037790697674417305,0.0843023255813972,True,1
CENTRAL,development,2022-01-10 18:00:00+00:00,2022-01-11 04:00:00+00:00,5,LOSS,L2_BREAK_FAST_FAIL_5M,-1.5999999999999903,0.039751552795030155,0.04596273291925516,0.03602484472049586,True,1
CENTRAL,development,2022-01-10 18:00:00+00:00,2022-01-11 04:00:00+00:00,10,LOSS,L2_BREAK_FAST_FAIL_5M,-1.5999999999999903,-0.05590062111801093,0.04596273291925516,0.06956521739130453,True,1
CENTRAL,development,2022-01-10 18:00:00+00:00,2022-01-11 04:00:00+00:00,15,LOSS,L2_BREAK_FAST_FAIL_5M,-1.5999999999999903,-0.1018633540372661,0.04596273291925516,0.11180124223602539,True,1
CENTRAL,development,2022-01-11 18:00:00+00:00,2022-01-11 18:35:00+00:00,5,LOSS,L1_NEVER_BREAK_TIME,-9.683960285274797,-0.012484394506869225,0.04119850187265709,0.03745318352060058,False,0
CENTRAL,development,2022-01-11 18:00:00+00:00,2022-01-11 18:35:00+00:00,10,LOSS,L1_NEVER_BREAK_TIME,-9.683960285274797,-0.0024968789013745545,0.04119850187265709,0.04119850187266064,False,0
CENTRAL,development,2022-01-11 18:00:00+00:00,2022-01-11 18:35:00+00:00,15,LOSS,L1_NEVER_BREAK_TIME,-9.683960285274797,-0.019975031210985792,0.0474406991260917,0.04119850187266064,False,0
