partition,regime,intervals,occupancy,episodes,episode_median_intervals,episode_p75_intervals,episode_p90_intervals,episode_max_intervals,episode_median_hours,persistence,flip_back_n,flip_back_den,flip_back_rate,state_changes,changes_per_week,direct_bull_bear_changes,to_sideways_from_directional_changes
external,BULL,2264,0.5163055872291904,168,7.0,16.5,38.0,75,28.0,0.9257950530035336,100,558,0.17921146953405018,559,5.352941176470588,16,271
external,BEAR,1007,0.22964652223489168,120,6.0,11.25,19.0,72,24.0,0.8817097415506958,100,558,0.17921146953405018,559,5.352941176470588,16,271
external,SIDEWAYS,1114,0.2540478905359179,272,2.0,4.0,9.900000000000006,42,8.0,0.755834829443447,100,558,0.17921146953405018,559,5.352941176470588,16,271
development,BULL,2943,0.44753649635036497,268,6.0,15.0,29.0,73,24.0,0.908936459395175,225,1033,0.21781219748305905,1033,6.597627737226277,98,468
development,BEAR,2857,0.43445863746958635,297,5.0,13.0,24.400000000000034,62,20.0,0.8956947847392369,225,1033,0.21781219748305905,1033,6.597627737226277,98,468
development,SIDEWAYS,776,0.11800486618004866,468,1.0,2.0,3.0,5,4.0,0.39741935483870966,225,1033,0.21781219748305905,1033,6.597627737226277,98,468
reference_validation,BULL,1483,0.42985507246376814,171,4.0,10.0,26.0,52,16.0,0.8846931894807822,134,609,0.2200328407224959,609,7.413913043478261,41,284
reference_validation,BEAR,1450,0.42028985507246375,155,5.0,13.0,22.0,61,20.0,0.893719806763285,134,609,0.2200328407224959,609,7.413913043478261,41,284
reference_validation,SIDEWAYS,517,0.1498550724637681,284,1.0,2.0,3.0,19,4.0,0.4506769825918762,134,609,0.2200328407224959,609,7.413913043478261,41,284
POOLED_MAJOR,BULL,6690,0.4642287141766706,607,6.0,13.5,30.0,75,24.0,0.9092675635276533,459,2202,0.20844686648501362,2202,6.417152373022481,155,1023
POOLED_MAJOR,BEAR,5314,0.3687460967316633,572,5.0,12.0,22.0,72,20.0,0.8925277620929795,459,2202,0.20844686648501362,2202,6.417152373022481,155,1023
POOLED_MAJOR,SIDEWAYS,2407,0.16702518909166608,1024,2.0,2.0,4.0,42,8.0,0.5745741587037806,459,2202,0.20844686648501362,2202,6.417152373022481,155,1023
