rule,source_tf,family,side_type,mode,signal_i,signal_ts,side,level,instance,week,entry_ts,exit_ts,entry,tp,sl,reason,net_ret,hours,route,selector,partition,router_rank
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,17603,2022-01-03 11:00:00+00:00,LONG,47217.37,H1|SWING2_HIGH|2022-01-03T05:00:00+00:00,2022-W01,2022-01-03 12:00:00+00:00,2022-01-03 14:00:00+00:00,47364.11,47908.797265,46961.515065,SL,-0.010000000000000063,3,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,17786,2022-01-11 02:00:00+00:00,LONG,41990.0,H1|SWING2_HIGH|2022-01-10T21:00:00+00:00,2022-W02,2022-01-11 03:00:00+00:00,2022-01-11 08:00:00+00:00,42146.26,42630.94199000001,41788.01679,TP,0.010000000000000066,6,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,17952,2022-01-18 00:00:00+00:00,LONG,42298.02,H1|SWING2_HIGH|2022-01-17T19:00:00+00:00,2022-W03,2022-01-18 01:00:00+00:00,2022-01-18 03:00:00+00:00,42337.99,42824.876885,41978.117085,SL,-0.009999999999999952,3,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,18114,2022-01-24 18:00:00+00:00,LONG,35580.0,H1|SWING2_HIGH|2022-01-24T08:00:00+00:00,2022-W04,2022-01-24 19:00:00+00:00,2022-01-24 19:00:00+00:00,36154.51,36570.286865,35847.196665,SL,-0.009999999999999952,1,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,18271,2022-01-31 07:00:00+00:00,LONG,37030.0,H1|SWING2_HIGH|2022-01-31T03:00:00+00:00,2022-W05,2022-01-31 08:00:00+00:00,2022-01-31 15:00:00+00:00,37098.68,37525.31482,36783.34122,TP,0.010000000000000066,8,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,18435,2022-02-07 03:00:00+00:00,LONG,42656.8,H1|SWING2_HIGH|2022-02-06T23:00:00+00:00,2022-W06,2022-02-07 04:00:00+00:00,2022-02-07 09:00:00+00:00,42784.68,43276.70382,42421.010220000004,SL,-0.009999999999999952,6,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,18612,2022-02-14 12:00:00+00:00,LONG,42400.0,H1|SWING2_HIGH|2022-02-14T08:00:00+00:00,2022-W07,2022-02-14 13:00:00+00:00,2022-02-14 19:00:00+00:00,42500.07,42988.820805,42138.819405,SL,-0.009999999999999952,7,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,18802,2022-02-22 10:00:00+00:00,LONG,37250.0,H1|SWING2_HIGH|2022-02-22T05:00:00+00:00,2022-W08,2022-02-22 11:00:00+00:00,2022-02-22 12:00:00+00:00,37682.5,38115.848750000005,37362.19875,SL,-0.009999999999999952,2,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,18956,2022-02-28 20:00:00+00:00,LONG,41489.0,H1|SWING2_HIGH|2022-02-28T17:00:00+00:00,2022-W09,2022-02-28 21:00:00+00:00,2022-02-28 21:00:00+00:00,41882.0,42363.643000000004,41526.003000000004,SL,-0.009999999999999952,1,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,19115,2022-03-07 11:00:00+00:00,LONG,38222.2,H1|SWING2_HIGH|2022-03-07T05:00:00+00:00,2022-W10,2022-03-07 12:00:00+00:00,2022-03-07 13:00:00+00:00,38314.3,38754.914450000004,37988.628450000004,TP,0.010000000000000066,2,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,19276,2022-03-14 04:00:00+00:00,LONG,38338.0,H1|SWING2_HIGH|2022-03-14T01:00:00+00:00,2022-W11,2022-03-14 05:00:00+00:00,2022-03-14 07:00:00+00:00,38500.3,38943.05345000001,38173.047450000005,TP,0.010000000000000066,3,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,19502,2022-03-23 14:00:00+00:00,LONG,42341.2,H1|SWING2_HIGH|2022-03-23T08:00:00+00:00,2022-W12,2022-03-23 15:00:00+00:00,2022-03-23 23:00:00+00:00,42364.0,42851.186,42003.906,TP,0.010000000000000066,9,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,19624,2022-03-28 16:00:00+00:00,LONG,47400.0,H1|SWING2_HIGH|2022-03-28T05:00:00+00:00,2022-W13,2022-03-28 17:00:00+00:00,2022-03-28 18:00:00+00:00,47449.7,47995.37155,47046.37755,TP,0.010000000000000066,2,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,19797,2022-04-04 21:00:00+00:00,LONG,46350.0,H1|SWING2_HIGH|2022-04-04T14:00:00+00:00,2022-W14,2022-04-04 22:00:00+00:00,2022-04-05 12:00:00+00:00,46442.6,46976.689900000005,46047.8379,TP,0.010000000000000066,15,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,19979,2022-04-12 11:00:00+00:00,LONG,40339.0,H1|SWING2_HIGH|2022-04-12T08:00:00+00:00,2022-W15,2022-04-12 12:00:00+00:00,2022-04-12 14:00:00+00:00,40356.0,40820.094000000005,40012.974,SL,-0.009999999999999952,3,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,20148,2022-04-19 12:00:00+00:00,LONG,40845.8,H1|SWING2_HIGH|2022-04-19T08:00:00+00:00,2022-W16,2022-04-19 13:00:00+00:00,2022-04-19 13:00:00+00:00,40951.9,41422.84685,40603.80885,TP,0.010000000000000066,1,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,20296,2022-04-25 16:00:00+00:00,LONG,39278.7,H1|SWING2_HIGH|2022-04-25T03:00:00+00:00,2022-W17,2022-04-25 17:00:00+00:00,2022-04-25 18:00:00+00:00,39452.5,39906.20375,39117.153750000005,TP,0.010000000000000066,2,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,20452,2022-05-02 04:00:00+00:00,LONG,38809.0,H1|SWING2_HIGH|2022-05-02T00:00:00+00:00,2022-W18,2022-05-02 05:00:00+00:00,2022-05-02 11:00:00+00:00,38951.7,39399.64455,38620.61055,SL,-0.009999999999999952,7,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,20645,2022-05-10 05:00:00+00:00,LONG,31488.0,H1|SWING2_HIGH|2022-05-10T01:00:00+00:00,2022-W19,2022-05-10 06:00:00+00:00,2022-05-10 06:00:00+00:00,31812.1,32177.939150000002,31541.69715,TP,0.010000000000000066,1,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,20805,2022-05-16 21:00:00+00:00,LONG,29980.3,H1|SWING2_HIGH|2022-05-16T18:00:00+00:00,2022-W20,2022-05-16 22:00:00+00:00,2022-05-16 23:00:00+00:00,30162.5,30509.36875,29906.11875,SL,-0.009999999999999952,2,PRIMARY_RULE,PRIMARY_RULE,development,
H1|SWING2_HIGH|SUPPORT|BODY,H1,SWING2_HIGH,SUPPORT,BODY,21001,2022-05-25 01:00:00+00:00,LONG,29672.0,H1|SWING2_HIGH|2022-05-24T15:00:00+00:00,2022-W21,2022-05-25 02:00:00+00:00,2022-05-25 02:00:00+00:00,29772.7,30115.08605,29519.632050000004,TP,0.010000000000000066,1,PRIMARY_RULE,PRIMARY_RULE,development,
