partition,date_utc,signal_ts,signal_bar_start,session_end,H,L,range,F15,status,k1_episode_bars,h2_bar_start,h2_episode_bars,leave2_bar_start,eligible_start,filled,fill_bar_start,h3_bar_start,h3_after_fill,terminal
august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:00:00+00:00,2026-08-14 20:00:00+00:00,62974.4,62555.5,418.90000000000146,62618.335,FILLED,1,2026-08-14 14:15:00+00:00,2,2026-08-14 14:25:00+00:00,2026-08-14 14:30:00+00:00,True,2026-08-14 14:50:00+00:00,2026-08-14 14:55:00+00:00,True,H3_ARRIVAL
august,2026-08-18,2026-08-18 13:35:00+00:00,2026-08-18 13:30:00+00:00,2026-08-18 20:00:00+00:00,64380.0,64025.5,354.5,64078.675,OPPOSITE_BREAK_BEFORE_H2,2,,0,,,False,,,False,OPPOSITE_BREAK_BEFORE_H2
development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:05:00+00:00,2022-01-03 20:00:00+00:00,47575.22,46777.0,798.2200000000012,46896.733,BREAKDOWN_BEFORE_H2,1,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-01-07,2022-01-07 13:40:00+00:00,2022-01-07 13:35:00+00:00,2022-01-07 20:00:00+00:00,42960.0,41601.96,1358.0400000000009,41805.666,BREAKDOWN_BEFORE_H2,1,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-01-10,2022-01-10 13:55:00+00:00,2022-01-10 13:50:00+00:00,2022-01-10 20:00:00+00:00,42098.52,40726.16,1372.3599999999933,40932.014,BREAKDOWN_BEFORE_H2,2,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:10:00+00:00,2022-01-17 20:00:00+00:00,42887.63,42420.0,467.6299999999974,42490.1445,CLEAN_NO_FILL,1,2022-01-17 15:55:00+00:00,1,2022-01-17 16:00:00+00:00,2022-01-17 16:05:00+00:00,False,,,False,BREAKDOWN_BEFORE_H3
development,2022-01-18,2022-01-18 14:30:00+00:00,2022-01-18 14:25:00+00:00,2022-01-18 20:00:00+00:00,42040.0,41379.39,660.6100000000006,41478.4815,BREAKDOWN_BEFORE_H2,1,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-02-08,2022-02-08 15:10:00+00:00,2022-02-08 15:05:00+00:00,2022-02-08 20:00:00+00:00,44910.0,43123.38,1786.6200000000026,43391.373,BREAKDOWN_BEFORE_H2,1,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-02-23,2022-02-23 17:55:00+00:00,2022-02-23 17:50:00+00:00,2022-02-23 20:00:00+00:00,39250.0,38052.8,1197.199999999997,38232.380000000005,BREAKDOWN_BEFORE_H2,2,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-03-02,2022-03-02 13:35:00+00:00,2022-03-02 13:30:00+00:00,2022-03-02 20:00:00+00:00,44344.5,43500.0,844.5,43626.675,BREAKDOWN_BEFORE_H2,1,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 13:30:00+00:00,2022-03-14 20:00:00+00:00,39287.4,38630.0,657.4000000000015,38728.61,FILLED,2,2022-03-14 17:30:00+00:00,2,2022-03-14 17:40:00+00:00,2022-03-14 17:45:00+00:00,True,2022-03-14 17:45:00+00:00,,False,BREAKDOWN_BEFORE_H3
development,2022-03-24,2022-03-24 13:35:00+00:00,2022-03-24 13:30:00+00:00,2022-03-24 20:00:00+00:00,43206.7,42721.0,485.6999999999971,42793.854999999996,OPPOSITE_BREAK_BEFORE_H2,1,,0,,,False,,,False,OPPOSITE_BREAK_BEFORE_H2
development,2022-03-29,2022-03-29 15:50:00+00:00,2022-03-29 15:45:00+00:00,2022-03-29 20:00:00+00:00,48100.0,47320.0,780.0,47437.0,BREAKDOWN_DURING_H2_EPISODE,2,2022-03-29 16:00:00+00:00,1,,,False,,,False,BREAKDOWN_DURING_H2_EPISODE
development,2022-03-31,2022-03-31 13:35:00+00:00,2022-03-31 13:30:00+00:00,2022-03-31 20:00:00+00:00,47619.4,47050.0,569.4000000000015,47135.41,BREAKDOWN_BEFORE_H2,1,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-04-08,2022-04-08 13:35:00+00:00,2022-04-08 13:30:00+00:00,2022-04-08 20:00:00+00:00,43968.1,42851.3,1116.7999999999956,43018.82,BREAKDOWN_BEFORE_H2,2,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-04-12,2022-04-12 14:20:00+00:00,2022-04-12 14:15:00+00:00,2022-04-12 20:00:00+00:00,40700.0,40017.6,682.4000000000015,40119.96,BREAKDOWN_BEFORE_H2,1,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-04-15,2022-04-15 14:00:00+00:00,2022-04-15 13:55:00+00:00,2022-04-15 20:00:00+00:00,40400.0,40005.6,394.40000000000146,40064.76,BREAKDOWN_BEFORE_H2,2,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-04-26,2022-04-26 13:35:00+00:00,2022-04-26 13:30:00+00:00,2022-04-26 20:00:00+00:00,40799.0,40072.1,726.9000000000015,40181.135,BREAKDOWN_BEFORE_H2,1,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-05-02,2022-05-02 13:40:00+00:00,2022-05-02 13:35:00+00:00,2022-05-02 20:00:00+00:00,39073.0,38411.0,662.0,38510.3,FILLED,1,2022-05-02 17:00:00+00:00,1,2022-05-02 17:05:00+00:00,2022-05-02 17:10:00+00:00,True,2022-05-02 17:10:00+00:00,2022-05-02 17:20:00+00:00,True,H3_ARRIVAL
development,2022-05-03,2022-05-03 13:35:00+00:00,2022-05-03 13:30:00+00:00,2022-05-03 20:00:00+00:00,38659.7,38250.0,409.6999999999971,38311.455,BREAKDOWN_BEFORE_H2,1,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-05-09,2022-05-09 14:35:00+00:00,2022-05-09 14:30:00+00:00,2022-05-09 20:00:00+00:00,33789.2,32620.0,1169.199999999997,32795.38,BREAKDOWN_BEFORE_H2,1,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-05-16,2022-05-16 13:55:00+00:00,2022-05-16 13:50:00+00:00,2022-05-16 20:00:00+00:00,30288.0,29417.3,870.7000000000007,29547.905,FILLED,1,2022-05-16 15:35:00+00:00,3,2022-05-16 15:50:00+00:00,2022-05-16 15:55:00+00:00,True,2022-05-16 16:05:00+00:00,2022-05-16 16:10:00+00:00,True,H3_ARRIVAL
development,2022-06-06,2022-06-06 13:40:00+00:00,2022-06-06 13:35:00+00:00,2022-06-06 20:00:00+00:00,31594.6,31261.2,333.3999999999978,31311.21,OPPOSITE_BREAK_BEFORE_H2,2,,0,,,False,,,False,OPPOSITE_BREAK_BEFORE_H2
development,2022-06-10,2022-06-10 13:35:00+00:00,2022-06-10 13:30:00+00:00,2022-06-10 20:00:00+00:00,30177.4,29284.0,893.4000000000015,29418.010000000002,CLEAN_NO_FILL,2,2022-06-10 14:00:00+00:00,1,2022-06-10 14:05:00+00:00,2022-06-10 14:10:00+00:00,False,,2022-06-10 14:10:00+00:00,False,H3_ARRIVAL
development,2022-06-13,2022-06-13 13:45:00+00:00,2022-06-13 13:40:00+00:00,2022-06-13 20:00:00+00:00,24934.3,23339.9,1594.3999999999978,23579.06,BREAKDOWN_DURING_H2_EPISODE,1,2022-06-13 14:10:00+00:00,1,,,False,,,False,BREAKDOWN_DURING_H2_EPISODE
development,2022-06-23,2022-06-23 13:50:00+00:00,2022-06-23 13:45:00+00:00,2022-06-23 20:00:00+00:00,20855.0,20433.8,421.2000000000007,20496.98,BREAKDOWN_BEFORE_H2,1,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-06-28,2022-06-28 14:25:00+00:00,2022-06-28 14:20:00+00:00,2022-06-28 20:00:00+00:00,21198.0,20846.0,352.0,20898.8,BREAKDOWN_BEFORE_H2,1,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-07-05,2022-07-05 13:35:00+00:00,2022-07-05 13:30:00+00:00,2022-07-05 20:00:00+00:00,20209.2,19300.0,909.2000000000007,19436.38,OPPOSITE_BREAK_BEFORE_H2,1,,0,,,False,,,False,OPPOSITE_BREAK_BEFORE_H2
development,2022-07-07,2022-07-07 13:35:00+00:00,2022-07-07 13:30:00+00:00,2022-07-07 20:00:00+00:00,20619.1,20370.0,249.09999999999854,20407.364999999998,OPPOSITE_BREAK_BEFORE_H2,1,,0,,,False,,,False,OPPOSITE_BREAK_BEFORE_H2
development,2022-07-15,2022-07-15 16:05:00+00:00,2022-07-15 16:00:00+00:00,2022-07-15 20:00:00+00:00,21090.0,20711.3,378.7000000000007,20768.105,BREAKDOWN_BEFORE_H2,1,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-07-21,2022-07-21 14:30:00+00:00,2022-07-21 14:25:00+00:00,2022-07-21 20:00:00+00:00,23069.0,22444.0,625.0,22537.75,BREAKDOWN_BEFORE_H2,1,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
development,2022-07-25,2022-07-25 13:40:00+00:00,2022-07-25 13:35:00+00:00,2022-07-25 20:00:00+00:00,22095.0,21796.4,298.59999999999854,21841.190000000002,BREAKDOWN_DURING_H2_EPISODE,1,2022-07-25 14:05:00+00:00,1,,,False,,,False,BREAKDOWN_DURING_H2_EPISODE
development,2022-07-26,2022-07-26 15:30:00+00:00,2022-07-26 15:25:00+00:00,2022-07-26 20:00:00+00:00,21181.6,20760.0,421.59999999999854,20823.239999999998,BREAKDOWN_BEFORE_H2,2,,0,,,False,,,False,BREAKDOWN_BEFORE_H2
