horizon_bars,horizon_minutes,feature,partition,later_h2_n,failure_n,later_h2_median,failure_median,failure_minus_h2_median_gap,expected_direction_ok,partitions_expected_direction,consistent_3of3
2,10,favorable_close_r,POOLED_MAJOR,65,42,0.0,0.0,0.0,False,2,False
2,10,net_close_progress_r,external,20,13,-0.02680966417235566,-0.13463702974526404,-0.10782736557290837,True,3,True
2,10,net_close_progress_r,development,30,19,-0.0461632496144931,-0.133423024163765,-0.0872597745492719,True,3,True
2,10,net_close_progress_r,reference_validation,15,10,-0.04571250837400678,-0.17859796826470967,-0.13288545989070288,True,3,True
2,10,net_close_progress_r,POOLED_MAJOR,65,42,-0.035274736288240335,-0.14322220390457321,-0.10794746761633288,True,3,True
2,10,wrong_side_close_fraction,external,20,13,0.75,1.0,0.25,True,2,False
2,10,wrong_side_close_fraction,development,30,19,1.0,1.0,0.0,False,2,False
2,10,wrong_side_close_fraction,reference_validation,15,10,0.5,1.0,0.5,True,2,False
2,10,wrong_side_close_fraction,POOLED_MAJOR,65,42,1.0,1.0,0.0,False,2,False
2,10,lower_low_step_fraction,external,20,13,0.0,0.0,0.0,False,0,False
2,10,lower_low_step_fraction,development,30,19,0.0,0.0,0.0,False,0,False
2,10,lower_low_step_fraction,reference_validation,15,10,0.0,0.0,0.0,False,0,False
2,10,lower_low_step_fraction,POOLED_MAJOR,65,42,0.0,0.0,0.0,False,0,False
2,10,higher_high_step_fraction,external,20,13,1.0,0.0,-1.0,False,1,False
2,10,higher_high_step_fraction,development,30,19,0.5,1.0,0.5,True,1,False
2,10,higher_high_step_fraction,reference_validation,15,10,1.0,1.0,0.0,False,1,False
2,10,higher_high_step_fraction,POOLED_MAJOR,65,42,1.0,1.0,0.0,False,1,False
2,10,close_path_efficiency,external,20,13,-1.0,-1.0,0.0,False,1,False
2,10,close_path_efficiency,development,30,19,1.0,-1.0,-2.0,True,1,False
2,10,close_path_efficiency,reference_validation,15,10,-1.0,-1.0,0.0,False,1,False
2,10,close_path_efficiency,POOLED_MAJOR,65,42,-1.0,-1.0,0.0,False,1,False
2,10,adverse_favorable_ratio,external,20,13,1.2435028935658954,2.37280646834704,1.1293035747811446,True,3,True
2,10,adverse_favorable_ratio,development,30,19,3.3238913080318238,16.708333333322596,13.384442025290772,True,3,True
2,10,adverse_favorable_ratio,reference_validation,15,10,2.1269413957342067,3.197661336908218,1.0707199411740111,True,3,True
2,10,adverse_favorable_ratio,POOLED_MAJOR,65,42,1.7342399566819608,4.921408826616476,3.1871688699345153,True,3,True
3,15,adverse_wick_r,external,15,13,0.1047770700636931,0.23224360376120684,0.12746653369751373,True,3,True
3,15,adverse_wick_r,development,24,18,0.19934375577141666,0.23422509396676067,0.034881338195344,True,3,True
3,15,adverse_wick_r,reference_validation,11,8,0.15353093618400118,0.2659211983915938,0.1123902622075926,True,3,True
3,15,adverse_wick_r,POOLED_MAJOR,50,39,0.13193527777575648,0.23681883124282305,0.10488355346706657,True,3,True
3,15,favorable_wick_r,external,15,13,0.07287988290183435,0.03722038756308846,-0.03565949533874589,True,2,False
3,15,favorable_wick_r,development,24,18,0.03667668781558708,0.027658196143477667,-0.009018491672109417,True,2,False
3,15,favorable_wick_r,reference_validation,11,8,0.08546652325894213,0.10976089379174402,0.02429437053280188,False,2,False
3,15,favorable_wick_r,POOLED_MAJOR,50,39,0.06262675021952835,0.03722038756308846,-0.02540636265643989,True,2,False
3,15,adverse_close_r,external,15,13,0.06221621621621412,0.14265405925655747,0.08043784304034335,True,3,True
3,15,adverse_close_r,development,24,18,0.12732358366152519,0.16123203678945663,0.03390845312793145,True,3,True
3,15,adverse_close_r,reference_validation,11,8,0.12217363135731237,0.21096370827896843,0.08879007692165607,True,3,True
3,15,adverse_close_r,POOLED_MAJOR,50,39,0.09031599519475603,0.1685277431852757,0.07821174799051966,True,3,True
3,15,favorable_close_r,external,15,13,0.0,0.0,0.0,False,1,False
3,15,favorable_close_r,development,24,18,0.0,0.0,0.0,False,1,False
3,15,favorable_close_r,reference_validation,11,8,0.00029436501262053894,0.0,-0.00029436501262053894,True,1,False
3,15,favorable_close_r,POOLED_MAJOR,50,39,0.0,0.0,0.0,False,1,False
3,15,net_close_progress_r,external,15,13,-0.04101910828025223,-0.12214082659086237,-0.08112171831061013,True,3,True
3,15,net_close_progress_r,development,24,18,-0.04122456064337433,-0.10452104366322754,-0.0632964830198532,True,3,True
3,15,net_close_progress_r,reference_validation,11,8,-0.05164609053497637,-0.1974196919778899,-0.14577360144291351,True,3,True
3,15,net_close_progress_r,POOLED_MAJOR,50,39,-0.04198891875459655,-0.12214082659086237,-0.08015190783626581,True,3,True
3,15,wrong_side_close_fraction,external,15,13,1.0,1.0,0.0,False,1,False
3,15,wrong_side_close_fraction,development,24,18,1.0,1.0,0.0,False,1,False
3,15,wrong_side_close_fraction,reference_validation,11,8,0.6666666666666666,1.0,0.33333333333333337,True,1,False
3,15,wrong_side_close_fraction,POOLED_MAJOR,50,39,1.0,1.0,0.0,False,1,False
3,15,lower_low_step_fraction,external,15,13,0.5,0.5,0.0,False,1,False
3,15,lower_low_step_fraction,development,24,18,0.5,0.0,-0.5,True,1,False
3,15,lower_low_step_fraction,reference_validation,11,8,0.0,0.5,0.5,False,1,False
3,15,lower_low_step_fraction,POOLED_MAJOR,50,39,0.5,0.5,0.0,False,1,False
3,15,higher_high_step_fraction,external,15,13,0.5,0.5,0.0,False,0,False
3,15,higher_high_step_fraction,development,24,18,0.5,0.5,0.0,False,0,False
3,15,higher_high_step_fraction,reference_validation,11,8,0.5,0.5,0.0,False,0,False
3,15,higher_high_step_fraction,POOLED_MAJOR,50,39,0.5,0.5,0.0,False,0,False
3,15,close_path_efficiency,external,15,13,-0.2401700318808113,-0.7377296278850363,-0.49755959600422495,True,3,True
3,15,close_path_efficiency,development,24,18,0.32294523909147044,-0.47818556956100666,-0.8011308086524771,True,3,True
3,15,close_path_efficiency,reference_validation,11,8,-0.014483424525264986,-0.22060785316953785,-0.20612442864427286,True,3,True
3,15,close_path_efficiency,POOLED_MAJOR,50,39,0.171809818339617,-0.535029004908533,-0.70683882324815,True,3,True
3,15,adverse_favorable_ratio,external,15,13,1.9673326990168452,5.056115056437219,3.0887823574203734,True,2,False
3,15,adverse_favorable_ratio,development,24,18,6.601568573123059,7.952402627436,1.3508340543129416,True,2,False
3,15,adverse_favorable_ratio,reference_validation,11,8,2.9891593266274707,2.677659279569586,-0.3115000470578848,False,2,False
3,15,adverse_favorable_ratio,POOLED_MAJOR,50,39,3.0046699447793146,4.38764562903374,1.3829756842544252,True,2,False
4,20,adverse_wick_r,external,14,12,0.12730196997947962,0.22465000091292942,0.09734803093344979,True,3,True
4,20,adverse_wick_r,development,18,17,0.22472370068879174,0.2460664632078614,0.021342762519069663,True,3,True
4,20,adverse_wick_r,reference_validation,9,8,0.1833333333333371,0.36687119236282384,0.18353785902948674,True,3,True
4,20,adverse_wick_r,POOLED_MAJOR,41,37,0.16146496815286276,0.2460664632078614,0.08460149505499864,True,3,True
4,20,favorable_wick_r,external,14,12,0.07209123046041348,0.04489603948006101,-0.027195190980352467,True,2,False
4,20,favorable_wick_r,development,18,17,0.051180071124588083,0.03146084803466703,-0.01971922308992105,True,2,False
4,20,favorable_wick_r,reference_validation,9,8,0.09197364883033543,0.10976089379174402,0.017787244961408585,False,2,False
4,20,favorable_wick_r,POOLED_MAJOR,41,37,0.0713025780189926,0.04372937293729373,-0.027573205081698873,True,2,False
4,20,adverse_close_r,external,14,12,0.08884356045127562,0.13952914731039912,0.0506855868591235,True,3,True
4,20,adverse_close_r,development,18,17,0.1475786474274654,0.17465336489685596,0.027074717469390552,True,3,True
4,20,adverse_close_r,reference_validation,9,8,0.13629737609329445,0.2595142400653012,0.12321686397200676,True,3,True
4,20,adverse_close_r,POOLED_MAJOR,41,37,0.13629737609329445,0.17465336489685596,0.0383559888035615,True,3,True
4,20,favorable_close_r,external,14,12,0.0,0.0,0.0,False,2,False
4,20,favorable_close_r,development,18,17,0.01953964176667731,0.0,-0.01953964176667731,True,2,False
4,20,favorable_close_r,reference_validation,9,8,0.06513847808550685,0.0,-0.06513847808550685,True,2,False
4,20,favorable_close_r,POOLED_MAJOR,41,37,0.003627298508826559,0.0,-0.003627298508826559,True,2,False
4,20,net_close_progress_r,external,14,12,-0.08088193634149274,-0.10589350525922889,-0.02501156891773615,True,3,True
4,20,net_close_progress_r,development,18,17,-0.04121775615536656,-0.14734085414988382,-0.10612309799451726,True,3,True
4,20,net_close_progress_r,reference_validation,9,8,0.0012195121951317422,-0.23990751916623587,-0.24112703136136762,True,3,True
4,20,net_close_progress_r,POOLED_MAJOR,41,37,-0.04426751592355928,-0.14116117850953008,-0.0968936625859708,True,3,True
4,20,wrong_side_close_fraction,external,14,12,1.0,1.0,0.0,False,2,False
4,20,wrong_side_close_fraction,development,18,17,0.75,1.0,0.25,True,2,False
4,20,wrong_side_close_fraction,reference_validation,9,8,0.75,1.0,0.25,True,2,False
4,20,wrong_side_close_fraction,POOLED_MAJOR,41,37,0.75,1.0,0.25,True,2,False
4,20,lower_low_step_fraction,external,14,12,0.3333333333333333,0.3333333333333333,0.0,False,0,False
4,20,lower_low_step_fraction,development,18,17,0.3333333333333333,0.3333333333333333,0.0,False,0,False
4,20,lower_low_step_fraction,reference_validation,9,8,0.3333333333333333,0.3333333333333333,0.0,False,0,False
4,20,lower_low_step_fraction,POOLED_MAJOR,41,37,0.3333333333333333,0.3333333333333333,0.0,False,0,False
4,20,higher_high_step_fraction,external,14,12,0.3333333333333333,0.6666666666666666,0.3333333333333333,True,1,False
4,20,higher_high_step_fraction,development,18,17,0.3333333333333333,0.3333333333333333,0.0,False,1,False
4,20,higher_high_step_fraction,reference_validation,9,8,0.6666666666666666,0.5,-0.16666666666666663,False,1,False
4,20,higher_high_step_fraction,POOLED_MAJOR,41,37,0.3333333333333333,0.6666666666666666,0.3333333333333333,True,1,False
4,20,close_path_efficiency,external,14,12,-0.3443322539776742,-0.2824945475213162,0.061837706456358,False,2,False
4,20,close_path_efficiency,development,18,17,-0.1254014691385477,-0.30748764728240935,-0.18208617814386166,True,2,False
4,20,close_path_efficiency,reference_validation,9,8,0.12913866829566154,-0.596452876029471,-0.7255915443251325,True,2,False
4,20,close_path_efficiency,POOLED_MAJOR,41,37,-0.061923583662753884,-0.3161696253731736,-0.25424604171041976,True,2,False
4,20,adverse_favorable_ratio,external,14,12,2.405387473786136,4.048080553568958,1.6426930797828225,True,3,True
4,20,adverse_favorable_ratio,development,18,17,3.6559037672533847,4.107458912768272,0.4515551455148872,True,3,True
4,20,adverse_favorable_ratio,reference_validation,9,8,2.3825417201542964,3.6117415592342024,1.229199839079906,True,3,True
4,20,adverse_favorable_ratio,POOLED_MAJOR,41,37,2.7216346153847386,4.107458912768272,1.3858242973835333,True,3,True
6,30,adverse_wick_r,external,14,10,0.15076062004974208,0.22465000091292942,0.07388938086318733,True,3,True
6,30,adverse_wick_r,development,16,15,0.2094545709063516,0.24337666357164578,0.03392209266529417,True,3,True
6,30,adverse_wick_r,reference_validation,7,6,0.1833333333333371,0.3938720589990825,0.2105387256657454,True,3,True
6,30,adverse_wick_r,POOLED_MAJOR,37,31,0.16715727502102606,0.236964938696495,0.06980766367546892,True,3,True
6,30,favorable_wick_r,external,14,10,0.0785657762869022,0.04489603948006101,-0.03366973680684119,True,3,True
6,30,favorable_wick_r,development,16,15,0.06597239711652447,0.03146084803466703,-0.03451154908185744,True,3,True
6,30,favorable_wick_r,reference_validation,7,6,0.07833623862095185,0.07362669036269401,-0.00470954825825784,True,3,True
6,30,favorable_wick_r,POOLED_MAJOR,37,31,0.07827812756638713,0.03722038756308846,-0.041057740003298676,True,3,True
6,30,adverse_close_r,external,14,10,0.1363367339361748,0.15680702088128778,0.020470286945112992,True,3,True
6,30,adverse_close_r,development,16,15,0.12525824516112932,0.17465336489685596,0.049395119735726634,True,3,True
6,30,adverse_close_r,reference_validation,7,6,0.13629737609329445,0.30195971165948055,0.1656623355661861,True,3,True
6,30,adverse_close_r,POOLED_MAJOR,37,31,0.13629737609329445,0.17465336489685596,0.0383559888035615,True,3,True
6,30,favorable_close_r,external,14,10,0.01854016471851058,0.0,-0.01854016471851058,True,3,True
6,30,favorable_close_r,development,16,15,0.0232997361463778,0.0,-0.0232997361463778,True,3,True
6,30,favorable_close_r,reference_validation,7,6,0.06513847808550685,0.0,-0.06513847808550685,True,3,True
6,30,favorable_close_r,POOLED_MAJOR,37,31,0.022611464968154023,0.0,-0.022611464968154023,True,3,True
