feature,n,min,p25,median,p75,max
minutes_leave_to_signal,26,0.0,1.25,10.0,38.75,250.0
minutes_leave_to_entry,26,5.0,6.25,15.0,43.75,255.0
signal_open_depth_R,26,0.0337078651685404,0.06846230512017887,0.0892259189044669,0.12840075215556473,0.19805825242718622
signal_low_depth_R,26,0.056204379562042515,0.09727940548390071,0.11619459742984606,0.16819519927536955,0.23688394276629293
signal_close_depth_R,26,0.010869565217389692,0.019906716056672755,0.03578899216102356,0.0442720248080896,0.049479166666665665
signal_range_R,26,0.03430656934306564,0.08050337821649212,0.09505555935839036,0.14162382939738574,0.22734499205087125
signal_body_R,26,-0.009363295880151886,0.036440457310579204,0.058792290137519604,0.09230781909282701,0.16350947158524334
signal_body_ratio,26,0.17021276595741336,0.4372822299651753,0.6556082148499222,0.8345281306714127,0.9523809523809953
signal_close_position,26,0.31914893617016515,0.7886775303512404,0.8939810189810243,0.9437327425672503,1.0
reclaim_overshoot_R,26,0.0005208333333358159,0.005727975191913589,0.014211007838976124,0.030093283943326665,0.03913043478261031
wick_below_F95_R,26,0.006204379562042307,0.04727940548390338,0.0661945974298429,0.11819519927536394,0.18688394276629136
pre_entry_max_depth_R,26,0.06325301204819227,0.13053069053708252,0.1922845087402089,0.33906660130926164,1.027310924369747
pre_entry_min_close_depth_R,26,0.010869565217389692,0.019906716056672755,0.03578899216102356,0.0442720248080896,0.049479166666665665
pre_entry_max_close_depth_R,26,0.010869565217389692,0.04991272611869004,0.1311354180449598,0.30548527877043946,0.8382352941176386
pre_entry_bar_count,26,1.0,1.25,3.0,8.75,51.0
entry_depth_R,26,0.010869565217389692,0.01953021003257671,0.03610868525565243,0.0455650004619778,0.051612903225803516
