family,feature,b1_gap,b1_effect_IQR,b2_gap,b2_effect_IQR,b3_gap,b3_effect_IQR,b4_gap,b4_effect_IQR,b5_gap,b5_effect_IQR,b6_gap,b6_effect_IQR,dev_win_n,dev_fail_n,dev_win_median,dev_fail_median,dev_gap,dev_effect_IQR,adequate_dev_blocks,same_sign_dev_blocks,external_win_n,external_fail_n,external_win_median,external_fail_median,external_gap,external_effect_IQR,reference_win_n,reference_fail_n,reference_win_median,reference_fail_median,reference_gap,reference_effect_IQR,counts_ok,dev_effect_ok,block_ok,oos_sign_ok,oos_effect_ok,replicated_directional,strong_replicated
PRE_REGIME,pre12_range_R,0.47534862257084054,0.5564356713462564,0.01576146682862567,0.013058768284012954,0.22457581818038697,0.21839407303198824,-0.08888977254523778,0.06862642526301192,0.44816240517429184,0.4921873241638597,0.23060720566447435,0.2891425177018654,242,359,1.6563282643104718,1.4124142047150121,0.24391405959545964,0.23921826340528005,6,5,114,167,1.5074998923343959,1.5014326647564487,0.0060672275779471985,0.006474487287162198,148,189,1.3557934908748699,1.410256410256413,-0.05446291938154313,0.05699087382589199,True,False,True,False,False,False,False
PRE_REGIME,ref_to_pre12_range_ratio,-0.18994846878317329,0.45576823805602495,-0.0074541557513723156,0.013480816371829822,-0.08560427595990072,0.18604725818572984,0.04112496985385217,0.07707577824141766,-0.17751056229363205,0.4442425939747044,-0.11165126952270676,0.24388923974473145,242,359,0.6037450612370099,0.7080076061694478,-0.10426254493243792,0.21892998215118561,6,5,114,167,0.6633514784679122,0.6660305343511442,-0.002679055883232029,0.005751157025037506,148,189,0.737588418579523,0.7090909090909077,0.02849750948861529,0.05966184322552189,True,False,True,False,False,False,False
PRE_REGIME,L_vs_pre12_low_R,-0.01709886316296083,0.028543518638097218,0.04394531249999725,0.061413990196748786,0.2165553520254968,0.31733007825499765,0.08146414364711857,0.10420727847636128,0.17005696921477637,0.21437825986108697,0.18351491140436282,0.24237479189452857,242,359,0.38840772818121005,0.23865414710485136,0.1497535810763587,0.20477117605867656,6,5,114,167,0.2311268308634974,0.2457002457002444,-0.014573414836747012,0.016097782236671847,148,189,0.18368697478991647,0.16190476190476397,0.021782212885152502,0.02831198489696248,True,False,True,False,False,False,False
PRE_REGIME,pre24_range_R,0.594021705993546,0.4700548804634165,0.5533343163341562,0.323213915113865,0.014851014389129613,0.009717072469476631,-0.04871598430301338,0.029592456525950467,0.27482090688718186,0.17818932743666202,0.18933704668384976,0.14584709951342711,242,359,2.4969530059767946,2.204429301533202,0.29252370444359244,0.18741063475938183,6,5,114,167,2.2822403866559844,2.262857142857139,0.019383243798845484,0.014295912691828344,148,189,2.3178935143826984,2.350762527233112,-0.03286901285041344,0.020794805468007552,True,False,True,False,False,False,False
PRE_REGIME,ref_to_pre24_range_ratio,-0.09924977568434029,0.44318132909989805,-0.10070261308832773,0.33088575427138944,-0.0024792907896991623,0.009318644529277298,0.009381962355331064,0.026341565380571662,-0.04829529845039282,0.16425188220131667,-0.042084431698871494,0.12750203210317115,242,359,0.40049812030075205,0.45363214837712884,-0.053134028076376794,0.17672740226172434,6,5,114,167,0.4381721993556893,0.44191919191919266,-0.0037469925635033596,0.013231086996648982,148,189,0.4317293132997234,0.42539388322520916,0.006335430074514259,0.020066301400870054,True,False,True,False,False,False,False
LATE_COMPRESSION,late30_to_prior330_range_ratio,0.10245163081664066,0.3918776550370118,0.05249363938286744,0.23250351626612378,0.05425939923205336,0.25346492518274555,-0.017362922490183397,0.07683193120154905,-0.013593607274730746,0.055887146572236056,0.03266636012310148,0.11816239472589586,242,359,0.3928260869565201,0.35294117647059264,0.03988491048592746,0.15815493908669312,6,4,114,167,0.33602709183937807,0.2670509125840519,0.06897617925532618,0.35474814346900174,148,189,0.4916088610427411,0.41993957703927054,0.07166928400347056,0.18666315830939517,True,False,True,True,True,False,False
LATE_COMPRESSION,late90_range_R,0.003530811270963774,0.014586455022926277,0.05240641711229943,0.22513100533760239,-0.04174341749828869,0.1246842165811836,0.014477016430303746,0.04793042090307576,0.05572706408760042,0.1868368846636103,0.10735724148779968,0.4114160714826901,242,359,0.6613432835820869,0.6145251396648056,0.04681814391728134,0.14917382263955292,6,5,114,167,0.5966267595846488,0.5055865921787704,0.09104016740587839,0.3183717599882294,148,189,0.8117601517438948,0.6923076923076956,0.1194524594361992,0.3774049121935435,True,False,True,True,True,False,False
LATE_COMPRESSION,late30_range_R,0.11938139560517308,0.5202594324553564,0.046176059545882886,0.25102855982442557,0.029167350062871467,0.15458754413273065,-0.007501922177231168,0.0361569615378491,-0.004571101999311322,0.02725572743057792,0.06221729722183178,0.2627057369633273,242,359,0.37070318631298105,0.34426229508196793,0.02644089123101312,0.12518571988199922,6,4,114,167,0.3249453573893918,0.26541207008436063,0.05953328730503116,0.3834176967300927,148,189,0.44335591944287733,0.4000000000000007,0.043355919442876645,0.16248066599719424,True,False,True,True,True,False,False
PRE_REGIME,L_vs_pre24_low_R,-0.015272193180783211,0.013917319410122695,0.1566939104408871,0.14005957792813278,0.07046639171638769,0.06341981624123914,0.10085541908822204,0.10119778063434148,0.4005929240871212,0.282905669917692,0.18888288188956892,0.13645825900123526,242,359,0.6789659927890728,0.5593749999999948,0.11959099278907792,0.1008334466604747,6,5,114,167,0.638901200723853,0.5949993960623253,0.04390180466152771,0.03358781404515729,148,189,0.48340543259557184,0.5615763546798029,-0.0781709220842311,0.060806515859084524,True,False,True,False,False,False,False
H_PRESSURE,last_exact_H_age_min,32.5,0.16300940438871472,-32.5,0.15384615384615385,-10.0,0.0471976401179941,22.5,0.09448818897637795,-92.5,0.357487922705314,-5.0,0.0273972602739726,242,359,105.0,125.0,-20.0,0.08579088471849866,6,4,114,167,110.0,155.0,-45.0,0.18508997429305912,148,189,70.0,90.0,-20.0,0.08421052631578947,True,False,True,True,False,False,False
