partition,side,signal_ts,entry_ts,swing_level_ts,swing_level,prior_touches,touch_bucket,entry_px,stop_px,target_px,risk_pct,resolved,exit_ts,exit_px,gross_return,net_pnl_usd,exit_reason,hold_minutes
external,SHORT,2020-01-02 00:00:00+00:00,2020-01-02 04:00:00+00:00,2020-01-01 08:00:00+00:00,7174.0,1,1,7126.94,7209.59,6961.6399999999985,0.011596842403612287,True,2020-01-02 17:00:00+00:00,6961.6399999999985,0.023193684807224613,11.196842403612306,TP_2R,780.0
external,LONG,2020-01-03 04:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-02 08:00:00+00:00,7175.0,0,0,7198.02,6945.84,7702.380000000001,0.035034634524494276,True,2020-01-06 22:35:00+00:00,7702.380000000001,0.07006926904898858,34.634634524494295,TP_2R,5195.0
external,LONG,2020-01-07 16:00:00+00:00,2020-01-07 20:00:00+00:00,2020-01-07 08:00:00+00:00,7969.0,0,0,8077.71,7733.0,8767.130000000001,0.042674223263771544,True,2020-01-10 06:15:00+00:00,7733.0,-0.04267422326377157,-21.737111631885785,SL,3495.0
external,LONG,2020-01-10 12:00:00+00:00,2020-01-10 16:00:00+00:00,2020-01-09 20:00:00+00:00,8006.83,0,0,8068.26,7808.32,8588.140000000001,0.03221760329984414,True,2020-01-14 04:00:00+00:00,8588.140000000001,0.06443520659968827,31.817603299844137,TP_2R,5040.0
external,LONG,2020-01-14 12:00:00+00:00,2020-01-14 16:00:00+00:00,2020-01-14 04:00:00+00:00,8598.27,0,0,8686.0,8479.54,9098.919999999998,0.023769283905134598,True,2020-01-19 01:00:00+00:00,9098.919999999998,0.047538567810269106,23.369283905134555,TP_2R,6300.0
external,SHORT,2020-01-19 08:00:00+00:00,2020-01-19 12:00:00+00:00,2020-01-19 00:00:00+00:00,8898.88,0,0,8703.44,9135.0,7840.3200000000015,0.04958499168145003,True,2020-01-28 01:00:00+00:00,9135.0,-0.04958499168145014,-25.19249584072507,SL,12300.0
external,LONG,2020-01-28 20:00:00+00:00,2020-01-29 00:00:00+00:00,2020-01-28 12:00:00+00:00,9207.81,0,0,9399.72,9017.46,10164.24,0.040667168809283706,True,2020-02-09 07:40:00+00:00,10164.24,0.08133433761856734,40.267168809283675,TP_2R,16300.0
external,SHORT,2020-02-10 04:00:00+00:00,2020-02-10 08:00:00+00:00,2020-02-09 20:00:00+00:00,10070.0,0,0,9985.69,10125.0,9707.070000000002,0.01395096382923959,True,2020-02-11 15:40:00+00:00,10125.0,-0.01395096382923966,-7.37548191461983,SL,1900.0
external,SHORT,2020-02-13 08:00:00+00:00,2020-02-13 12:00:00+00:00,2020-02-12 08:00:00+00:00,10235.52,0,0,10165.04,10380.0,9735.120000000003,0.021146990075789088,True,2020-02-13 13:35:00+00:00,10380.0,-0.02114699007578902,-10.97349503789451,SL,95.0
external,LONG,2020-02-14 16:00:00+00:00,2020-02-14 20:00:00+00:00,2020-02-14 00:00:00+00:00,10299.0,1,1,10352.09,10255.0,10546.27,0.009378782448761568,True,2020-02-15 01:55:00+00:00,10255.0,-0.009378782448761558,-5.08939122438078,SL,355.0
external,SHORT,2020-02-15 12:00:00+00:00,2020-02-15 16:00:00+00:00,2020-02-15 04:00:00+00:00,10203.98,0,0,9983.03,10271.0,9407.090000000002,0.028845951579830907,True,2020-02-19 17:30:00+00:00,10271.0,-0.028845951579830942,-14.822975789915471,SL,5850.0
external,SHORT,2020-02-19 20:00:00+00:00,2020-02-20 00:00:00+00:00,2020-02-19 08:00:00+00:00,10026.08,0,0,9593.31,10160.23,8459.47,0.05909534873781835,True,2020-02-28 12:20:00+00:00,8459.47,0.11819069747563671,58.69534873781836,TP_2R,12260.0
external,SHORT,2020-02-29 20:00:00+00:00,2020-03-01 00:00:00+00:00,2020-02-29 12:00:00+00:00,8580.0,0,0,8532.5,8679.89,8237.720000000001,0.017273952534427123,True,2020-03-01 12:00:00+00:00,8679.89,-0.017273952534427206,-9.036976267213603,SL,720.0
external,LONG,2020-03-02 12:00:00+00:00,2020-03-02 16:00:00+00:00,2020-03-01 12:00:00+00:00,8762.24,1,1,8829.52,8722.0,9044.560000000001,0.012177332403120491,True,2020-03-03 14:35:00+00:00,8722.0,-0.012177332403120467,-6.488666201560234,SL,1355.0
external,LONG,2020-03-05 00:00:00+00:00,2020-03-05 04:00:00+00:00,2020-03-04 04:00:00+00:00,8853.88,0,0,8878.53,8755.98,9123.630000000003,0.01380296062523876,True,2020-03-05 11:05:00+00:00,9123.630000000003,0.02760592125047756,13.40296062523878,TP_2R,425.0
external,SHORT,2020-03-07 16:00:00+00:00,2020-03-07 20:00:00+00:00,2020-03-07 04:00:00+00:00,9056.1,0,0,8897.31,9204.0,8283.929999999998,0.03446996901310627,True,2020-03-08 16:15:00+00:00,8283.929999999998,0.06893993802621257,34.06996901310628,TP_2R,1215.0
external,LONG,2020-03-10 08:00:00+00:00,2020-03-10 12:00:00+00:00,2020-03-10 00:00:00+00:00,7975.0,0,0,8068.62,7878.6,8448.66,0.02355049562378691,True,2020-03-10 15:30:00+00:00,7878.6,-0.02355049562378686,-12.17524781189343,SL,210.0
external,SHORT,2020-03-12 04:00:00+00:00,2020-03-12 08:00:00+00:00,2020-03-11 16:00:00+00:00,7593.29,1,1,7397.35,7666.26,6859.530000000001,0.03635220720933846,True,2020-03-12 10:35:00+00:00,6859.530000000001,0.07270441441867692,35.95220720933846,TP_2R,155.0
external,SHORT,2020-03-12 20:00:00+00:00,2020-03-13 00:00:00+00:00,2020-03-12 08:00:00+00:00,5199.17,0,0,4762.28,6060.0,2166.8399999999992,0.27249972702151076,True,2020-03-19 16:20:00+00:00,6060.0,-0.2724997270215108,-136.6498635107554,SL,9620.0
external,LONG,2020-03-20 08:00:00+00:00,2020-03-20 12:00:00+00:00,2020-03-19 20:00:00+00:00,6400.0,0,0,6656.63,6300.0,7369.89,0.05357515739946491,True,2020-03-20 18:25:00+00:00,6300.0,-0.053575157399464945,-27.18757869973247,SL,385.0
external,LONG,2020-03-22 00:00:00+00:00,2020-03-22 04:00:00+00:00,2020-03-21 12:00:00+00:00,6269.7,1,1,6347.92,6100.57,6842.620000000001,0.03896551941423338,True,2020-03-22 12:00:00+00:00,6100.57,-0.03896551941423343,-19.882759707116712,SL,480.0
external,SHORT,2020-03-22 16:00:00+00:00,2020-03-22 20:00:00+00:00,2020-03-21 16:00:00+00:00,6035.0,1,1,5908.1,6134.87,5454.560000000001,0.03838289805521225,True,2020-03-22 21:50:00+00:00,6134.87,-0.03838289805521233,-19.591449027606167,SL,110.0
external,LONG,2020-03-23 12:00:00+00:00,2020-03-23 16:00:00+00:00,2020-03-23 04:00:00+00:00,5988.0,0,0,6229.48,5836.95,7014.539999999999,0.06301167994760394,True,2020-04-02 17:00:00+00:00,7014.539999999999,0.12602335989520785,62.611679947603925,TP_2R,14460.0
external,LONG,2020-04-06 04:00:00+00:00,2020-04-06 08:00:00+00:00,2020-04-05 16:00:00+00:00,6853.15,1,1,7024.45,6839.9,7393.55,0.0262725195566913,True,2020-04-07 00:10:00+00:00,7393.55,0.0525450391133826,25.8725195566913,TP_2R,970.0
