hour_wib,component_rank,character_rule,lookback_min,hold_min,dev2022_n,dev2022_wr,dev2022_net,dev2022_exp,dev2022_pf,dev2022_dd,dev2022_ls,test2023_n,test2023_wr,test2023_net,test2023_exp,test2023_pf,y2024_n,y2024_wr,y2024_net,y2024_exp,y2024_pf,oos2025_n,oos2025_wr,oos2025_net,oos2025_exp,oos2025_pf,oos2025_dd,oos2025_ls,wr_change_vs_2022_pp,exp_retention_vs_2022,pf_retention_vs_2022,dd_cap,ls_warning_threshold,risk_clustering_warning,economically_viable_2025,strict_stable_vs_2022_2025
5,1,DRIVE_DOWN__STR_B60_80,60,360,83,0.5783132530120482,48.07169841739163,0.5791770893661642,1.2154307624245178,65.77335488259979,5,89,0.5955056179775281,113.02027849459728,1.2698907696022168,2.084188146349921,90,0.5777777777777777,55.8722865449011,0.6208031838322344,1.2800626471889465,72,0.625,31.805125589414963,0.44173785540854116,1.2305901490865343,51.0882082999059,8,4.668674698795183,0.7626991183162427,1.012472439509246,118.66003232389969,12,False,True,True
5,1,DRIVE_DOWN__STR_B60_80,120,360,91,0.5274725274725275,158.59375635798824,1.7427885314064642,1.7725565921227058,64.88597486616752,9,102,0.5588235294117647,53.60099842948389,0.5254999846027832,1.4024039511739612,82,0.6707317073170732,138.67348454940554,1.6911400554805551,1.8642547818748525,70,0.6714285714285714,50.24847658587137,0.7178353797981625,1.4025963003065531,27.5936044351576,4,14.395604395604389,0.4118889738268219,0.7912843553428606,117.32896229925127,13,False,True,False
5,1,DRIVE_DOWN__STR_B60_80,60,480,83,0.5662650602409639,81.75618092368758,0.985014227996236,1.3649696753110514,77.75183393650218,4,89,0.6179775280898876,143.99507358426413,1.6179221751040913,2.194270594282455,90,0.6111111111111112,73.49504807807199,0.816611645311911,1.3195070084529312,72,0.5972222222222222,38.00158976898087,0.527799857902512,1.2447796724928983,72.11230867753824,10,3.0957161981258308,0.5358296793094941,0.9119467597030945,136.62775090475327,12,False,True,False
5,1,DRIVE_DOWN__STR_B60_80,120,480,91,0.6483516483516484,205.9519942906737,2.2632087284689417,2.010849102766232,58.42066059285503,4,102,0.5784313725490197,124.79523115888964,1.2234826584204868,1.8497135673136984,82,0.6585365853658537,147.95996342423496,1.804389797856524,1.897044161841944,70,0.6571428571428571,103.59221588977408,1.479888798425344,1.8383374608583591,30.66880403458864,4,0.879120879120876,0.6538896655044659,0.9142095537300355,107.63099088928254,12,False,True,True
5,1,DRIVE_DOWN__STR_B60_80,60,720,83,0.6626506024096386,160.3704114457634,1.932173631876668,1.6723416377177616,46.66001082265504,5,89,0.6966292134831461,213.9848745738284,2.4043244334138016,2.59743516187118,90,0.5222222222222223,-12.201472245819932,-0.1355719138424437,0.9613035035419324,72,0.625,82.41953271480449,1.1447157321500623,1.5051013542977083,69.91582347164254,8,-3.765060240963858,0.592449722563614,0.8999963406709854,89.99001623398256,12,False,True,False
5,1,DRIVE_DOWN__STR_B60_80,120,720,91,0.7142857142857143,368.0565022025386,4.044576947280643,2.9704533610757933,50.19054150963615,4,102,0.6274509803921569,175.792670978113,1.723457558608951,2.0350032263866806,82,0.6585365853658537,179.27966043762427,2.186337322410052,2.0300294910813395,70,0.6142857142857143,46.77626273666891,0.6682323248095559,1.2729898777877333,38.15481929945294,6,-9.999999999999998,0.16521686532848373,0.42855070356220015,95.28581226445422,12,False,True,False
5,1,DRIVE_DOWN__STR_B60_80,60,960,83,0.5903614457831325,134.37054774014004,1.618922261929398,1.4091117102268491,71.20269869781765,6,89,0.5955056179775281,186.78877509565385,2.0987502819736386,2.4862514747342788,90,0.5,-22.465938862651225,-0.2496215429183469,0.9439714579723696,72,0.5138888888888888,52.759568519860295,0.7327717849980596,1.242779389148117,100.5788505064047,5,-7.64725568942437,0.45262938328166386,0.8819594501475296,126.80404804672648,12,False,False,False
5,1,DRIVE_DOWN__STR_B60_80,120,960,91,0.6373626373626373,313.8295321669487,3.448676177658777,2.1076679223681016,44.5998789878914,4,102,0.5392156862745098,175.2848881589893,1.7184792956763657,2.0301870777577813,82,0.5853658536585366,118.07399679992602,1.4399267902430002,1.4849547409338528,70,0.5142857142857142,14.298767541698965,0.20426810773855664,1.0659565802958382,76.25219296600896,7,-12.307692307692308,0.05923087504180498,0.5057516741528081,86.8998184818371,12,False,False,False
22,3,RV_HIGH__RANGE_MID,180,360,90,0.6444444444444445,126.7784950016926,1.408649944463251,1.7201372195868032,70.65390785247273,9,80,0.575,131.13827735115535,1.639228466889442,2.1157754830431243,56,0.4642857142857143,-11.553694631008682,-0.2063159755537264,0.937389111252664,66,0.5151515151515151,22.37529796960763,0.3390196662061762,1.1143953444032022,102.87177331388241,10,-12.929292929292934,0.24066991770290774,0.6478525850809116,125.98086177870908,13,False,False,False
22,3,RV_HIGH__RANGE_MID,180,480,90,0.7333333333333333,139.25342467860045,1.5472602742066717,1.5580394170468814,87.67190396624721,6,80,0.6375,169.41338098817977,2.117667262352247,2.1610292606509547,56,0.5,38.43729688074844,0.6863803014419364,1.219322164534291,66,0.5606060606060606,103.40936821924652,1.566808609382523,1.5542276332861604,79.77067793544353,10,-17.272727272727273,1.0126341608465805,0.9975534741168834,151.50785594937082,12,False,True,False
