transition,partition,group,days,setups,fills,fill_rate,wins,losses,wr,tp_rate,net_pf,net_exp,total_net,time_exit_rate,repeatable_pass
ASIA_TO_LONDON,external,ALL,523,340,142,0.4176470588235294,67,75,0.47183098591549294,0.2605633802816901,0.7458569353284497,-0.5472103977324125,-77.70387647800258,0.4014084507042254,False
ASIA_TO_LONDON,external,LONG,169,169,61,0.3609467455621302,32,29,0.5245901639344263,0.29508196721311475,0.9052711976900139,-0.20492036263692742,-12.500142120852573,0.4262295081967213,False
ASIA_TO_LONDON,external,SHORT,171,171,81,0.47368421052631576,35,46,0.43209876543209874,0.2345679012345679,0.6248161451572986,-0.8049843747796299,-65.20373435715003,0.38271604938271603,False
ASIA_TO_LONDON,development,ALL,782,577,283,0.4904679376083189,126,157,0.4452296819787986,0.23674911660777384,0.6973548202995687,-0.44270374252097483,-125.28515913343588,0.4558303886925795,False
ASIA_TO_LONDON,development,LONG,310,310,144,0.4645161290322581,64,80,0.4444444444444444,0.24305555555555555,0.7398832876726081,-0.37441165716728597,-53.915278632089176,0.4583333333333333,False
ASIA_TO_LONDON,development,SHORT,267,267,139,0.5205992509363296,62,77,0.4460431654676259,0.2302158273381295,0.6547070790155787,-0.5134523777075302,-71.3698805013467,0.45323741007194246,False
ASIA_TO_LONDON,reference_validation,ALL,411,315,136,0.43174603174603177,43,93,0.3161764705882353,0.16176470588235295,0.43831741623856335,-0.8524516883118443,-115.93342961041083,0.5073529411764706,False
ASIA_TO_LONDON,reference_validation,LONG,160,160,73,0.45625,25,48,0.3424657534246575,0.2191780821917808,0.5356827538362734,-0.6843615869463167,-49.958395847081114,0.4794520547945205,False
ASIA_TO_LONDON,reference_validation,SHORT,155,155,63,0.4064516129032258,18,45,0.2857142857142857,0.09523809523809523,0.3322934463418263,-1.0472227581480906,-65.9750337633297,0.5396825396825397,False
ASIA_TO_LONDON,august,ALL,14,11,6,0.5454545454545454,1,5,0.16666666666666666,0.0,0.10791299936560471,-1.8970157270165482,-11.38209436209929,0.3333333333333333,False
ASIA_TO_LONDON,august,LONG,7,7,3,0.42857142857142855,0,3,0.0,0.0,0.0,-2.4867400606261096,-7.460220181878329,0.3333333333333333,False
ASIA_TO_LONDON,august,SHORT,4,4,3,0.75,1,2,0.3333333333333333,0.0,0.2598465015044664,-1.3072913934069874,-3.921874180220962,0.3333333333333333,False
LONDON_TO_NEWYORK,external,ALL,523,325,169,0.52,87,82,0.514792899408284,0.3254437869822485,0.8388229987371655,-0.3286121610342958,-55.535455214795995,0.3609467455621302,False
LONDON_TO_NEWYORK,external,LONG,188,188,92,0.48936170212765956,46,46,0.5,0.29347826086956524,0.7262841972145151,-0.6444780045083657,-59.29197641476964,0.391304347826087,False
LONDON_TO_NEWYORK,external,SHORT,137,137,77,0.5620437956204379,41,36,0.5324675324675324,0.36363636363636365,1.0293608613402352,0.048785989610047396,3.7565211999736494,0.3246753246753247,False
LONDON_TO_NEWYORK,development,ALL,782,536,387,0.7220149253731343,172,215,0.4444444444444444,0.3695090439276486,0.6499121129653234,-0.7694426962337622,-297.77432344246597,0.165374677002584,False
LONDON_TO_NEWYORK,development,LONG,262,262,186,0.7099236641221374,80,106,0.43010752688172044,0.3387096774193548,0.7022524756804577,-0.6461572306501833,-120.1852449009341,0.1935483870967742,False
LONDON_TO_NEWYORK,development,SHORT,274,274,201,0.7335766423357665,92,109,0.4577114427860697,0.39800995024875624,0.60263967878717,-0.8835277539379697,-177.5890785415319,0.13930348258706468,False
LONDON_TO_NEWYORK,reference_validation,ALL,411,279,203,0.7275985663082437,106,97,0.5221674876847291,0.4827586206896552,0.8963595015611927,-0.16624196580458814,-33.74711905833139,0.07389162561576355,False
LONDON_TO_NEWYORK,reference_validation,LONG,135,135,101,0.7481481481481481,51,50,0.504950495049505,0.46534653465346537,0.8639770274980576,-0.22877888001143057,-23.10666688115449,0.04950495049504951,False
LONDON_TO_NEWYORK,reference_validation,SHORT,144,144,102,0.7083333333333334,55,47,0.5392156862745098,0.5,0.9316797865363292,-0.1043181585997736,-10.640452177176908,0.09803921568627451,False
LONDON_TO_NEWYORK,august,ALL,14,13,7,0.5384615384615384,4,3,0.5714285714285714,0.2857142857142857,0.613804547633747,-0.39174575774185666,-2.7422203041929967,0.2857142857142857,False
LONDON_TO_NEWYORK,august,LONG,7,7,3,0.42857142857142855,2,1,0.6666666666666666,0.3333333333333333,0.9551776068976539,-0.03905295806241652,-0.11715887418724957,0.3333333333333333,False
LONDON_TO_NEWYORK,august,SHORT,6,6,4,0.6666666666666666,2,2,0.5,0.25,0.4149310073860784,-0.6562653575014367,-2.6250614300057467,0.25,False
