entry_ts,exit_ts,clock,lookback_min,hold_min,gross,net
2024-01-08 22:00:00+00:00,2024-01-09 02:00:00+00:00,1320,120,240,-5.956786030534658,-6.706786030534658
2024-01-11 22:15:00+00:00,2024-01-12 02:15:00+00:00,1335,120,240,-1.6539981524285043,-2.403998152428504
2024-01-11 22:30:00+00:00,2024-01-12 02:30:00+00:00,1350,120,240,-1.1572961563157191,-1.9072961563157191
2024-01-12 22:00:00+00:00,2024-01-13 02:00:00+00:00,1320,120,240,-0.290773576396267,-1.0407735763962669
2024-01-12 22:15:00+00:00,2024-01-13 02:15:00+00:00,1335,120,240,4.258282757934552,3.508282757934552
2024-01-12 22:30:00+00:00,2024-01-13 02:30:00+00:00,1350,120,240,14.682949551410577,13.932949551410577
2024-01-12 22:45:00+00:00,2024-01-13 02:45:00+00:00,1365,120,240,9.664739328516946,8.914739328516946
2024-01-15 22:15:00+00:00,2024-01-16 02:15:00+00:00,1335,120,240,1.5485607143283158,0.7985607143283158
2024-01-22 22:45:00+00:00,2024-01-23 02:45:00+00:00,1365,120,240,6.180640916881622,5.430640916881622
2024-01-31 22:00:00+00:00,2024-02-01 02:00:00+00:00,1320,120,240,-7.427372413369302,-8.177372413369302
2024-01-31 22:15:00+00:00,2024-02-01 02:15:00+00:00,1335,120,240,-5.5205428314191956,-6.2705428314191956
2024-01-31 22:30:00+00:00,2024-02-01 02:30:00+00:00,1350,120,240,-6.019502574778087,-6.769502574778087
2024-02-15 22:00:00+00:00,2024-02-16 02:00:00+00:00,1320,120,240,8.783476833155017,8.033476833155017
2024-02-15 22:45:00+00:00,2024-02-16 02:45:00+00:00,1365,120,240,5.202357312606784,4.452357312606784
2024-02-22 22:30:00+00:00,2024-02-23 02:30:00+00:00,1350,120,240,1.1143392910647312,0.3643392910647312
2024-02-22 22:45:00+00:00,2024-02-23 02:45:00+00:00,1365,120,240,-0.7760799747899907,-1.5260799747899907
2024-02-29 22:00:00+00:00,2024-03-01 02:00:00+00:00,1320,120,240,4.245571622569401,3.4955716225694013
2024-02-29 22:15:00+00:00,2024-03-01 02:15:00+00:00,1335,120,240,1.9831913712522256,1.2331913712522256
2024-02-29 22:30:00+00:00,2024-03-01 02:30:00+00:00,1350,120,240,7.517437743864791,6.767437743864791
2024-02-29 22:45:00+00:00,2024-03-01 02:45:00+00:00,1365,120,240,10.764731880679772,10.014731880679772
