partition,timeframe,n,reversed_n,median_bars_to_reversal,median_bars_to_first_non_strong,reentered_strong_rate,median_return_to_reversal,median_mfe_to_reversal,median_mae_to_reversal,mean_strong_frac,mean_healthy_frac,mean_weakening_frac,survival_1,n_at_risk_1,survival_2,n_at_risk_2,survival_3,n_at_risk_3,survival_4,n_at_risk_4,survival_6,n_at_risk_6,survival_12,n_at_risk_12,survival_24,n_at_risk_24,survival_48,n_at_risk_48
august,15m,54,53,9.0,8.0,0.09259259259259259,-0.000793213810580673,0.0017212346243369314,-0.001438045637954355,0.8945427092711293,0.10545729072887064,0.0,0.9259259259259259,54,0.8301886792452831,53,0.7547169811320755,53,0.6981132075471698,53,0.5849056603773585,53,0.33962264150943394,53,0.1509433962264151,53,0.019230769230769232,52
august,1h,11,10,8.5,9.0,0.2727272727272727,0.0008208753728078388,0.008469489624142401,-0.004889744155967102,0.8360121142729838,0.16398788572701617,0.0,1.0,11,1.0,11,0.8181818181818182,11,0.7272727272727273,11,0.7272727272727273,11,0.45454545454545453,11,0.2727272727272727,11,0.0,10
august,4h,2,1,30.0,9.0,0.5,0.06403960662951458,0.07576875875908196,-0.004581315598069957,0.8833333333333333,0.11666666666666667,0.0,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,1,0.0,1
august,5m,145,144,9.0,7.0,0.19310344827586207,-0.0004924631390564871,0.001262911440323533,-0.0008549715009499304,0.8788840424034748,0.121115957596525,0.0,0.9379310344827586,145,0.8689655172413793,145,0.8344827586206897,145,0.7724137931034483,145,0.6482758620689655,145,0.3611111111111111,144,0.14084507042253522,142,0.014184397163120567,141
development,15m,2748,2748,7.0,6.0,0.12809315866084425,-0.0015055501311805886,0.0030823312171263106,-0.002776585111744667,0.913459505497818,0.08635854399272058,0.0001819505094614265,0.898471615720524,2748,0.7991266375545851,2748,0.7106986899563319,2748,0.6451965065502183,2748,0.527292576419214,2748,0.3042212518195051,2748,0.10189228529839883,2748,0.018195050946142648,2748
development,1h,603,603,8.0,6.0,0.15091210613598674,-0.003687973432868641,0.00855502358427862,-0.007215552198457487,0.8950572732088976,0.10488923083004761,5.349596105494035e-05,0.8988391376451078,603,0.8159203980099502,603,0.7114427860696517,603,0.6533996683250415,603,0.5505804311774462,603,0.3654485049833887,602,0.1478405315614618,602,0.018272425249169437,602
development,4h,135,135,11.0,7.0,0.17037037037037037,-0.007380205150718799,0.01917177914110435,-0.01610429447852757,0.8575919870728675,0.1424080129271324,0.0,0.8962962962962963,135,0.8222222222222222,135,0.7703703703703704,135,0.7185185185185186,135,0.6296296296296297,135,0.42962962962962964,135,0.17777777777777778,135,0.06666666666666667,135
development,5m,8628,8628,7.0,6.0,0.1169448307834956,-0.00089143991769014,0.0016369229951481712,-0.0014539288947080786,0.9252818102119363,0.07458347285918825,0.00013471692887548242,0.8931386184515531,8628,0.7949698655540102,8628,0.7103616133518776,8628,0.6396615669911915,8628,0.5213259156235512,8628,0.29369494668521096,8628,0.09388038942976357,8628,0.011126564673157162,8628
external,15m,1822,1822,8.0,7.0,0.14434687156970363,-0.0022214566098502364,0.005199571126293989,-0.003994259393300004,0.903053560982167,0.09694643901783288,0.0,0.9066959385290889,1822,0.8177826564215148,1822,0.7332601536772777,1822,0.6657519209659715,1822,0.557628979143798,1822,0.3397365532381998,1822,0.13172338090010977,1822,0.018660812294182216,1822
external,1h,397,397,10.0,9.0,0.181360201511335,-0.00414700378124222,0.012875420814926652,-0.009401565384323352,0.8846780449063353,0.11532195509366469,0.0,0.9193954659949622,397,0.8387909319899244,397,0.783375314861461,397,0.7128463476070529,397,0.6272040302267002,397,0.4393939393939394,396,0.17676767676767677,396,0.04040404040404041,396
