check,pass,detail
b27dq_long_n,True,227
b27dq_long_wr,True,0.7224669603524229
b27dq_long_pf,True,2.2537382795519254
b27dq_long_net,True,289.75971313529084
b27dt_portfolio_n,True,283
b27dt_long_n,True,227
b27dt_short20_n,True,56
b27dt_combined_net,True,367.48603546601095
candidate_order_trade_by_trade_parity,True,actual=283 expected=283 restarts=848
candidate_id_set_parity,True,283/283
duplicate_closed_bar_idempotent,True,"(1, 0)"
entry_not_active_before_ack,True,ENTRY_PENDING_ACK
restart_restores_entry_pending,True,ENTRY_PENDING_ACK
restart_restores_active,True,ACTIVE
floor_pending_not_active,True,"(100.0, None)"
floor_ack_activates_durably,True,100.0
out_of_order_fails_closed,True,OUT_OF_ORDER_CLOSED_BAR
authoritative_btc_lock_one_winner,True,"('A', 'LA')"
reconcile_adopts_exchange_open,True,ADOPTED_EXCHANGE_POSITION
reconcile_clears_stale_local,True,CLEARED_STALE_LOCAL
reconcile_side_mismatch_halts,True,HALT_SIDE_MISMATCH
exchange_stop_market_capability_present,True,baret_live conditional STOP_MARKET
