partition,complete_days,down_day_rate,mean_return_bp,median_return_bp,break_high_rate,break_low_rate,first_high_rate,first_low_rate,no_break_rate,setup_n,activation_n,activation_rate,wr,pf,expectancy,total_pnl
external,523,0.44550669216061184,9.948264838698345,11.168707413684587,0.33078393881453155,0.2294455066921606,0.32695984703632885,0.2198852772466539,0.45315487571701724,4,2,0.5,0.5,0.5920443355256614,-1.2530183176317515,-5.012073270527006
development,782,0.45524296675191817,8.255501325398754,8.435893657186,0.21739130434782608,0.1956521739130435,0.21483375959079284,0.1918158567774936,0.5933503836317136,7,1,0.14285714285714285,0.2857142857142857,0.8837772166539075,-0.13131669660689604,-0.9192168762482723
reference_validation,411,0.5012165450121655,4.587535805863095,-0.06666666666710341,0.20681265206812652,0.18491484184914841,0.20681265206812652,0.18004866180048662,0.6131386861313869,5,1,0.2,0.4,1.4312509067352677,0.47715390181637424,2.385769509081871
august,14,0.42857142857142855,9.566716907408814,9.723693048770965,0.21428571428571427,0.0,0.21428571428571427,0.0,0.7857142857142857,0,0,,,,,0.0
POOLED_MAJOR,1716,0.4632867132867133,7.892903125472491,6.405179240156489,0.2494172494172494,0.20337995337995338,0.24708624708624707,0.19755244755244755,0.5553613053613053,16,4,0.25,0.375,0.8621874766105315,-0.22159503985583784,-3.5455206376934054
