partition,regime,clock_block,obs_start,obs_end,fraction,entry_label,fill_ts,entry_price,H,L,R4,LOCAL_R,variant,stop_multiple,target_multiple,nominal_rr,stop_price,target_price,exit_ts,exit_price,exit_reason,gross_return,net_pnl_usd,win,hold_minutes
development,BEAR,08-12,2022-01-06 08:00:00+00:00,2022-01-06 12:00:00+00:00,0.1,F10,2022-01-06 09:50:00+00:00,42635.939000000006,43258.82,42566.73,692.0899999999965,69.20900000000256,S1_T1,1.0,1.0,1.0,42705.14800000001,42566.73,2022-01-06 09:50:00+00:00,42705.14800000001,STOP_FILL_BAR,-0.0016232549727590742,-1.211627486379537,False,0.0
development,BEAR,08-12,2022-01-06 08:00:00+00:00,2022-01-06 12:00:00+00:00,0.1,F10,2022-01-06 09:50:00+00:00,42635.939000000006,43258.82,42566.73,692.0899999999965,69.20900000000256,S1_T1_5,1.0,1.5,1.5,42705.14800000001,42532.1255,2022-01-06 09:50:00+00:00,42705.14800000001,STOP_FILL_BAR,-0.0016232549727590742,-1.211627486379537,False,0.0
development,BEAR,08-12,2022-01-06 08:00:00+00:00,2022-01-06 12:00:00+00:00,0.1,F10,2022-01-06 09:50:00+00:00,42635.939000000006,43258.82,42566.73,692.0899999999965,69.20900000000256,S1_T2,1.0,2.0,2.0,42705.14800000001,42497.521,2022-01-06 09:50:00+00:00,42705.14800000001,STOP_FILL_BAR,-0.0016232549727590742,-1.211627486379537,False,0.0
development,BEAR,08-12,2022-01-06 08:00:00+00:00,2022-01-06 12:00:00+00:00,0.1,F10,2022-01-06 09:50:00+00:00,42635.939000000006,43258.82,42566.73,692.0899999999965,69.20900000000256,S1_5_T1_5,1.5,1.5,1.0,42739.75250000001,42532.1255,2022-01-06 09:50:00+00:00,42739.75250000001,STOP_FILL_BAR,-0.0024348824591386114,-1.6174412295693057,False,0.0
development,BEAR,08-12,2022-01-06 08:00:00+00:00,2022-01-06 12:00:00+00:00,0.1,F10,2022-01-06 09:50:00+00:00,42635.939000000006,43258.82,42566.73,692.0899999999965,69.20900000000256,S1_5_T2,1.5,2.0,1.3333333333333333,42739.75250000001,42497.521,2022-01-06 09:50:00+00:00,42739.75250000001,STOP_FILL_BAR,-0.0024348824591386114,-1.6174412295693057,False,0.0
development,BEAR,08-12,2022-01-06 08:00:00+00:00,2022-01-06 12:00:00+00:00,0.1,F10,2022-01-06 09:50:00+00:00,42635.939000000006,43258.82,42566.73,692.0899999999965,69.20900000000256,S2_T2,2.0,2.0,1.0,42774.35700000001,42497.521,2022-01-06 09:50:00+00:00,42774.35700000001,STOP_FILL_BAR,-0.0032465099455181484,-2.0232549727590743,False,0.0
development,BEAR,00-04,2022-01-10 00:00:00+00:00,2022-01-10 04:00:00+00:00,0.05,F05,2022-01-10 00:35:00+00:00,41805.9425,42773.85,41755.0,1018.8499999999985,50.94249999999738,S1_T1,1.0,1.0,1.0,41856.884999999995,41755.0,2022-01-10 00:35:00+00:00,41856.884999999995,STOP_FILL_BAR,-0.001218546860891783,-1.0092734304458917,False,0.0
development,BEAR,00-04,2022-01-10 00:00:00+00:00,2022-01-10 04:00:00+00:00,0.05,F05,2022-01-10 00:35:00+00:00,41805.9425,42773.85,41755.0,1018.8499999999985,50.94249999999738,S1_T1_5,1.0,1.5,1.5,41856.884999999995,41729.52875,2022-01-10 00:35:00+00:00,41856.884999999995,STOP_FILL_BAR,-0.001218546860891783,-1.0092734304458917,False,0.0
development,BEAR,00-04,2022-01-10 00:00:00+00:00,2022-01-10 04:00:00+00:00,0.05,F05,2022-01-10 00:35:00+00:00,41805.9425,42773.85,41755.0,1018.8499999999985,50.94249999999738,S1_T2,1.0,2.0,2.0,41856.884999999995,41704.0575,2022-01-10 00:35:00+00:00,41856.884999999995,STOP_FILL_BAR,-0.001218546860891783,-1.0092734304458917,False,0.0
development,BEAR,00-04,2022-01-10 00:00:00+00:00,2022-01-10 04:00:00+00:00,0.05,F05,2022-01-10 00:35:00+00:00,41805.9425,42773.85,41755.0,1018.8499999999985,50.94249999999738,S1_5_T1_5,1.5,1.5,1.0,41882.35625,41729.52875,2022-01-10 00:35:00+00:00,41882.35625,STOP_FILL_BAR,-0.0018278202913377616,-1.3139101456688809,False,0.0
