partition,entry_tf,higher_tf,higher_state,exit_type,n,wr,pf,mean_ret,median_ret,median_mfe,median_mae,median_bars,max_losing_streak
august,1h,4h,NEUTRAL,FIRST_HARD_FAILURE,2,0.5,0.897718456415513,-0.00025666478304198215,-0.00025666478304198215,0.009398345225932636,-0.0054652989908230976,31.0,1
august,1h,4h,NEUTRAL,FIRST_SOFT_FAILURE,2,0.0,0.0,-0.0016638127140240488,-0.0016638127140240488,0.005427206380378746,-0.004459853787970147,14.5,2
august,1h,4h,STRONG_BULL,FIRST_HARD_FAILURE,3,0.3333333333333333,19.592879106816902,0.0381811118356827,-0.0015983443739201464,0.004873774459027924,-0.005524429487563154,29.0,2
august,1h,4h,STRONG_BULL,FIRST_SOFT_FAILURE,3,0.0,0.0,-0.0026216064548650144,-0.0018245962946423777,0.0033999464138880775,-0.003512616415842218,9.0,3
august,5m,1h,NEUTRAL,FIRST_HARD_FAILURE,22,0.36363636363636365,6.1110515615586465,0.0038648833871409312,-0.0005237955023713603,0.0018481905263608711,-0.001012008337105852,14.5,4
august,5m,1h,NEUTRAL,FIRST_SOFT_FAILURE,29,0.3448275862068966,4.9606967795623715,0.00209051783548673,-0.00038415765202848284,0.0008517847330575812,-0.000583892638294059,7.0,5
august,5m,1h,STRONG_BEAR,FIRST_HARD_FAILURE,2,0.0,0.0,-0.0003241701843060274,-0.0003241701843060274,0.0022327421891732424,-0.0006051233523302058,20.5,2
august,5m,1h,STRONG_BEAR,FIRST_SOFT_FAILURE,2,1.0,inf,0.0007062948620669696,0.0007062948620669696,0.0022327421891732424,-0.000253828714491533,18.0,0
august,5m,1h,STRONG_BULL,FIRST_HARD_FAILURE,16,0.25,4.144770259787794,0.004893959912471442,-0.001482824866567145,0.0022998258198780874,-0.0019270033231072459,12.5,9
august,5m,1h,STRONG_BULL,FIRST_SOFT_FAILURE,20,0.3,3.3401233382051103,0.0028444137428245255,-0.0010424548113334153,0.0016067911834531934,-0.0017626985519201277,9.5,8
development,1h,4h,NEUTRAL,FIRST_HARD_FAILURE,113,0.3008849557522124,1.975211448648555,0.006219967398395084,-0.004864448304956581,0.011344771761470529,-0.009139867149142944,15.0,13
development,1h,4h,NEUTRAL,FIRST_SOFT_FAILURE,139,0.3237410071942446,1.311366222838072,0.0016096209571191057,-0.00372085274169931,0.009486029665401796,-0.007345972352008179,8.0,13
development,1h,4h,STRONG_BULL,FIRST_HARD_FAILURE,64,0.328125,2.7886965258067407,0.010930745482452946,-0.004881385037115216,0.012939278699809376,-0.007870759927155802,20.0,14
development,1h,4h,STRONG_BULL,FIRST_SOFT_FAILURE,73,0.3698630136986301,2.4638362700075707,0.006655672040488271,-0.002143464105330617,0.009324941335382197,-0.00536623093889943,9.0,10
development,5m,1h,NEUTRAL,FIRST_HARD_FAILURE,1522,0.22601839684625494,0.948682543598044,-9.447748704607447e-05,-0.0013173113560608352,0.0019179608999236875,-0.0019142205192617112,12.0,20
development,5m,1h,NEUTRAL,FIRST_SOFT_FAILURE,1789,0.24482951369480158,0.9773893273480955,-2.864178375273852e-05,-0.0008934355994899557,0.0014192020557435292,-0.0013855478013991007,6.0,24
development,5m,1h,STRONG_BEAR,FIRST_HARD_FAILURE,268,0.22014925373134328,0.9985014631276545,-2.6069104997393904e-06,-0.0014961721602466116,0.0020030579701387774,-0.0020736402812927546,11.0,18
