entry_fraction,ttl,external_fills,development_fills,external_pf,development_pf,external_exp,development_exp,min_pf,pooled_dev_exp,min_fills,dev_eligible,selected_primary,reference_pass
F50,T15,5,32,0.6130387188663522,0.8062431581233483,-1.0095916251890322,-0.4068411834052134,0.6130387188663522,-0.4882939458084322,5,False,False,False
F50,T30,9,43,0.774978156411883,0.8689502086592809,-0.4641971018836997,-0.25595401522097594,0.774978156411883,-0.2919960879126013,9,False,False,False
F50,T45,11,47,0.9211520861827351,0.708742594025775,-0.13308152767398368,-0.6380864847676792,0.708742594025775,-0.542309682560254,11,False,False,False
F50,T60,13,51,1.5231243498003153,0.6329747802263008,0.7471053370675178,-0.8297137458528374,0.6329747802263008,-0.5094223696346404,13,False,False,False
F50,T90,14,54,1.7832309282308207,0.5478100964025509,1.038680667852739,-1.1155422661611554,0.5478100964025509,-0.6720257797465296,14,False,False,False
F50,FULL,17,62,1.9609850750860005,0.6401497475245198,1.0888153780943166,-0.8706527595669952,0.6401497475245198,-0.4489950590575988,17,False,False,False
F60,T15,8,47,0.685310513708996,0.6017104902141298,-0.6983379243795759,-0.9666323415417599,0.6017104902141298,-0.9276076990454424,8,False,False,False
F60,T30,13,58,1.0820837040692706,0.7347414272190425,0.12681146556254427,-0.5957052315790684,0.7347414272190425,-0.46341344196158984,13,False,False,False
F60,T45,16,66,1.4344080715245942,0.6374835087872417,0.5759647054504854,-0.8736976064227608,0.6374835087872417,-0.5908366675206641,16,False,False,False
F60,T60,18,66,1.621590407283839,0.6374835087872417,0.7325710737793427,-0.8736976064227608,0.6374835087872417,-0.5294971749508817,18,False,False,False
F60,T90,19,70,1.9120379334331612,0.7194049732385462,1.018303575294091,-0.6652916200713547,0.7194049732385462,-0.30587242106075385,19,False,False,False
F60,FULL,21,75,1.9385267170815739,0.642736113046192,0.948080716147903,-0.8849092056840264,0.642736113046192,-0.48394266028329175,21,False,False,False
F65,T15,9,51,0.5519504070586585,0.5818872725530573,-0.9516456407346152,-0.9977432769485157,0.5519504070586585,-0.990828631516431,9,False,False,False
F65,T30,14,68,1.040069954884443,0.6558642038934641,0.06371168943205278,-0.7865448527988554,0.6558642038934641,-0.6413791016862612,14,False,False,False
F65,T45,17,76,1.3465463298743134,0.5595634414753267,0.4815717969763175,-1.0650910404203529,0.5595634414753267,-0.7823677260575206,17,False,False,False
F65,T60,19,77,1.6870833117109296,0.6294447134178239,0.8542883062588205,-0.8844621485792374,0.6294447134178239,-0.5403344543925381,19,False,False,False
F65,T90,21,80,1.9492072351316305,0.6450923449653717,1.0678012071352097,-0.8392759603263376,0.6450923449653717,-0.4427549651115601,21,False,False,False
F65,FULL,24,82,2.011255383643935,0.6603937485553775,1.0575904394186189,-0.8129451514966067,0.6603937485553775,-0.38942765921391403,24,False,False,False
F70,T15,14,63,1.2629278477395132,0.5305929518571062,0.38454934577268357,-1.095633751827148,0.5305929518571062,-0.8265095522635424,14,False,False,False
F70,T30,20,76,1.5617774842322654,0.6523906433447526,0.686249774938261,-0.7505887815728294,0.6523906433447526,-0.45124741563301907,20,False,False,False
F70,T45,26,83,2.2015081865608725,0.5285004457868794,1.2028156952685207,-1.1585165261041177,0.5285004457868794,-0.5952629687124792,26,False,False,False
F70,T60,27,84,2.4383008833305686,0.5421992132069217,1.3865377021121783,-1.1114662708838159,0.5421992132069217,-0.5038436828577633,27,False,False,False
F70,T90,29,84,2.349145707879064,0.5421992132069217,1.2783847330936815,-1.1114662708838159,0.5421992132069217,-0.4981416769426882,29,False,False,False
F70,FULL,31,86,2.3122932392883055,0.5530817724396591,1.2502128538877741,-1.0993968268289653,0.5530817724396591,-0.4768506721091453,31,False,False,False
F75,T15,22,79,1.365738691168291,0.5245818761226604,0.4006956950766403,-0.9934385191459535,0.5245818761226604,-0.6897657200083588,22,False,False,False
F75,T30,30,92,1.8220766627443497,0.5205682590700746,0.7910186528666525,-1.048990232354027,0.5205682590700746,-0.5965290310702535,30,False,False,False
F75,T45,34,96,2.2593325337102304,0.5029304749733112,1.0691956074078675,-1.1424459376764424,0.5029304749733112,-0.564016610500546,34,False,False,False
F75,T60,35,99,2.30343693941121,0.5031597757655792,1.0750227132634804,-1.1480908917108137,0.5031597757655792,-0.5674268904115578,35,False,False,False
F75,T90,37,99,2.1646533857457975,0.5031597757655792,1.0111507138828513,-1.1480908917108137,0.5031597757655792,-0.5606501607772432,37,False,False,False
F75,FULL,40,99,2.062864606101013,0.5031597757655792,0.9064924132379584,-1.1480908917108137,0.5031597757655792,-0.5568438974809512,40,False,False,False
F80,T15,33,98,1.9372740309133918,0.4927288426781212,0.6915187737847217,-1.011750016040447,0.4927288426781212,-0.5826823056264729,33,False,False,False
F80,T30,39,104,2.3373357328654163,0.5235522410851268,0.8528248679873232,-0.9285095438202278,0.5235522410851268,-0.44269106787271406,39,False,False,False
F80,T45,43,107,2.170110674447004,0.4734268931932499,0.7979526840412394,-1.1096715134491255,0.4734268931932499,-0.5628192435018875,43,False,False,False
F80,T60,43,109,2.170110674447004,0.4809764898715002,0.7979526840412394,-1.0736928784320823,0.4809764898715002,-0.544214199574498,43,False,False,False
F80,T90,43,109,2.170110674447004,0.4809764898715002,0.7979526840412394,-1.0736928784320823,0.4809764898715002,-0.544214199574498,43,False,False,False
F80,FULL,45,110,2.0990966403648716,0.48014431230494614,0.7473144272244109,-1.0674848366198375,0.48014431230494614,-0.5406076309876365,45,False,False,False
