target_name,stop_name,partition,n,tp_count,tp_rate,close_invalidation_count,time_exit_count,wr,pf,expectancy,total_pnl,median_winner,median_loser,median_hold_minutes,h2_before_exit_rate
E10,D30,external,50,28,0.56,14,8,0.58,1.098695962630066,0.1389224492815499,6.946122464077495,2.2951782741314015,-3.6219190541155233,47.5,0.7
E10,D30,development,79,46,0.5822784810126582,31,2,0.5822784810126582,0.6678776278700321,-0.46933030235379936,-37.07709388595015,1.3043057302194765,-3.1464296771711595,25.0,0.6329113924050633
E10,D30,reference_validation,34,18,0.5294117647058824,14,2,0.5588235294117647,0.5492738189369897,-0.6414194680421503,-21.80826191343311,1.2062909882438984,-2.67983527168457,30.0,0.6470588235294118
E10,D30,august,1,0,0.0,1,0,0.0,0.0,-1.4649037538286347,-1.4649037538286347,,-1.4649037538286347,30.0,1.0
E10,D40,external,50,30,0.6,10,10,0.62,1.3076516911786666,0.39791102647197485,19.895551323598742,2.7077761090342083,-3.811476961443652,55.0,0.74
E10,D40,development,79,48,0.6075949367088608,28,3,0.6075949367088608,0.6245633519649535,-0.5877831454403645,-46.4348684897888,1.3043057302194765,-3.5005359297399425,30.0,0.6582278481012658
E10,D40,reference_validation,34,19,0.5588235294117647,13,2,0.5882352941176471,0.5436095057506616,-0.6770056729662873,-23.018192880853768,1.2057486012827618,-3.0567087045411796,35.0,0.6470588235294118
E10,D40,august,1,1,1.0,0,0,1.0,inf,0.4362167406718698,0.4362167406718698,0.4362167406718698,,45.0,1.0
E10,D50,external,50,30,0.6,6,14,0.62,1.2671382450188715,0.356558518416403,17.82792592082015,2.7077761090342083,-3.1471552413881683,55.0,0.74
E10,D50,development,79,51,0.6455696202531646,21,7,0.6455696202531646,0.670432231667107,-0.5118915231697745,-40.439430330412186,1.3089270319062618,-3.6610507414427635,35.0,0.6962025316455697
E10,D50,reference_validation,34,20,0.5882352941176471,11,3,0.6176470588235294,0.548020624237428,-0.7200640880903407,-24.482178995071585,1.2062909882438984,-3.386012832782592,42.5,0.6764705882352942
E10,D50,august,1,1,1.0,0,0,1.0,inf,0.4362167406718698,0.4362167406718698,0.4362167406718698,,45.0,1.0
E10,D60,external,50,30,0.6,6,14,0.62,1.2313635645824457,0.31778062504568316,15.889031252284159,2.7077761090342083,-3.1471552413881683,60.0,0.74
E10,D60,development,79,52,0.6582278481012658,19,8,0.6582278481012658,0.6210429446535367,-0.6487128072688639,-51.24831177424025,1.3180746317668792,-4.241180837189917,40.0,0.7088607594936709
