motif,lead_feature,current_feature,lag_min,partition,side,lead_bucket,current_bucket,n,long_rate,short_rate,D,none_rate,ambiguous_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
A1_OI_to_TakerBuy,oi_chg_15m,taker_imb_15m,15,development,LEFT,HIGH,HIGH,8665,0.4146566647432198,0.4407386035776111,-0.02608193883439125,0.1439122908251587,0.0006924408540103866,-1.988137446573557e-05,0.010200296735904946,-0.010598009352928539
A1_OI_to_TakerBuy,oi_chg_15m,taker_imb_15m,15,development,RIGHT,LOW,HIGH,6516,0.4145181092694905,0.4340085942295887,-0.019490484960098198,0.1505524861878453,0.0009208103130755065,0.00027439402866358265,0.010229588984379867,-0.010462672632934933
A1_OI_to_TakerBuy,oi_chg_15m,taker_imb_15m,15,validation_2025,LEFT,HIGH,HIGH,5178,0.40884511394360756,0.4248744689069139,-0.01602935496330632,0.1657010428736964,0.0005793742757821553,8.310064591166011e-05,0.009542178917760546,-0.009769739105896236
A1_OI_to_TakerBuy,oi_chg_15m,taker_imb_15m,15,validation_2025,RIGHT,LOW,HIGH,2678,0.38536221060492903,0.45182972367438384,-0.06646751306945481,0.16206123973114264,0.0007468259895444362,-0.00036477136265467003,0.008906412652544327,-0.010571396851660197
A1_OI_to_TakerBuy,oi_chg_15m,taker_imb_15m,15,validation_2026,LEFT,HIGH,HIGH,3149,0.3378850428707526,0.35344553826611624,-0.015560495395363638,0.3080342966020959,0.0006351222610352493,-0.0003450357974640328,0.007165145036403642,-0.007673987827467532
A1_OI_to_TakerBuy,oi_chg_15m,taker_imb_15m,15,validation_2026,RIGHT,LOW,HIGH,1794,0.3221850613154961,0.3500557413600892,-0.027870680044593088,0.3272017837235229,0.0005574136008918618,0.00029274913405341607,0.007053136707456886,-0.00748396427483855
A1_OI_to_TakerBuy,oi_chg_15m,taker_imb_15m,30,development,LEFT,HIGH,HIGH,7271,0.41727410259936737,0.43350295695227614,-0.016228854352908773,0.14798514647228717,0.0012377939760693166,-8.987148377825882e-05,0.010272346084431394,-0.010437369025890653
A1_OI_to_TakerBuy,oi_chg_15m,taker_imb_15m,30,development,RIGHT,LOW,HIGH,8151,0.40976567292356764,0.43786038522880627,-0.028094712305238634,0.15188320451478346,0.000490737332842596,0.00024163587487291416,0.010139359356173383,-0.010548616321666482
A1_OI_to_TakerBuy,oi_chg_15m,taker_imb_15m,30,validation_2025,LEFT,HIGH,HIGH,3699,0.3914571505812382,0.43930792105974587,-0.047850770478507665,0.16842389835090565,0.0008110300081103001,0.00010185373803217601,0.009406705637304169,-0.009973338599782666
A1_OI_to_TakerBuy,oi_chg_15m,taker_imb_15m,30,validation_2025,RIGHT,LOW,HIGH,4185,0.404778972520908,0.42962962962962964,-0.02485065710872164,0.16535244922341696,0.00023894862604540023,-0.0001770015930143698,0.009426277202373878,-0.010063559322033733
