scope,name,k1_n,low_break_n,low_break_rate,break_after1_n,break_after2_n,break_after3_n,break_after4p_n,break_after1_share,break_after2_share,break_after3_share,break_after4p_share,genuine_l2_n,low_break_after_l2_n,low_break_after_l2_rate
PARTITION,external,862,568,0.6589327146171694,420,114,29,5,0.7394366197183099,0.2007042253521127,0.051056338028169015,0.008802816901408451,201,148,0.736318407960199
PARTITION,development,1264,893,0.7064873417721519,657,173,52,11,0.7357222844344905,0.1937290033594625,0.05823068309070549,0.012318029115341545,340,236,0.6941176470588235
PARTITION,reference_validation,641,503,0.7847113884555382,393,95,14,1,0.7813121272365805,0.18886679920477137,0.027833001988071572,0.0019880715705765406,137,110,0.8029197080291971
REGIME,BULL,1146,806,0.7033158813263525,609,154,39,4,0.7555831265508685,0.19106699751861042,0.04838709677419355,0.004962779156327543,274,197,0.718978102189781
REGIME,BEAR,1122,811,0.7228163992869875,615,152,35,9,0.7583230579531443,0.187422934648582,0.04315659679408138,0.011097410604192354,274,196,0.7153284671532847
REGIME,SIDEWAYS,499,347,0.6953907815631263,246,76,21,4,0.7089337175792507,0.21902017291066284,0.06051873198847262,0.011527377521613832,130,101,0.7769230769230769
CLOCK,00-04,444,320,0.7207207207207207,240,63,16,1,0.75,0.196875,0.05,0.003125,99,80,0.8080808080808081
CLOCK,04-08,455,329,0.7230769230769231,242,68,16,3,0.7355623100303952,0.2066869300911854,0.0486322188449848,0.00911854103343465,115,87,0.7565217391304347
CLOCK,08-12,476,324,0.680672268907563,250,54,18,2,0.7716049382716049,0.16666666666666666,0.05555555555555555,0.006172839506172839,109,74,0.6788990825688074
CLOCK,12-16,557,403,0.7235188509874326,292,86,23,2,0.7245657568238213,0.21339950372208435,0.05707196029776675,0.004962779156327543,153,111,0.7254901960784313
CLOCK,16-20,461,334,0.7245119305856833,251,68,8,7,0.7514970059880239,0.20359281437125748,0.023952095808383235,0.020958083832335328,111,83,0.7477477477477478
CLOCK,20-00,374,254,0.679144385026738,195,43,14,2,0.7677165354330708,0.16929133858267717,0.05511811023622047,0.007874015748031496,91,59,0.6483516483516484
