action,L_to_W,FBH_L_to_W,W_to_W,W_to_L,net_wins,wr_50,triggered_total,triggered_baseline_winners,triggered_baseline_losers,repair_reentries,trade_legs,avg_net_return,total_pnl_usd_500,profit_factor,rank
BASELINE,0,0,25,0,25,0.5,0,0,0,0,50,0.0011135066406649085,27.837666016622716,1.342245440960338,0
T05_EXIT_REENTER_FRESH_MICROHL,2,2,23,2,25,0.5,31,9,22,31,81,-0.0005434144517873285,-13.585361294683219,0.8690464063185726,1
T20_EXIT_REENTER_FRESH_MICROHL,1,1,24,1,25,0.5,19,4,15,19,69,0.0003082377527589204,7.705943818973008,1.0809078694562557,2
T15_EXIT_REENTER_FRESH_MICROHL,1,1,24,1,25,0.5,23,5,18,23,73,0.00015119596772281566,3.7798991930703814,1.0385503368502231,3
T10_EXIT_REENTER_FRESH_MICROHL,1,1,24,1,25,0.5,27,6,21,27,77,8.395766776266734e-05,2.0989416940666743,1.021312694934027,4
