utc_date,anchor,anchor_kind,session,anchor_ts,frozen_high,frozen_low,side,direction,reclaim_ts,entry_ts,entry_wib,session_close_ts,session_close_ret,entry_price,sl_price,tp_price,risk_pct,outcome,decisive_win,raw_ret,net_ret,pnl,net_positive,ret60,mfe60,mae60,ret120,mfe120,mae120,ret240,mfe240,mae240
2026-08-01,ASIA_CLOSE,CLOSE,ASIA,2026-08-01 08:00:00+00:00,63118.7,62859.8,HIGH,SHORT,2026-08-01 08:45:00+00:00,2026-08-01 09:00:00+00:00,2026-08-01 16:00:00+00:00,,,63097.4,63126.6,63068.200000000004,0.00046277659618299786,TP,1,0.00046277659618299786,-0.0010372234038170023,-0.5186117019085011,0,0.0012044870311613473,0.0013201811802071545,0.0002218791899507745,0.0010824534766884675,0.0022330555617188896,0.0002218791899507745,0.0004516826366855053,0.0022330555617188896,0.0002218791899507745
2026-08-01,LONDON_CLOSE,CLOSE,LONDON,2026-08-01 16:00:00+00:00,63126.6,62859.8,LOW,LONG,2026-08-01 16:45:00+00:00,2026-08-01 17:00:00+00:00,2026-08-02 00:00:00+00:00,,,62899.9,62838.8,62961.0,0.000971384692185497,TP,1,0.000971384692185497,-0.000528615307814503,-0.2643076539072515,0,-0.0034324378894084323,0.001106520042162206,0.004238480506328286,-0.00552306124493046,0.001106520042162206,0.01066933333757285,-0.0042623279210300576,0.001106520042162206,0.01066933333757285
2026-08-02,NEW_YORK_CLOSE,CLOSE,NEW_YORK,2026-08-02 22:00:00+00:00,63774.6,62782.3,HIGH,SHORT,2026-08-02 22:00:00+00:00,2026-08-02 22:15:00+00:00,2026-08-03 05:15:00+00:00,,,63675.0,63779.0,63571.0,0.0016332940714566156,TP,1,0.0016332940714566156,0.00013329407145661553,0.06664703572830777,1,0.00527522575579115,0.005791912053396198,0.001485669414998014,0.0043015312131920135,0.005791912053396198,0.001485669414998014,0.0077738515901060075,0.009218688653317628,0.001485669414998014
2026-08-03,ASIA_CLOSE,CLOSE,ASIA,2026-08-03 08:00:00+00:00,63575.6,62520.0,LOW,LONG,2026-08-03 08:00:00+00:00,2026-08-03 08:15:00+00:00,2026-08-03 15:15:00+00:00,,,62543.9,62485.7,62602.100000000006,0.0009305463842197939,SL,0,-0.0009305463842197939,-0.002430546384219794,-1.215273192109897,0,-1.7587646437119284e-05,0.0005963811019139458,0.0044081037479275255,0.0034743596098099996,0.004835003893265394,0.0044081037479275255,-0.0003021877433291089,0.004835003893265394,0.0044081037479275255
2026-08-03,LONDON_OPEN,OPEN,LONDON,2026-08-03 07:00:00+00:00,63575.6,62576.2,LOW,LONG,2026-08-03 07:15:00+00:00,2026-08-03 07:30:00+00:00,2026-08-03 14:30:00+00:00,2026-08-03 16:00:00+00:00,0.01669916743726231,62613.9,62520.0,62707.8,0.0014996670068467457,SL,0,-0.0014996670068467457,-0.0029996670068467455,-1.4998335034233727,0,-0.00490146756550864,0.00092152062082057,0.005126657179955249,9.74224573137681e-05,0.00092152062082057,0.005521138277602966,0.0009327002470697634,0.0037116359147090572,0.005521138277602966
2026-08-03,LONDON_CLOSE,CLOSE,LONDON,2026-08-03 16:00:00+00:00,63960.0,62268.2,HIGH,SHORT,2026-08-03 17:15:00+00:00,2026-08-03 17:30:00+00:00,2026-08-04 00:30:00+00:00,,,63792.1,64049.5,63534.7,0.004034982388101371,SL,0,-0.004034982388101371,-0.005534982388101371,-2.7674911940506854,0,-0.0004028712019200554,0.0005439545022032053,0.0028373419279189745,-0.0022040346688696334,0.0008950951606860183,0.0029392354225679985,0.0014766718762981167,0.0021491689409816974,0.004180768465060789
2026-08-04,NEW_YORK_CLOSE,CLOSE,NEW_YORK,2026-08-04 22:00:00+00:00,64397.6,63290.2,HIGH,SHORT,2026-08-04 23:00:00+00:00,2026-08-04 23:15:00+00:00,2026-08-05 06:15:00+00:00,,,64396.1,64454.5,64337.7,0.0009068872183253559,SL,0,-0.0009068872183253559,-0.002406887218325356,-1.203443609162678,0,0.006149440727000548,0.006453806985205603,0.0018137744366507119,0.00639324431137906,0.007438338657154704,0.0018137744366507119,0.0010994454633121516,0.007438338657154704,0.0018137744366507119
2026-08-05,LONDON_CLOSE,CLOSE,LONDON,2026-08-05 16:00:00+00:00,64728.5,63847.0,HIGH,SHORT,2026-08-05 16:15:00+00:00,2026-08-05 16:30:00+00:00,2026-08-05 23:30:00+00:00,,,64719.9,64740.5,64699.3,0.0003182946821611057,TP,1,0.0003182946821611057,-0.0011817053178388944,-0.5908526589194473,0,0.00224196885347472,0.0033003759276512873,0.00018541437795793875,0.00041872747022165586,0.0033003759276512873,0.001013598599503376,-0.0036650242043018777,0.0033003759276512873,0.004667806965091085
2026-08-05,NEW_YORK_OPEN,OPEN,NEW_YORK,2026-08-05 13:00:00+00:00,64575.2,63917.1,LOW,LONG,2026-08-05 13:30:00+00:00,2026-08-05 13:45:00+00:00,2026-08-05 20:45:00+00:00,2026-08-05 22:00:00+00:00,0.008712229856962949,64151.2,63847.0,64455.399999999994,0.004741922208781708,TP,1,0.004741922208781708,0.003241922208781708,1.620961104390854,1,0.003731808602177379,0.006194739926922668,0.0022478145381535667,0.005772300440210049,0.008999052239085207,0.0022478145381535667,0.00800140917083395,0.009186110314382318,0.0022478145381535667
2026-08-06,NEW_YORK_OPEN,OPEN,NEW_YORK,2026-08-06 13:00:00+00:00,64971.7,64360.2,LOW,LONG,2026-08-06 13:30:00+00:00,2026-08-06 13:45:00+00:00,2026-08-06 20:45:00+00:00,2026-08-06 22:00:00+00:00,0.00056232485600141,64375.6,64143.0,64608.2,0.003613170207345618,TP,1,0.003613170207345618,0.002113170207345618,1.056585103672809,1,0.0063611057605676685,0.006796053162999646,0.0006617414051286286,0.0054213086945985745,0.00910904131378972,0.0006617414051286286,0.003018224296161945,0.00910904131378972,0.0006617414051286286
