partition,session,variant,session_open_ts,or_high,or_low,side,sweep_ts,sweep_extreme,bos_ts,bos_level,bos_level_ts,fvg_mid,retest_ts,entry_ts,entry_px,stop_px,target_px,risk_pct,exit_reason,exit_ts,exit_px,gross_return,gross_pnl_usd,net_pnl_usd,hold_minutes
external,NYSE_0930,V1_STRUCTURE_RETEST,2020-01-22 14:30:00+00:00,8670.12,8653.87,LONG,2020-01-22 15:05:00+00:00,8651.0,2020-01-22 15:20:00+00:00,8663.0,2020-01-22 14:55:00+00:00,,2020-01-22 15:30:00+00:00,2020-01-22 15:35:00+00:00,8663.41,8651.0,8688.23,0.0014324613518233414,SL,2020-01-22 16:30:00+00:00,8651.0,-0.0014324613518232887,-0.7162306759116444,-1.1162306759116443,55.0
external,NYSE_0930,V1_STRUCTURE_RETEST,2020-01-29 14:30:00+00:00,9345.97,9322.57,SHORT,2020-01-29 14:55:00+00:00,9346.63,2020-01-29 15:00:00+00:00,9326.17,2020-01-29 14:45:00+00:00,,2020-01-29 15:05:00+00:00,2020-01-29 15:10:00+00:00,9313.76,9346.63,9248.020000000002,0.0035291869234336058,SL,2020-01-29 16:10:00+00:00,9346.63,-0.003529186923433514,-1.764593461716757,-2.164593461716757,60.0
external,NYSE_0930,V1_STRUCTURE_RETEST,2020-02-13 14:30:00+00:00,10318.96,10252.93,LONG,2020-02-13 15:10:00+00:00,10203.87,2020-02-13 15:15:00+00:00,10270.0,2020-02-13 15:00:00+00:00,,2020-02-13 15:35:00+00:00,2020-02-13 15:40:00+00:00,10285.0,10203.87,10447.259999999998,0.007888186679630453,SL,2020-02-13 16:40:00+00:00,10203.87,-0.007888186679630427,-3.9440933398152134,-4.344093339815213,60.0
external,NYSE_0930,V1_STRUCTURE_RETEST,2020-03-31 13:30:00+00:00,6449.71,6416.0,LONG,2020-03-31 14:00:00+00:00,6411.15,2020-03-31 14:10:00+00:00,6445.22,2020-03-31 13:40:00+00:00,,2020-03-31 14:15:00+00:00,2020-03-31 14:20:00+00:00,6458.03,6411.15,6551.79,0.007259179656954227,SL,2020-03-31 16:35:00+00:00,6411.15,-0.007259179656954218,-3.629589828477109,-4.029589828477109,135.0
external,NYSE_0930,V1_STRUCTURE_RETEST,2020-04-10 13:30:00+00:00,6903.07,6799.68,SHORT,2020-04-10 14:10:00+00:00,6906.75,2020-04-10 14:15:00+00:00,6887.89,2020-04-10 14:00:00+00:00,,2020-04-10 14:25:00+00:00,2020-04-10 14:30:00+00:00,6867.9,6906.75,6790.199999999999,0.005656750971912865,TP_2R,2020-04-10 15:15:00+00:00,6790.199999999999,0.011313501943825743,5.656750971912872,5.256750971912871,45.0
external,NYSE_0930,V1_STRUCTURE_RETEST,2020-04-27 13:30:00+00:00,7688.0,7623.98,SHORT,2020-04-27 14:00:00+00:00,7691.68,2020-04-27 14:25:00+00:00,7670.0,2020-04-27 13:45:00+00:00,,2020-04-27 14:35:00+00:00,2020-04-27 14:40:00+00:00,7657.46,7691.68,7589.0199999999995,0.0044688447605342055,SL,2020-04-27 15:45:00+00:00,7691.68,-0.0044688447605341075,-2.2344223802670538,-2.6344223802670537,65.0
external,NYSE_0930,V1_STRUCTURE_RETEST,2020-05-15 13:30:00+00:00,9579.92,9533.56,LONG,2020-05-15 13:50:00+00:00,9533.13,2020-05-15 14:00:00+00:00,9564.15,2020-05-15 13:40:00+00:00,,2020-05-15 14:10:00+00:00,2020-05-15 14:15:00+00:00,9584.99,9533.13,9688.710000000001,0.0054105429426635375,SL,2020-05-15 15:00:00+00:00,9533.13,-0.005410542942663521,-2.7052714713317605,-3.1052714713317604,45.0
external,NYSE_0930,V1_STRUCTURE_RETEST,2020-06-01 13:30:00+00:00,9566.4,9550.08,LONG,2020-06-01 14:00:00+00:00,9545.9,2020-06-01 14:30:00+00:00,9566.47,2020-06-01 13:45:00+00:00,,2020-06-01 14:35:00+00:00,2020-06-01 14:40:00+00:00,9568.98,9545.9,9615.14,0.002411960313429428,SL,2020-06-01 14:50:00+00:00,9545.9,-0.0024119603134293843,-1.2059801567146922,-1.605980156714692,10.0
external,NYSE_0930,V1_STRUCTURE_RETEST,2020-06-09 13:30:00+00:00,9716.74,9670.0,SHORT,2020-06-09 13:55:00+00:00,9719.19,2020-06-09 14:15:00+00:00,9691.0,2020-06-09 13:45:00+00:00,,2020-06-09 14:20:00+00:00,2020-06-09 14:25:00+00:00,9686.37,9719.19,9620.730000000001,0.0033882661925984355,SL,2020-06-09 14:45:00+00:00,9719.19,-0.003388266192598355,-1.6941330962991774,-2.0941330962991773,20.0
external,NYSE_0930,V1_STRUCTURE_RETEST,2020-07-06 13:30:00+00:00,9259.0,9236.0,SHORT,2020-07-06 13:55:00+00:00,9260.0,2020-07-06 14:05:00+00:00,9236.0,2020-07-06 13:40:00+00:00,,2020-07-06 14:10:00+00:00,2020-07-06 14:15:00+00:00,9233.97,9260.0,9181.909999999998,0.0028189391994993115,SL,2020-07-06 15:15:00+00:00,9260.0,-0.0028189391994992707,-1.4094695997496354,-1.8094695997496353,60.0
