partition,regime,clock_block,obs_start,obs_end,H,L,range,k1_start,k1_complete,low_visits_before_terminal,low_break,break_side,break_ts,genuine_l2,l2_ts,low_break_after_l2,clean_leave,leave_complete,eligible_start,first_return_type,first_return_ts
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,47469.46,46815.75,653.7099999999991,2022-01-03 03:35:00+00:00,2022-01-03 03:40:00+00:00,1,True,LOW,2022-01-03 03:45:00+00:00,False,,False,False,,,BLOCK_END,
development,BEAR,16-20,2022-01-03 16:00:00+00:00,2022-01-03 20:00:00+00:00,47575.22,46560.0,1015.2200000000012,2022-01-03 16:05:00+00:00,2022-01-03 16:10:00+00:00,1,True,LOW,2022-01-03 16:20:00+00:00,False,,False,True,2022-01-03 16:15:00+00:00,2022-01-03 16:15:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-01-03 16:15:00+00:00
development,BEAR,00-04,2022-01-05 00:00:00+00:00,2022-01-05 04:00:00+00:00,46430.38,45750.0,680.3799999999974,2022-01-05 00:00:00+00:00,2022-01-05 00:05:00+00:00,1,False,HIGH,2022-01-05 03:15:00+00:00,False,,False,True,2022-01-05 00:15:00+00:00,2022-01-05 00:15:00+00:00,OPPOSITE_HIGH_BREAK,2022-01-05 03:10:00+00:00
development,BEAR,08-12,2022-01-06 08:00:00+00:00,2022-01-06 12:00:00+00:00,43258.82,42566.73,692.0899999999965,2022-01-06 09:35:00+00:00,2022-01-06 09:40:00+00:00,3,False,NONE,,True,2022-01-06 09:55:00+00:00,False,True,2022-01-06 09:45:00+00:00,2022-01-06 09:45:00+00:00,GENUINE_L2,2022-01-06 09:55:00+00:00
development,BEAR,12-16,2022-01-07 12:00:00+00:00,2022-01-07 16:00:00+00:00,42960.0,41601.96,1358.0400000000009,2022-01-07 13:35:00+00:00,2022-01-07 13:40:00+00:00,1,True,LOW,2022-01-07 13:45:00+00:00,False,,False,False,,,BLOCK_END,
development,BEAR,16-20,2022-01-08 16:00:00+00:00,2022-01-08 20:00:00+00:00,42040.23,41300.0,740.2300000000032,2022-01-08 16:30:00+00:00,2022-01-08 16:35:00+00:00,2,True,LOW,2022-01-08 17:05:00+00:00,True,2022-01-08 16:55:00+00:00,True,True,2022-01-08 16:40:00+00:00,2022-01-08 16:40:00+00:00,GENUINE_L2,2022-01-08 16:55:00+00:00
development,BEAR,00-04,2022-01-10 00:00:00+00:00,2022-01-10 04:00:00+00:00,42773.85,41755.0,1018.8499999999985,2022-01-10 00:05:00+00:00,2022-01-10 00:10:00+00:00,1,True,LOW,2022-01-10 00:45:00+00:00,False,,False,True,2022-01-10 00:15:00+00:00,2022-01-10 00:15:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-01-10 00:40:00+00:00
development,BEAR,12-16,2022-01-10 12:00:00+00:00,2022-01-10 16:00:00+00:00,42098.52,41422.0,676.5199999999968,2022-01-10 12:05:00+00:00,2022-01-10 12:10:00+00:00,1,True,LOW,2022-01-10 12:15:00+00:00,False,,False,False,,,BLOCK_END,
development,BULL,00-04,2022-01-12 00:00:00+00:00,2022-01-12 04:00:00+00:00,43080.52,42586.58,493.93999999999505,2022-01-12 00:45:00+00:00,2022-01-12 00:50:00+00:00,2,True,LOW,2022-01-12 01:20:00+00:00,True,2022-01-12 01:10:00+00:00,True,True,2022-01-12 00:55:00+00:00,2022-01-12 00:55:00+00:00,GENUINE_L2,2022-01-12 01:10:00+00:00
development,BEAR,12-16,2022-01-14 12:00:00+00:00,2022-01-14 16:00:00+00:00,42687.35,41807.22,880.1299999999974,2022-01-14 12:10:00+00:00,2022-01-14 12:15:00+00:00,1,False,HIGH,2022-01-14 14:50:00+00:00,False,,False,True,2022-01-14 12:20:00+00:00,2022-01-14 12:20:00+00:00,OPPOSITE_HIGH_BREAK,2022-01-14 14:45:00+00:00
development,BULL,00-04,2022-01-15 00:00:00+00:00,2022-01-15 04:00:00+00:00,43450.0,42976.94,473.0599999999977,2022-01-15 00:05:00+00:00,2022-01-15 00:10:00+00:00,3,True,LOW,2022-01-15 00:45:00+00:00,True,2022-01-15 00:20:00+00:00,True,True,2022-01-15 00:20:00+00:00,2022-01-15 00:20:00+00:00,GENUINE_L2,2022-01-15 00:20:00+00:00
development,SIDEWAYS,20-00,2022-01-16 20:00:00+00:00,2022-01-17 00:00:00+00:00,43464.71,42768.87,695.8399999999965,2022-01-16 20:00:00+00:00,2022-01-16 20:05:00+00:00,1,False,NONE,,False,,False,True,2022-01-16 20:15:00+00:00,2022-01-16 20:15:00+00:00,BLOCK_END,
development,BULL,00-04,2022-01-17 00:00:00+00:00,2022-01-17 04:00:00+00:00,43250.0,42731.07,518.9300000000003,2022-01-17 03:30:00+00:00,2022-01-17 03:35:00+00:00,1,True,LOW,2022-01-17 03:50:00+00:00,False,,False,False,,,BLOCK_END,
development,BEAR,04-08,2022-01-17 04:00:00+00:00,2022-01-17 08:00:00+00:00,43159.32,42606.0,553.3199999999997,2022-01-17 04:00:00+00:00,2022-01-17 04:05:00+00:00,3,True,LOW,2022-01-17 05:05:00+00:00,True,2022-01-17 04:40:00+00:00,True,True,2022-01-17 04:10:00+00:00,2022-01-17 04:10:00+00:00,GENUINE_L2,2022-01-17 04:40:00+00:00
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,42768.95,42345.78,423.16999999999825,2022-01-17 16:05:00+00:00,2022-01-17 16:10:00+00:00,1,True,LOW,2022-01-17 16:15:00+00:00,False,,False,False,,,BLOCK_END,
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,42040.0,41379.39,660.6100000000006,2022-01-18 14:25:00+00:00,2022-01-18 14:30:00+00:00,1,True,LOW,2022-01-18 14:35:00+00:00,False,,False,False,,,BLOCK_END,
development,BEAR,08-12,2022-01-19 08:00:00+00:00,2022-01-19 12:00:00+00:00,41835.97,41133.73,702.239999999998,2022-01-19 08:35:00+00:00,2022-01-19 08:40:00+00:00,1,False,HIGH,2022-01-19 11:15:00+00:00,False,,False,True,2022-01-19 08:45:00+00:00,2022-01-19 08:45:00+00:00,OPPOSITE_HIGH_BREAK,2022-01-19 11:10:00+00:00
development,BEAR,00-04,2022-01-21 00:00:00+00:00,2022-01-21 04:00:00+00:00,42975.3,40550.0,2425.300000000003,2022-01-21 00:00:00+00:00,2022-01-21 00:05:00+00:00,1,True,LOW,2022-01-21 01:40:00+00:00,False,,False,True,2022-01-21 00:20:00+00:00,2022-01-21 00:20:00+00:00,BREAK_BEFORE_GENUINE_L2,2022-01-21 01:35:00+00:00
