clock_min,clock,partition,windows,k1,executed,wr,pf,exp,net,tp_rate,time_rate,dev_eligible
240,04:00,development,782,200,79,0.8354430379746836,2.2212384895445396,0.9862550368043796,77.914147907546,0.7721518987341772,0.08860759493670886,True
600,10:00,development,782,134,39,0.7692307692307693,1.9880422745800201,1.076203045659057,41.97191878070323,0.6666666666666666,0.23076923076923078,True
330,05:30,development,782,199,72,0.7638888888888888,1.9468617136379944,0.9280729635441097,66.8212533751759,0.7638888888888888,0.09722222222222222,True
270,04:30,development,782,219,86,0.7906976744186046,1.9080181667682479,0.8008894004001088,68.87648843440935,0.7674418604651163,0.10465116279069768,True
300,05:00,development,782,220,82,0.7560975609756098,1.8290897830728927,0.8865457793670195,72.6967539080956,0.7439024390243902,0.0975609756097561,True
210,03:30,development,782,214,81,0.7407407407407407,1.5204133606843029,0.5855594863320904,47.43031839289932,0.7160493827160493,0.1111111111111111,True
180,03:00,development,782,209,82,0.7317073170731707,1.3152248121871903,0.37259014553121556,30.552391933559676,0.6829268292682927,0.14634146341463414,True
660,11:00,development,782,122,37,0.6486486486486487,2.537769387936513,1.5070597314710432,55.7612100644286,0.5135135135135135,0.43243243243243246,False
1350,22:30,development,782,167,52,0.6923076923076923,1.6153299139363404,0.5778234598596392,30.04681991270124,0.5384615384615384,0.4230769230769231,False
960,16:00,development,781,139,43,0.6046511627906976,1.332212847330634,0.4046559076895685,17.400204030651444,0.3953488372093023,0.5348837209302325,False
720,12:00,development,782,116,31,0.6451612903225806,1.3235992851745115,0.4607777971554625,14.284111711819339,0.6451612903225806,0.2903225806451613,False
690,11:30,development,782,113,27,0.6666666666666666,1.2704730568917253,0.47482920086550207,12.820388423368556,0.5925925925925926,0.25925925925925924,False
1290,21:30,development,782,161,48,0.5625,1.124903556313947,0.15805132854255463,7.586463770042622,0.4791666666666667,0.4375,False
1380,23:00,development,782,170,46,0.6739130434782609,1.1108361385761187,0.1543250532405259,7.098952449064191,0.5217391304347826,0.391304347826087,False
