family,feature,b1_gap,b1_effect_IQR,b2_gap,b2_effect_IQR,b3_gap,b3_effect_IQR,b4_gap,b4_effect_IQR,b5_gap,b5_effect_IQR,b6_gap,b6_effect_IQR,dev_win_n,dev_fail_n,dev_win_median,dev_fail_median,dev_gap,dev_effect_IQR,adequate_dev_blocks,same_sign_dev_blocks,external_gap,external_effect_IQR,reference_gap,reference_effect_IQR,replicated_directional,strong_replicated
UPPER_PARTICIPATION,upper80_quotevol_share,-0.006025803443949401,0.07169029421881236,-0.032306637114535366,0.3477179326822287,-0.014625005714627007,0.18017424936368626,0.004769739609430945,0.05592646488493933,0.018257315405849017,0.23319538229483208,-0.035152778647766336,0.3771470651122943,242,359,0.10942307855320994,0.1295853248148492,-0.020162246261639247,0.23112928650047188,6,4,0.0023038461640082775,0.022321667306964922,0.003740820010055698,0.040863729476385474,False,False
PREFILL_PARTICIPATION,prefill_last30_trades_vs_refavg,-0.12952643846919543,0.27406681976471386,0.1797157888260873,0.2967183402565833,0.17313541580631775,0.22981188667130112,0.04364370126245776,0.06386133871569495,0.24923211217267138,0.5400923264755702,0.17504257051807182,0.42375752725883503,154,249,1.0295167613342828,0.9412734566222464,0.08824330471203645,0.1669499273784853,6,5,0.029381856111073135,0.06193956155710555,0.007386329812280157,0.013016928165320704,False,False
PREFILL_PARTICIPATION,prefill_last30_quotevol_vs_refavg,-0.22708634508537096,0.36019228315550056,0.09060931678725803,0.1252820431397991,0.2347667225314769,0.2852829278142925,0.0458169621132527,0.06357137133760735,0.1724374880592202,0.3421914047600036,0.12519451398233294,0.25323514592268276,154,249,1.0116826233484506,0.911023772858411,0.10065885049003964,0.15132906379821306,6,5,-0.005817159283205919,0.012612673499124653,-0.01813958390207293,0.024291603225938055,False,False
PREFILL_PARTICIPATION,prefill_trades_perbar_vs_ref,-0.07072999785034395,0.1694947245960659,0.040662519314260126,0.13211368125587442,0.22472712407633022,0.3688762846166323,0.04807620364284393,0.09185543102862515,0.1052650454026004,0.26096074818076737,0.07405214739976096,0.19981371516810817,203,314,1.0292062109095435,0.9700318596129089,0.05917435129663451,0.12081630609682946,6,5,0.07880156982544395,0.21695225659945713,0.08402948856499814,0.12714025496927087,False,False
REF_VS_PRE6,ref_trades_perbar_vs_pre6,-0.1822906287463224,0.2804187622406569,-0.022130446751214006,0.0376161045072047,-0.012144815685476873,0.019212621365559714,-0.07079805735511346,0.08744890153790628,-0.16344690718405208,0.26261622359579134,-0.061651237433924644,0.1032594372457738,242,359,1.236913446100694,1.3100364491007228,-0.07312300300002872,0.11184389792095055,6,6,-0.003465182924654142,0.006693255942767813,-0.030139894824934288,0.05412536337764336,False,False
REF_VS_PRE6,ref_quotevol_perbar_vs_pre6,-0.17293353841400072,0.2279134588473695,0.040245922201578965,0.052892028647782884,0.022839135940844635,0.03345157022883488,-0.07176752826532118,0.07889289699275392,-0.23140033338054877,0.32398941499758294,-0.09796915198981071,0.14253043290971465,242,359,1.3047222515534718,1.3850041264088089,-0.08028187485533711,0.10588118984666514,6,4,-0.041014849141998155,0.07166806149300582,-0.07468368854434582,0.09843815715748293,False,False
REF_VS_PRE6,ref_basevol_perbar_vs_pre6,-0.17717559231590996,0.23869421463334886,0.04230086914829845,0.05571425836813941,0.037501296300066045,0.05550642260794785,-0.07337612749012745,0.0836409594293236,-0.22966027897354913,0.31135324252803176,-0.09887933142453353,0.14569738901457027,242,359,1.3025273303367042,1.3730573956771914,-0.07053006534048722,0.09463861167431453,6,4,-0.04688500814332808,0.0823749919160815,-0.08567039499660711,0.11533231628389304,False,False
PREFILL_PARTICIPATION,prefill_lastbar_trades_vs_refavg,0.08166032630963849,0.09105619217693917,0.19897088900813875,0.27830977797591866,0.10709121076487627,0.13899823951285437,-0.28006380178017776,0.2877000981975262,0.02628831925829478,0.04894273837041899,0.14316060337964587,0.19336290903920006,203,314,1.199984060781553,1.1286947495936157,0.07128931118793735,0.0863650235859846,6,5,0.038500556392869534,0.053481785370342615,0.08464125531917088,0.11719619714422329,False,False
LATE_REF,ref_last30_taker_buy_ratio,-0.023258398798096436,0.4185262367869111,0.0020400925575606577,0.034516531689527445,0.003436483024508996,0.0831069034723483,-0.0017774629703221079,0.04021084810192107,-0.01297638245614724,0.3233434022299426,0.004090007574756305,0.06995401992211817,242,359,0.4976534924825821,0.5017423540443955,-0.004088861561813373,0.08501868039089303,6,3,0.015349178163841182,0.24382683860770937,0.0010741518266912387,0.01772984915129552,False,False
PREFILL_PARTICIPATION,prefill_last30_taker_buy_ratio,0.006844600626493502,0.1707457857798545,0.012766319791483904,0.28506760143373067,0.00402313885259864,0.10042141473024743,-0.0010521006476310601,0.02435068606200933,0.0017514955126822773,0.06560161900442574,-0.011906045408641486,0.2394533504490448,154,249,0.5242949146216234,0.5206503903916156,0.0036445242300077174,0.08422486143539205,6,4,0.0028208074805166072,0.0443251460612341,-0.009265791828764303,0.13399466835319687,False,False
