partition,side,source,anchor_date_utc,execution_end,entry_ts,entry_px,confirmation_bar_start,H,L,R,entry_level,stop_level,target_level,touch_elapsed_min,candidate_id,exit_ts,exit_px,exit_reason,pnl,priority,accepted,blocked_by,structural_outcome,structural_h2_ts,full_mfe_R,full_mae_R,pre_h2_mfe_R,pre_h2_mae_R,post_h2_extension_R,e10_reached,e20_reached,e30_reached,e50_reached,first_e10_ts,first_e20_ts,first_e30_ts,first_e50_ts,e20_before_or_at_exit,e20_after_exit,execution_end_open,execution_end_return_R,economic_label
external,SHORT,SHORT_2000,2020-02-16,2020-02-17 08:00:00+00:00,2020-02-17 02:20:00+00:00,22.843,2020-02-17 02:15:00+00:00,23.714,22.691,1.0229999999999997,22.84445,23.35595,22.4864,45.0,external|SHORT|SHORT_2000|2020-02-17T02:20:00+00:00,2020-02-17 03:35:00+00:00,22.4864,TP_E20_DOWN,7.405454625049279,2,True,,H2,2020-02-17 02:35:00+00:00,0.823069403714564,0.23753665689149425,0.13978494623655985,0.08993157380254035,0.6744868035190595,True,True,True,True,2020-02-17 03:25:00+00:00,2020-02-17 03:35:00+00:00,2020-02-17 03:35:00+00:00,2020-02-17 04:10:00+00:00,True,False,22.6,0.23753665689149425,WIN
external,SHORT,SHORT_2000,2020-02-24,2020-02-25 08:00:00+00:00,2020-02-25 02:25:00+00:00,21.738,2020-02-25 02:20:00+00:00,22.133,21.68,0.4529999999999994,21.74795,21.97445,21.5894,50.0,external|SHORT|SHORT_2000|2020-02-25T02:25:00+00:00,2020-02-25 05:15:00+00:00,21.5894,TP_E20_DOWN,3.017977734842148,2,True,,H2,2020-02-25 04:00:00+00:00,1.8940397350993414,0.38631346578366654,0.10154525386313341,0.38631346578366654,1.7660044150110414,True,True,True,True,2020-02-25 05:15:00+00:00,2020-02-25 05:15:00+00:00,2020-02-25 05:20:00+00:00,2020-02-25 05:20:00+00:00,True,False,21.086,1.4392935982339998,WIN
external,LONG,ALT_0330,2020-02-27,2020-02-27 15:30:00+00:00,2020-02-27 09:50:00+00:00,18.787,2020-02-27 09:45:00+00:00,18.875,18.288,0.5869999999999997,18.78695,18.49345,18.9924,45.0,external|LONG|ALT_0330|2020-02-27T09:50:00+00:00,2020-02-27 11:05:00+00:00,18.9924,TP_E20,5.06654601586205,0,True,,H2,2020-02-27 10:35:00+00:00,1.1124361158432752,0.27768313458262406,0.06132879045996828,0.27768313458262406,0.9625212947189123,True,True,True,True,2020-02-27 11:00:00+00:00,2020-02-27 11:05:00+00:00,2020-02-27 11:05:00+00:00,2020-02-27 12:05:00+00:00,True,False,19.376,1.0034071550255579,WIN
external,LONG,ALT_0330,2020-03-02,2020-03-02 15:30:00+00:00,2020-03-02 09:15:00+00:00,19.437,2020-03-02 09:10:00+00:00,19.484,19.113,0.3710000000000022,19.42835,19.24285,19.558200000000003,10.0,external|LONG|ALT_0330|2020-03-02T09:15:00+00:00,2020-03-02 10:00:00+00:00,19.558200000000003,TP_E20,2.717765087204849,0,True,,H2,2020-03-02 09:25:00+00:00,0.9218328840970261,0.28301886792452774,0.11590296495956605,0.08355795148248564,0.795148247978427,True,True,True,True,2020-03-02 09:35:00+00:00,2020-03-02 10:00:00+00:00,2020-03-02 10:00:00+00:00,2020-03-02 10:35:00+00:00,True,False,19.504,0.180592991913746,WIN
external,LONG,RAW_0530,2020-04-03,2020-04-03 17:30:00+00:00,2020-04-03 11:55:00+00:00,13.52,2020-04-03 11:50:00+00:00,13.574,13.095,0.4789999999999992,13.50215,13.26265,13.6698,50.0,external|LONG|RAW_0530|2020-04-03T11:55:00+00:00,2020-04-03 14:00:00+00:00,13.257,CLOSE_INVALIDATION_F35,-10.12633136094675,1,True,,OPPOSITE_BREAK,2020-04-03 14:40:00+00:00,0.01670146137787246,1.2693110647181625,,,,False,False,False,False,,,,,False,False,13.112,-0.851774530271399,LOSS
external,LONG,ALT_0330,2020-05-15,2020-05-15 15:30:00+00:00,2020-05-15 12:00:00+00:00,16.21,2020-05-15 11:55:00+00:00,16.252,15.975,0.2769999999999992,16.210449999999998,16.07195,16.307399999999998,175.0,external|LONG|ALT_0330|2020-05-15T12:00:00+00:00,2020-05-15 15:05:00+00:00,16.034,CLOSE_INVALIDATION_F35,-5.828747686613278,0,True,,NO_H2_BY_END,,0.046931407942231634,1.115523465703978,,,,False,False,False,False,,,,,False,False,16.03,-0.6498194945848385,LOSS
external,SHORT,SHORT_2000,2020-05-18,2020-05-19 08:00:00+00:00,2020-05-19 01:45:00+00:00,16.503,2020-05-19 01:40:00+00:00,16.669,16.478,0.1909999999999989,16.50665,16.60215,16.4398,10.0,external|SHORT|SHORT_2000|2020-05-19T01:45:00+00:00,2020-05-19 02:05:00+00:00,16.4398,TP_E20_DOWN,1.5148033690843392,2,True,,H2,2020-05-19 02:00:00+00:00,1.0523560209424172,0.39790575916230864,0.04188481675392233,0.13089005235601425,0.9214659685864028,True,True,True,True,2020-05-19 02:05:00+00:00,2020-05-19 02:05:00+00:00,2020-05-19 02:05:00+00:00,2020-05-19 02:15:00+00:00,True,False,16.479,0.1256544502617856,WIN
external,LONG,ALT_0330,2020-05-20,2020-05-20 15:30:00+00:00,2020-05-20 10:05:00+00:00,17.209,2020-05-20 10:00:00+00:00,17.239,17.02,0.2190000000000012,17.20615,17.09665,17.2828,60.0,external|LONG|ALT_0330|2020-05-20T10:05:00+00:00,2020-05-20 15:20:00+00:00,16.882,CLOSE_INVALIDATION_F35,-9.900842582369664,0,True,,H2,2020-05-20 13:35:00+00:00,0.2648401826483996,2.1324200913241835,0.09589041095890723,0.49771689497715804,0.12785388127853214,True,False,False,False,2020-05-20 14:00:00+00:00,,,,False,False,16.952,-1.1735159817351437,LOSS
external,LONG,RAW_0530,2020-05-20,2020-05-20 17:30:00+00:00,2020-05-20 13:55:00+00:00,17.234,2020-05-20 13:50:00+00:00,17.255,17.074,0.1809999999999973,17.22785,17.13735,17.2912,170.0,external|LONG|RAW_0530|2020-05-20T13:55:00+00:00,2020-05-20 15:20:00+00:00,16.882,CLOSE_INVALIDATION_F35,-10.612370894742972,1,False,external|LONG|ALT_0330|2020-05-20T10:05:00+00:00,H2,2020-05-20 13:55:00+00:00,0.18232044198894026,4.331491712707261,,,0.06629834254143996,False,False,False,False,,,,,False,False,16.775,-2.53591160221,LOSS
external,LONG,ALT_0330,2020-06-08,2020-06-08 15:30:00+00:00,2020-06-08 09:35:00+00:00,17.468,2020-06-08 09:30:00+00:00,17.48,17.339,0.1410000000000018,17.45885,17.38835,17.508200000000002,30.0,external|LONG|ALT_0330|2020-06-08T09:35:00+00:00,2020-06-08 13:40:00+00:00,17.384,CLOSE_INVALIDATION_F35,-2.8043966109457137,0,True,,H2,2020-06-08 10:00:00+00:00,0.08510638297872555,1.1914893617021074,0.0,0.26950354609928917,0.0,False,False,False,False,,,,,False,False,17.359,-0.7730496453900484,LOSS
