role,partition,loss_class,n,rescue_rate,recovery_win_rate,median_parent_loss,median_signal_delay
CENTRAL,development,L4_BREAK_FAIL_30M,32,0.375,0.375,0.40110425319214715,12.5
CENTRAL,development,L2_BREAK_FAST_FAIL_5M,42,0.35714285714285715,0.38095238095238093,0.7379325948232152,15.0
CENTRAL,development,L3_BREAK_FAST_FAIL_10M,26,0.38461538461538464,0.38461538461538464,0.5673333474835451,15.0
CENTRAL,development,L5_BREAK_FAIL_LATE,10,0.5,0.5,0.3496305370892516,17.5
CENTRAL,development,L1_NEVER_BREAK_TIME,4,0.25,0.25,0.30833996815091136,20.0
CENTRAL,external,L4_BREAK_FAIL_30M,17,0.29411764705882354,0.29411764705882354,0.780730897009918,15.0
CENTRAL,external,L2_BREAK_FAST_FAIL_5M,24,0.2916666666666667,0.2916666666666667,0.9779849792995177,12.5
CENTRAL,external,L5_BREAK_FAIL_LATE,11,0.18181818181818182,0.18181818181818182,1.0902413832676872,15.0
CENTRAL,external,L3_BREAK_FAST_FAIL_10M,12,0.25,0.25,1.946761534498881,15.0
CENTRAL,external,L1_NEVER_BREAK_TIME,2,0.5,0.5,2.8229688933491817,22.5
CENTRAL,reference_validation,L2_BREAK_FAST_FAIL_5M,24,0.20833333333333334,0.20833333333333334,0.5319755492012024,15.0
CENTRAL,reference_validation,L5_BREAK_FAIL_LATE,6,0.16666666666666666,0.16666666666666666,0.3630530572675261,10.0
CENTRAL,reference_validation,L3_BREAK_FAST_FAIL_10M,13,0.23076923076923078,0.23076923076923078,0.4633204633204824,15.0
CENTRAL,reference_validation,L4_BREAK_FAIL_30M,15,0.4,0.4,0.31481189988979974,10.0
CENTRAL,reference_validation,L1_NEVER_BREAK_TIME,2,0.5,0.5,0.40565041637655175,15.0
CLOCK_SUPPORT,development,L2_BREAK_FAST_FAIL_5M,40,0.275,0.3,0.9343990320348217,15.0
CLOCK_SUPPORT,development,L3_BREAK_FAST_FAIL_10M,26,0.23076923076923078,0.23076923076923078,0.5960596340305602,15.0
CLOCK_SUPPORT,development,L5_BREAK_FAIL_LATE,9,0.2222222222222222,0.2222222222222222,0.2869822485207507,15.0
CLOCK_SUPPORT,development,L4_BREAK_FAIL_30M,27,0.3333333333333333,0.3333333333333333,0.6976139239009416,10.0
CLOCK_SUPPORT,development,L1_NEVER_BREAK_TIME,2,1.0,1.0,3.939348244452634,22.5
CLOCK_SUPPORT,external,L4_BREAK_FAIL_30M,21,0.23809523809523808,0.23809523809523808,0.725276319288537,10.0
CLOCK_SUPPORT,external,L2_BREAK_FAST_FAIL_5M,16,0.3125,0.3125,0.730653917709656,17.5
CLOCK_SUPPORT,external,L5_BREAK_FAIL_LATE,17,0.29411764705882354,0.29411764705882354,0.44462193823219254,15.0
CLOCK_SUPPORT,external,L3_BREAK_FAST_FAIL_10M,13,0.15384615384615385,0.15384615384615385,1.6632458064973488,15.0
CLOCK_SUPPORT,external,L1_NEVER_BREAK_TIME,1,1.0,1.0,2.096558150369854,25.0
CLOCK_SUPPORT,reference_validation,L2_BREAK_FAST_FAIL_5M,28,0.25,0.25,0.5419370137525747,17.5
CLOCK_SUPPORT,reference_validation,L3_BREAK_FAST_FAIL_10M,17,0.35294117647058826,0.35294117647058826,0.3963759909399456,10.0
CLOCK_SUPPORT,reference_validation,L1_NEVER_BREAK_TIME,1,0.0,0.0,2.0631578947368223,30.0
CLOCK_SUPPORT,reference_validation,L5_BREAK_FAIL_LATE,10,0.4,0.4,0.4674310987848318,15.0
CLOCK_SUPPORT,reference_validation,L4_BREAK_FAIL_30M,18,0.4444444444444444,0.4444444444444444,0.3932559640048572,10.0
REF_SUPPORT,development,L4_BREAK_FAIL_30M,35,0.34285714285714286,0.34285714285714286,0.4770570878315228,10.0
REF_SUPPORT,development,L2_BREAK_FAST_FAIL_5M,41,0.34146341463414637,0.3902439024390244,1.0920643325170731,15.0
REF_SUPPORT,development,L3_BREAK_FAST_FAIL_10M,29,0.3103448275862069,0.3103448275862069,0.5986231667165498,15.0
REF_SUPPORT,development,L5_BREAK_FAIL_LATE,10,0.4,0.4,0.3496305370892516,15.0
REF_SUPPORT,development,L1_NEVER_BREAK_TIME,3,0.6666666666666666,0.6666666666666666,1.8158403090792752,20.0
REF_SUPPORT,external,L4_BREAK_FAIL_30M,14,0.21428571428571427,0.21428571428571427,0.7684603381256372,10.0
REF_SUPPORT,external,L2_BREAK_FAST_FAIL_5M,21,0.38095238095238093,0.38095238095238093,0.9176387771520633,10.0
REF_SUPPORT,external,L5_BREAK_FAIL_LATE,13,0.23076923076923078,0.23076923076923078,0.8804640563497279,15.0
REF_SUPPORT,external,L3_BREAK_FAST_FAIL_10M,12,0.25,0.25,1.7112770209498362,12.5
REF_SUPPORT,external,L1_NEVER_BREAK_TIME,2,0.5,0.5,2.8229688933491817,22.5
REF_SUPPORT,reference_validation,L2_BREAK_FAST_FAIL_5M,22,0.22727272727272727,0.22727272727272727,0.5419370137525747,15.0
REF_SUPPORT,reference_validation,L3_BREAK_FAST_FAIL_10M,14,0.2857142857142857,0.2857142857142857,0.39862322625683344,10.0
REF_SUPPORT,reference_validation,L4_BREAK_FAIL_30M,16,0.4375,0.4375,0.22121533068483745,10.0
REF_SUPPORT,reference_validation,L5_BREAK_FAIL_LATE,6,0.0,0.0,0.08549760177556376,12.5
REF_SUPPORT,reference_validation,L1_NEVER_BREAK_TIME,2,0.5,0.5,0.40565041637655175,15.0
